label,Iso_map,,,RandomTrees,,,t_SNE,,,IsomapClustering,Random_TreesClustering,t-SNEClustering,LouvainClustering
8318,2.36713,-1.71739,-0.41372,2.52553,4.19604,-3.17399,-53.83902,53.24078,-36.03345,1,1,1,1
8319,0.45298,-0.59763,-0.22301,7.89722,3.00736,-2.34073,-18.30041,26.9617,21.22472,1,1,1,2
8320,1.19831,-0.88352,-0.35718,5.25755,5.34822,-3.45726,-20.62209,43.91672,17.37757,1,1,1,2
8321,0.49137,-0.78468,-0.42082,7.22794,3.2679,-2.86307,-33.80972,79.15847,-6.08447,1,1,1,2
8322,-0.6544,-0.5805,-0.72062,8.08516,1.28653,-1.48704,-7.26438,-49.53132,64.64808,1,1,1,2
8323,-0.34936,-0.73541,-0.17445,11.02148,-1.24058,-2.29423,15.14679,36.85609,26.63201,1,1,1,4
8324,2.98862,-1.76478,1.62287,3.01907,4.32138,-1.78863,-39.05112,-2.36927,4.14318,1,1,1,1
8325,2.97636,-1.14109,-1.48162,2.22801,4.67339,-3.013,-29.57214,73.34998,-33.05172,1,1,1,2
8326,3.11752,-0.67886,-1.66477,2.08485,4.95526,-3.32761,-68.48168,45.32073,-19.5142,1,1,1,2
8327,-0.84435,-0.42485,-0.07499,13.36947,-3.34683,-1.55613,-83.7194,-13.67748,-2.93755,3,3,1,4
8328,2.91134,-1.67771,-0.44626,2.84519,5.41472,-3.51262,-64.5214,39.03303,36.05039,1,1,1,5
8329,-0.22446,-1.07228,0.07403,8.2322,1.28594,-1.35331,21.65277,53.75336,33.76978,1,1,1,4
8330,3.52037,-1.21781,-0.78292,2.25454,4.97568,-3.37574,-22.50418,-30.5608,45.60526,1,1,1,2
8331,0.51038,-0.61848,-0.10659,8.93442,3.11573,-2.32222,-22.04873,36.9342,35.1924,1,1,1,1
8332,3.17945,-0.60576,-1.16559,2.77591,5.68124,-3.66116,42.12127,34.0254,51.73132,1,1,1,2
8333,-0.05645,-0.58139,-0.33512,9.41399,1.5652,-1.36227,0.72275,42.8007,23.23636,1,1,1,2
8334,-0.13896,-0.65325,-0.24747,10.87046,1.03422,-1.59764,-182.6314,106.38749,85.50632,1,1,1,6
8335,-1.16021,-0.59099,-0.12022,13.36622,-3.27081,-1.66008,76.14607,20.0492,21.46325,3,3,1,5
8336,2.2745,-1.13797,-0.75317,4.41947,6.10436,-4.45077,37.42802,28.538,68.20366,1,1,1,2
8337,-1.40581,-0.35652,-0.29686,12.82325,-3.31741,-1.48158,76.90451,-35.42983,17.09685,1,1,1,2
8338,2.7398,-1.30714,1.90449,3.62011,4.74963,-1.4571,-48.38678,3.34914,-4.55575,1,1,1,1
8339,3.58484,0.12721,-0.49009,2.17655,5.03935,-2.52058,-73.30732,39.47793,0.96278,1,1,1,6
8340,1.80251,-0.99467,0.00128,5.14281,5.32514,-2.02284,-41.18353,51.01012,37.78282,1,1,1,5
8341,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-127.20528,54.68488,151.93318,2,2,1,5
8342,-1.18586,-0.46095,-0.21958,13.3709,-3.31896,-1.60224,66.39831,99.05383,26.74157,1,3,1,2
8343,0.4447,-0.561,-0.17894,6.82882,3.75865,-1.94977,26.73616,75.91892,17.00822,1,1,1,4
8344,2.90721,0.30607,-1.428,3.41213,5.72923,-3.62729,-56.21102,50.5724,-1.93475,1,1,1,2
8345,1.78023,-1.09447,0.35199,5.47765,5.08541,-2.37653,72.02954,16.47171,-24.45126,1,1,1,4
8346,-0.05102,-0.31757,0.09442,9.27041,1.94464,-1.24223,34.58047,44.08946,19.61848,1,1,1,6
8347,0.92284,0.08004,-0.95889,6.13896,4.18408,-2.38637,-9.2111,51.20085,-21.12772,1,1,1,2
8348,3.06514,-0.58575,-0.9616,4.15492,6.21892,-4.15995,-54.06257,42.12104,16.42071,1,1,3,2
8349,2.99522,0.30111,-1.34794,2.9755,6.08958,-3.41293,-64.87374,-24.54919,-57.05084,1,1,1,2
8350,0.50997,-0.81716,0.36323,6.60599,4.27001,-1.46722,19.67388,76.5678,32.491,1,1,1,4
8351,0.38971,-0.56069,-0.12088,9.06826,3.65855,-2.39778,-102.39457,111.02405,112.83178,1,1,1,5
8352,0.47458,-0.27171,-0.00926,7.92119,3.83035,-1.87258,4.90441,59.86368,12.74247,1,1,1,5
8353,1.04683,-0.55346,0.40338,6.3693,5.08132,-0.96488,3.27315,64.97235,38.25952,1,1,1,4
8354,0.40199,-0.89462,1.0619,8.57281,3.88253,-0.8968,20.4763,42.3741,2.10843,1,1,1,1
8355,3.36818,-0.68057,0.35344,3.9016,6.49105,-3.10741,-54.44724,23.64471,42.45151,1,1,1,5
8356,2.01704,-0.79718,-0.11772,5.20049,6.82884,-1.72065,-33.07677,54.86933,-16.46617,1,1,1,5
8357,2.24391,-0.82321,0.15968,5.01696,6.58015,-3.26574,-44.51098,28.41561,32.69167,1,1,3,5
8358,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,41.28733,6.44838,40.11334,2,2,1,5
8359,-0.98585,-0.49572,-0.11534,13.04663,-3.11751,-1.19292,39.80213,-0.46778,70.42111,3,1,1,6
8360,-0.89127,-0.43643,-0.08247,13.25586,-3.32957,-1.51937,58.4421,10.16108,57.48024,3,3,1,5
8361,1.47345,0.81512,-0.1542,5.11416,5.49738,0.60817,-48.77964,21.0604,-32.56371,1,1,1,6
8362,-0.84808,-0.54365,-0.23708,10.5566,0.43781,-2.08337,2.8848,-36.2489,57.78008,3,1,1,2
8363,-0.18303,-0.45706,0.12919,11.42614,0.58889,-1.26198,9.40224,25.32206,8.46551,4,1,1,1
8364,1.45366,0.20345,-1.27666,5.32046,5.47854,-2.26113,6.73531,61.03624,-31.02777,1,1,1,2
8365,-1.0775,-0.5555,-0.10796,13.24683,-3.20632,-1.57727,57.96302,34.46638,-29.4965,3,3,1,3
8366,3.76702,0.0722,0.04568,3.01111,6.43826,-2.74434,-37.67026,38.33628,-28.32133,1,1,3,1
8367,-1.1421,-0.42709,-0.20262,13.37051,-3.31809,-1.60107,63.16908,-34.09133,27.83276,3,3,1,2
8368,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-88.8635,8.9702,54.49164,2,2,1,5
8369,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,10.41535,19.76232,52.95357,2,2,2,2
