label,Anatomy,,,Random_Trees,,,Spectral,,,t-SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
1,10.306644346972654,2.573553940026,25.427657237661432,14.14056231605087,-0.07876968735369544,-0.059015124206935915,1.1958213175584415e-07,7.55864140542027e-16,-3.016454775588813e-17,3.247745,-6.2559905,-3.7220697,2,2,2,2,2
2,738.4305615912764,0.6237558643777361,-25.154744957976565,14.14056231605087,-0.07876968735369544,-0.059015124206935915,-103312873.02125588,213815110.85181603,163544175265.0948,4.2457085,-3.466307,-3.2692666,1,2,1,2,3
3,-15.115667799914034,-6.043086482916223,-38.0265178716366,13.93291934360449,0.058719507588697685,0.5683547783251752,-4.390057442950029e-22,4.328266114623892e-20,1.4523115992910915e-17,16.852793,-12.867373,8.083669,3,2,2,1,2
4,-1.2501467249162566,-1.177206881794871,-2.2787825393249523,13.929291875858945,-0.04601088597043552,-0.10580046196234541,4.6858640544384575e+78,5.858266065042941e+78,4.0972596757446856e+81,1.3561891,-0.21488246,17.125624,3,2,1,1,4
5,-8.392725402397197,-3.6077698095828192,-20.102563575376447,13.93361173493376,-0.05029909676507028,0.08070624882755587,5.1808775000206876e-21,-3.7127840209410396e-20,-1.918295014598207e-17,1.7864037,-11.721244,4.966073,3,2,2,1,3
6,-66.47424754258495,-64.88535278637539,-43.317016362612065,13.577809891865511,-0.0772765279352382,0.36052557839637245,-4.163315626496527e-21,2.5897085712605298e-20,3.0629950681032766e-17,17.432898,-0.7998314,3.0176036,1,2,2,1,2
7,-10.849082098247106,-4.478203453796847,-26.49492772267304,13.72111721327792,-0.037489954033462405,0.13700585164868775,6.295165420209767e-21,-1.895191444110163e-20,-9.612614376561946e-18,-3.1651103,0.29155135,-23.09413,3,2,2,1,5
8,-7.8818855492199,-3.4292529430085534,-18.792824851022075,13.929153511796427,-0.0923905194745126,0.039248647126242334,-3.691049268713846e-20,2.1600582583802003e-19,6.436987547574452e-17,-4.441368,-0.76921004,3.5520732,3,2,2,2,4
9,-0.49799699034862627,-0.928188713432913,-0.4509193466104838,13.72327662685703,0.022343160200812597,0.6361613424295772,3.498451030730935e+67,3.6814547563678086e+67,1.341568208060494e+70,14.033851,-10.805999,-1.7738879,3,2,1,1,3
10,-10.090546017326378,-4.396204245681842,-23.49012767389406,13.796072045273855,0.08573526304226814,0.5412141632406667,1.1584633695944279e-20,-4.290078182107093e-20,-1.408611327848842e-17,7.8412223,5.4425864,6.3653884,3,2,2,1,4
11,-5.412169171523858,-2.577242493088591,-12.5452348247874,13.929160161288586,-0.09793201210640295,-0.002950686832021196,2.570098224226291e-19,4.7962282630483415e-20,6.687871202967213e-17,-2.9917994,-5.012948,-4.8711414,3,2,2,2,4
12,-2.511241447909019,-1.5972473413631718,-5.360269068039191,14.070813235755436,-0.08180410157987988,-0.1589257139676926,-7.716785056025871e+100,6.732565057907188e+100,2.2843384685589554e+103,8.19832,-2.2673688,-1.811288,3,2,1,2,3
13,-19.03219333133928,-7.547714128380827,-49.18272554432899,13.58082907032619,-0.06393484889348156,0.26112354827693074,-9.938698358104501e-22,1.9561142147532763e-20,1.5955418091458217e-17,4.4572825,-3.3261006,-0.35349393,3,2,2,2,2
14,-5.179371667794026,-2.4947039547989927,-13.013258534153055,14.069602758448289,-0.08335836992048123,-0.06613863492662977,1.0490137611505029e-19,1.3134377034067627e-19,1.2758342602178458e-16,-1.4684087,-2.5850785,-6.9513497,3,2,2,2,4
15,10.306644346972583,2.573553940025551,25.42765723766152,14.14056231605087,-0.07876968735369544,-0.059015124206935915,1.1958213175542805e-07,7.558354189851739e-16,-2.5939026955912802e-17,-1.6826152,-1.1823754,0.17797683,2,2,2,2,4
16,-17.85926703352849,-6.854657332371936,-46.46865600127318,13.720777544792464,-0.032982407916780615,-0.2042523096263447,-2.192627364988232e-19,-3.314182293816438e-20,-2.540015945574179e-17,10.391372,7.0547223,-5.016993,3,2,2,1,4
17,10.306644346972705,2.573553940026287,25.427657237661432,14.14056231605087,-0.07876968735369544,-0.059015124206935915,1.1958213175570627e-07,7.558364096328658e-16,1.925839639432892e-18,-1.6826152,-1.1823754,0.17797683,2,2,2,2,2
18,-2.1761571632804673,-1.485314785997497,-4.539291130546224,13.933877309717253,-0.06242885799881721,-0.21286277616480712,1.0192057465644748e+96,4.410188866390975e+95,6.798232677037092e+97,3.0873945,-5.854747,-4.959798,3,2,1,2,3
19,-0.7103389441229718,-0.9983821811837831,-0.9662496844254252,13.722313593241157,-0.14890197400490782,0.11413119103134234,4.9568105407501175e+70,7.610713369797698e+70,4.181487241104085e+73,9.94476,13.758584,4.729999,3,2,1,1,3
20,-7.707816773133741,-6.132665485134288,-7.045220534882896,14.07082882696468,-0.06690899518800092,-0.023941425781914077,-5.922859461670814e-20,1.2722268795870346e-19,7.535365145187009e-17,-11.964806,-6.010683,3.5796006,1,2,2,3,2
21,-12.21606064314404,-4.971854997868856,-30.12626574233882,13.792752291120081,-0.06398132050176436,0.22536324713854283,3.313397644166871e-19,4.6444953692730255e-20,2.5813989006768213e-17,-6.5128617,-1.9446833,-3.2687898,3,2,2,2,2
22,4.000700620049684,-0.5025185345562115,6.100530105571551,14.070083098444249,-0.08740735569604724,-0.08497562490839258,8.073434958424754e-05,0.0009798003723445802,0.4826356341927976,-13.343141,5.7343893,5.3784413,3,2,2,1,4
23,-1.4888435454378672,-1.256461274400755,-2.8603562089731605,14.14056231605087,-0.07876968735369544,-0.059015124206935915,1.8385073543959408e+82,-6.096009087462607e+82,-3.867479160443692e+85,-16.424131,6.1712103,-9.869283,3,2,1,1,5
24,-15.395522428097497,-6.1483158188933515,-38.80430651921867,14.000416550636656,-0.10144380941576722,-0.13637042276908454,-4.6839071454657484e-20,7.615941149341306e-20,8.203082771675666e-17,-5.2081976,15.954591,3.6821673,3,2,2,1,3
25,-11.641964189635974,-4.7636885248923715,-28.594354430022268,13.722631546600738,-0.06586103327379,0.4768532749989337,1.403213774488986e-19,-1.3228556521105997e-19,-4.287969017542373e-17,1.5252794,10.644738,-2.250537,3,2,2,1,4
26,10.306644346972615,2.573553940025864,25.42765723766152,14.14056231605087,-0.07876968735369544,-0.059015124206935915,1.1958213175539618e-07,7.560330565204769e-16,-7.136445199412645e-17,-1.6826152,-1.1823754,0.17797683,2,2,2,2,2
27,-4.212793720032519,-2.1695629033107076,-9.556628437291407,13.929466452399712,-0.12963486159333873,-0.2327860794248748,-3.043818175516787e+134,-4.623920857460272e+133,-1.3726551065411374e+137,-2.951299,-0.17214625,5.175108,3,2,1,2,3
28,-7.635952439561011,-3.343600755287129,-18.164529022313477,14.070424146870858,-0.10006792584038704,0.00034069331964155236,8.319621758373746e-21,1.0846785350912613e-19,7.18434651952116e-17,1.0166306,2.9665983,-5.908693,3,2,2,2,2
29,-12.323222197845755,-5.0108500386307995,-30.413340476147415,13.58507457990255,-0.006633315425528155,-0.2388481076519913,3.772890641448115e-21,5.154752317654266e-21,2.071530047878376e-18,11.27431,13.480335,14.668993,3,2,2,1,3
30,-17.206560877705993,-9.75714610025007,-29.535300955070074,13.794647131326682,0.008137321197053467,0.16609149452644942,-4.906709792190792e-20,-2.1384669271124535e-20,-4.046670427913586e-18,-3.6285522,-9.376224,2.7344687,1,2,2,6,4
31,-9.889984706894825,-4.135886792648725,-23.97958480145362,13.864329795869462,-0.002930039637421014,0.53711545600079,1.6754593000762935e-20,-8.860707005123896e-20,-2.100192087990209e-17,0.65783066,0.85751504,8.561889,3,2,2,1,4
32,-29.395901229902094,-11.91484148103537,-82.1024723679474,13.302042254072132,0.00507898357410503,1.1056590777374438,9.400522771776807e-20,1.1635242354651846e-19,7.558958809347157e-17,-1.8982106,0.20924555,8.124976,3,2,2,2,2
33,-0.48368642339668183,-0.9234610695012316,-0.4162082953811515,13.86185652050751,-0.07691907209440202,-0.2501072128685867,-3.1044149724650018e+66,-7.614795915281149e+65,-1.1603711344029247e+69,-6.0721855,20.975683,-0.09505747,3,2,1,1,4
34,10.306644346972693,2.573553940026277,25.427657237661386,14.14056231605087,-0.07876968735369544,-0.059015124206935915,1.1958213175606321e-07,7.559456679933374e-16,-1.5347715405179793e-17,-1.6826152,-1.1823754,0.17797683,2,2,2,2,4
6985,-9.089299542687876,-6.2191624182277705,-7.3407868653899,13.58479993806215,0.4559285282893158,-0.32803796129602536,3.087863842736888e-20,1.8615225570233183e-19,7.181576374540787e-17,-3.2396486,6.914692,8.774115,3,2,2,1,6
3022,-9.03137039296376,-3.8321253718636963,-21.749137918959235,13.795960005537419,0.01370947548590893,-0.25836600677477317,1.424537112464007e-20,-2.117710878225616e-20,-2.4906804691028393e-17,-4.0343904,-1.9794233,1.1901538,3,2,2,1,5
1790,-4.610452925980921,-2.304320333163195,-10.544515158115587,14.00351595920162,-0.022959793544451518,-0.23495106765264864,-1.144784567817353e-19,-1.3211369084234791e-19,-8.304366379622796e-17,-18.244831,0.2101192,-3.9654164,3,2,2,1,4
4769,-2.0268927956407246,-1.4355312409772043,-4.174112064065577,14.070408655390606,-0.06530876006663944,0.008373071250402389,6.713391109683189e+92,-8.293123997677678e+92,-8.776169185462397e+95,0.4504057,-0.3651697,-4.085733,3,2,1,2,6
7552,-93.6219810635094,-142.61666664168385,166.31622935670862,13.30793058389675,2.3294226930071784,-0.2506162153875283,-4.762422252986604e-20,-4.6634175856581985e-20,-2.6134725703036064e-17,-4.1940894,-10.387504,7.8395557,3,2,2,1,2
799,-7.069620416912563,-3.1470641433717264,-16.72309128979719,14.001781538394978,-0.06307141160077712,-0.14858368277794207,6.591033526462389e-20,-1.0440396086702739e-19,-4.006975919146744e-17,-12.59616,10.835602,-5.9432855,3,2,2,1,6
