label,Iso-map,,,RandomTrees,,,t_SNE,,,IsomapClustering,Random_TreesClustering,t-SNEClustering,LouvainClustering
1,1.76014,-78.99621,566.9558,13.65169,-0.89101,0.1864,17.72223,0.15017,-2.90095,1,2,2,3
2,6796.17646,-4302.25527,1119.17071,12.58957,1.99785,-0.47285,-7.64563,-9.76336,10.23465,1,1,2,5
3,-181.12692,-13.04431,-77.69621,13.07303,0.15883,-0.27029,23.31337,-6.98771,6.11514,1,1,1,2
4,-2235.90006,-267.23453,2079.44205,13.24989,-0.32315,1.37387,-0.00935,8.51442,-12.35474,1,1,2,3
5,40569.92424,-10930.51976,7845.686,10.10283,5.62203,-0.07076,-10.41449,-12.54048,16.8571,1,1,2,5
6,8.02043,-5910.46893,-4640.10851,12.22121,2.30147,-0.76358,-16.53974,-4.15193,8.25542,1,1,2,6
7,-1102.88605,2113.57584,-1812.95643,12.93838,0.34303,-0.58062,-3.22993,2.49929,18.88368,1,1,2,2
8,-265.84756,-15.29305,-68.00362,13.30209,-0.16606,0.35413,15.57156,12.53473,0.09956,1,1,2,3
9,-470.27282,6650.41346,-4057.91961,12.44537,1.39493,-0.37202,2.79196,2.46513,18.69067,1,1,2,2
10,-1290.80058,174.31663,-361.97284,12.39198,1.46882,-0.20598,-0.31488,15.92552,-8.19135,1,1,2,2
11,-3213.65496,-101.62574,3145.49421,13.18434,-0.62351,0.71289,17.28852,1.94676,-6.2294,1,1,2,3
12,8830.15741,-4078.19978,-1238.87603,12.13553,3.67756,-0.82859,-8.84982,-14.16949,2.5341,1,1,2,5
13,-689.46161,67.12161,-208.15037,13.3196,-0.87426,0.47495,12.04515,-10.02231,-1.69171,1,1,2,2
14,1189.66354,-140.80199,405.34545,14.08365,-0.95134,-0.73609,0.60507,2.06349,-0.50224,2,2,2,1
15,-6428.18358,307.07763,-475.77132,11.99824,1.44259,0.3977,7.07131,21.13583,-3.75244,1,1,2,2
16,1189.66354,-140.80199,405.34545,14.08365,-0.95134,-0.73609,0.60507,2.06349,-0.50224,2,2,2,1
17,-461.3868,0.85482,-23.17774,12.7676,-0.00809,2.24094,-1.25686,10.2404,-2.97472,1,1,2,3
18,-653.4843,-48.60812,578.46207,13.58506,-0.82354,0.18315,2.12332,2.91738,-22.27037,1,2,2,3
19,-915.71084,47.87734,-313.68458,13.14687,-0.66956,-0.54307,-10.82038,-6.3948,5.05797,1,1,2,4
20,11443.14515,5408.49204,2498.42427,11.99755,3.792,-1.73627,-2.83366,-17.07303,10.3708,1,1,2,5
21,266.34458,-54.75033,80.00976,13.8113,-1.04826,-0.53927,5.58359,3.6217,-3.22355,1,2,2,2
22,-393.4165,-50.79006,-260.5466,13.64448,-0.24004,-0.78322,-10.67299,3.03616,-6.62482,1,2,2,6
23,-1871.62814,118.92884,-489.11899,13.1871,-0.92392,-0.28039,8.12198,-13.29349,-8.85384,1,1,2,3
24,-1274.76647,258.06914,-565.14866,12.68095,0.64012,-0.42644,-2.9529,-2.02045,14.37971,1,1,2,2
25,1189.66354,-140.80199,405.34545,14.08365,-0.95134,-0.73609,0.60507,2.06349,-0.50224,2,2,2,1
26,-871.52986,45.00258,-224.54497,13.30177,-0.85861,0.52383,1.81079,12.98516,-4.76872,1,1,2,3
27,-507.93211,278.42392,-684.03275,13.08287,0.95646,-0.81223,-10.82571,-3.88555,16.59686,1,1,2,5
28,-1580.54361,64.59309,116.90776,12.45655,-0.73534,1.68171,1.54145,5.52682,-10.75042,1,1,2,3
29,-5185.22846,-221.98608,-998.29583,11.94454,1.31355,1.08217,16.73548,2.44861,12.75659,1,1,3,2
