label,Iso_map,,,Random_Trees,,,t_sne,,,IsomapClustering,Random_TreesClustering,SpectralClustering,tSNEClustering,LouvainClustering
1,10.30664,2.57355,25.42766,14.14056,-0.07877,-0.05902,3.24774,-6.25599,-3.72207,2,2,2,2,2
2,738.43056,0.62376,-25.15474,14.14056,-0.07877,-0.05902,4.24571,-3.46631,-3.26927,1,2,1,2,3
3,-15.11567,-6.04309,-38.02652,13.93292,0.05872,0.56835,16.85279,-12.86737,8.08367,3,2,2,1,2
4,-1.25015,-1.17721,-2.27878,13.92929,-0.04601,-0.1058,1.35619,-0.21488,17.12562,3,2,1,1,4
5,-8.39273,-3.60777,-20.10256,13.93361,-0.0503,0.08071,1.7864,-11.72124,4.96607,3,2,2,1,3
6,-66.47425,-64.88535,-43.31702,13.57781,-0.07728,0.36053,17.4329,-0.79983,3.0176,1,2,2,1,2
7,-10.84908,-4.4782,-26.49493,13.72112,-0.03749,0.13701,-3.16511,0.29155,-23.09413,3,2,2,1,5
8,-7.88189,-3.42925,-18.79282,13.92915,-0.09239,0.03925,-4.44137,-0.76921,3.55207,3,2,2,2,4
9,-0.498,-0.92819,-0.45092,13.72328,0.02234,0.63616,14.03385,-10.806,-1.77389,3,2,1,1,3
10,-10.09055,-4.3962,-23.49013,13.79607,0.08574,0.54121,7.84122,5.44259,6.36539,3,2,2,1,4
11,-5.41217,-2.57724,-12.54523,13.92916,-0.09793,-0.00295,-2.9918,-5.01295,-4.87114,3,2,2,2,4
12,-2.51124,-1.59725,-5.36027,14.07081,-0.0818,-0.15893,8.19832,-2.26737,-1.81129,3,2,1,2,3
13,-19.03219,-7.54771,-49.18273,13.58083,-0.06393,0.26112,4.45728,-3.3261,-0.35349,3,2,2,2,2
14,-5.17937,-2.4947,-13.01326,14.0696,-0.08336,-0.06614,-1.46841,-2.58508,-6.95135,3,2,2,2,4
15,10.30664,2.57355,25.42766,14.14056,-0.07877,-0.05902,-1.68262,-1.18238,0.17798,2,2,2,2,4
16,-17.85927,-6.85466,-46.46866,13.72078,-0.03298,-0.20425,10.39137,7.05472,-5.01699,3,2,2,1,4
17,10.30664,2.57355,25.42766,14.14056,-0.07877,-0.05902,-1.68262,-1.18238,0.17798,2,2,2,2,2
18,-2.17616,-1.48531,-4.53929,13.93388,-0.06243,-0.21286,3.08739,-5.85475,-4.9598,3,2,1,2,3
19,-0.71034,-0.99838,-0.96625,13.72231,-0.1489,0.11413,9.94476,13.75858,4.73,3,2,1,1,3
20,-7.70782,-6.13267,-7.04522,14.07083,-0.06691,-0.02394,-11.9648,-6.01068,3.5796,1,2,2,3,2
21,-12.21606,-4.97185,-30.12627,13.79275,-0.06398,0.22536,-6.51286,-1.94468,-3.26879,3,2,2,2,2
22,4.0007,-0.50252,6.10053,14.07008,-0.08741,-0.08498,-13.34314,5.73439,5.37844,3,2,2,1,4
23,-1.48884,-1.25646,-2.86036,14.14056,-0.07877,-0.05902,-16.42413,6.17121,-9.86928,3,2,1,1,5
