label,Anatomy,,,Random_Trees,,,Spectral,,,t-SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
1,10.30664,2.57355,25.42766,14.14056,-0.07877,-0.05902,0.0,0.0,-0.0,3.24774,-6.25599,-3.72207,2,2,2,2,2
2,738.43056,0.62376,-25.15474,14.14056,-0.07877,-0.05902,-103312873.02126,213815110.85182,163544175265.0948,4.24571,-3.46631,-3.26927,1,2,1,2,3
3,-15.11567,-6.04309,-38.02652,13.93292,0.05872,0.56835,-0.0,0.0,0.0,16.85279,-12.86737,8.08367,3,2,2,1,2
4,-1.25015,-1.17721,-2.27878,13.92929,-0.04601,-0.1058,4.6858640544384575e+78,5.858266065042941e+78,4.0972596757446856e+81,1.35619,-0.21488,17.12562,3,2,1,1,4
5,-8.39273,-3.60777,-20.10256,13.93361,-0.0503,0.08071,0.0,-0.0,-0.0,1.7864,-11.72124,4.96607,3,2,2,1,3
6,-66.47425,-64.88535,-43.31702,13.57781,-0.07728,0.36053,-0.0,0.0,0.0,17.4329,-0.79983,3.0176,1,2,2,1,2
7,-10.84908,-4.4782,-26.49493,13.72112,-0.03749,0.13701,0.0,-0.0,-0.0,-3.16511,0.29155,-23.09413,3,2,2,1,5
8,-7.88189,-3.42925,-18.79282,13.92915,-0.09239,0.03925,-0.0,0.0,0.0,-4.44137,-0.76921,3.55207,3,2,2,2,4
9,-0.498,-0.92819,-0.45092,13.72328,0.02234,0.63616,3.498451030730935e+67,3.6814547563678086e+67,1.3415682080604939e+70,14.03385,-10.806,-1.77389,3,2,1,1,3
10,-10.09055,-4.3962,-23.49013,13.79607,0.08574,0.54121,0.0,-0.0,-0.0,7.84122,5.44259,6.36539,3,2,2,1,4
11,-5.41217,-2.57724,-12.54523,13.92916,-0.09793,-0.00295,0.0,0.0,0.0,-2.9918,-5.01295,-4.87114,3,2,2,2,4
