label,Anatomy,,,t-SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
1,10.306644346972654,2.573553940026,25.427657237661432,3.247745,-6.2559905,-3.7220697,2,2,2,2,2
2,738.4305615912764,0.6237558643777361,-25.154744957976565,4.2457085,-3.466307,-3.2692666,1,2,1,2,3
3,-15.115667799914034,-6.043086482916223,-38.0265178716366,16.852793,-12.867373,8.083669,3,2,2,1,2
4,-1.2501467249162566,-1.177206881794871,-2.2787825393249523,1.3561891,-0.21488246,17.125624,3,2,1,1,4
5,-8.392725402397197,-3.6077698095828192,-20.102563575376447,1.7864037,-11.721244,4.966073,3,2,2,1,3
6,-66.47424754258495,-64.88535278637539,-43.317016362612065,17.432898,-0.7998314,3.0176036,1,2,2,1,2
7,-10.849082098247106,-4.478203453796847,-26.49492772267304,-3.1651103,0.29155135,-23.09413,3,2,2,1,5
8,-7.8818855492199,-3.4292529430085534,-18.792824851022075,-4.441368,-0.76921004,3.5520732,3,2,2,2,4
9,-0.49799699034862627,-0.928188713432913,-0.4509193466104838,14.033851,-10.805999,-1.7738879,3,2,1,1,3
10,-10.090546017326378,-4.396204245681842,-23.49012767389406,7.8412223,5.4425864,6.3653884,3,2,2,1,4
11,-5.412169171523858,-2.577242493088591,-12.5452348247874,-2.9917994,-5.012948,-4.8711414,3,2,2,2,4
12,-2.511241447909019,-1.5972473413631718,-5.360269068039191,8.19832,-2.2673688,-1.811288,3,2,1,2,3
13,-19.03219333133928,-7.547714128380827,-49.18272554432899,4.4572825,-3.3261006,-0.35349393,3,2,2,2,2
14,-5.179371667794026,-2.4947039547989927,-13.013258534153055,-1.4684087,-2.5850785,-6.9513497,3,2,2,2,4
15,10.306644346972583,2.573553940025551,25.42765723766152,-1.6826152,-1.1823754,0.17797683,2,2,2,2,4
16,-17.85926703352849,-6.854657332371936,-46.46865600127318,10.391372,7.0547223,-5.016993,3,2,2,1,4
17,10.306644346972705,2.573553940026287,25.427657237661432,-1.6826152,-1.1823754,0.17797683,2,2,2,2,2
18,-2.1761571632804673,-1.485314785997497,-4.539291130546224,3.0873945,-5.854747,-4.959798,3,2,1,2,3
19,-0.7103389441229718,-0.9983821811837831,-0.9662496844254252,9.94476,13.758584,4.729999,3,2,1,1,3
20,-7.707816773133741,-6.132665485134288,-7.045220534882896,-11.964806,-6.010683,3.5796006,1,2,2,3,2
21,-12.21606064314404,-4.971854997868856,-30.12626574233882,-6.5128617,-1.9446833,-3.2687898,3,2,2,2,2
22,4.000700620049684,-0.5025185345562115,6.100530105571551,-13.343141,5.7343893,5.3784413,3,2,2,1,4
23,-1.4888435454378672,-1.256461274400755,-2.8603562089731605,-16.424131,6.1712103,-9.869283,3,2,1,1,5
24,-15.395522428097497,-6.1483158188933515,-38.80430651921867,-5.2081976,15.954591,3.6821673,3,2,2,1,3
25,-11.641964189635974,-4.7636885248923715,-28.594354430022268,1.5252794,10.644738,-2.250537,3,2,2,1,4
26,10.306644346972615,2.573553940025864,25.42765723766152,-1.6826152,-1.1823754,0.17797683,2,2,2,2,2
27,-4.212793720032519,-2.1695629033107076,-9.556628437291407,-2.951299,-0.17214625,5.175108,3,2,1,2,3
28,-7.635952439561011,-3.343600755287129,-18.164529022313477,1.0166306,2.9665983,-5.908693,3,2,2,2,2
29,-12.323222197845755,-5.0108500386307995,-30.413340476147415,11.27431,13.480335,14.668993,3,2,2,1,3
30,-17.206560877705993,-9.75714610025007,-29.535300955070074,-3.6285522,-9.376224,2.7344687,1,2,2,6,4
31,-9.889984706894825,-4.135886792648725,-23.97958480145362,0.65783066,0.85751504,8.561889,3,2,2,1,4
32,-29.395901229902094,-11.91484148103537,-82.1024723679474,-1.8982106,0.20924555,8.124976,3,2,2,2,2
33,-0.48368642339668183,-0.9234610695012316,-0.4162082953811515,-6.0721855,20.975683,-0.09505747,3,2,1,1,4
34,10.306644346972693,2.573553940026277,25.427657237661386,-1.6826152,-1.1823754,0.17797683,2,2,2,2,4
6985,-9.089299542687876,-6.2191624182277705,-7.3407868653899,-3.2396486,6.914692,8.774115,3,2,2,1,6
3022,-9.03137039296376,-3.8321253718636963,-21.749137918959235,-4.0343904,-1.9794233,1.1901538,3,2,2,1,5
1790,-4.610452925980921,-2.304320333163195,-10.544515158115587,-18.244831,0.2101192,-3.9654164,3,2,2,1,4
4769,-2.0268927956407246,-1.4355312409772043,-4.174112064065577,0.4504057,-0.3651697,-4.085733,3,2,1,2,6
7552,-93.6219810635094,-142.61666664168385,166.31622935670862,-4.1940894,-10.387504,7.8395557,3,2,2,1,2
799,-7.069620416912563,-3.1470641433717264,-16.72309128979719,-12.59616,10.835602,-5.9432855,3,2,2,1,6
6264,-5.5744033447101895,-2.632678341489778,-12.951629239601617,-0.33445936,2.3619153,6.2022915,3,2,1,2,4
1367,-23.6388533135541,-10.749155571324483,-60.43719131683352,-2.44622,11.1114855,5.2217903,3,2,1,2,3
2135,-4.468937075078391,-2.256318188798788,-10.192622039295037,-1.0949044,1.4719515,22.099234,1,2,1,2,4
831,-35.041246940579256,82.53953442876596,-96.53469844147438,9.495696,-9.227966,-2.5366597,3,2,2,1,6
3948,-18.13424498950714,55.30845021696491,-37.61184181838815,-0.20142065,-12.803167,-4.31621,3,2,2,2,2
3565,-8.378882906775354,-3.6029215455552115,-20.06698831300418,-3.7709045,-2.7465987,-8.049681,3,2,2,1,2
895,-24.12751604428545,35.87309053218008,-59.65866327651754,0.1453128,-0.20331971,8.892837,3,2,1,1,2
5902,-5.368617335782168,-2.562372814167722,-12.436227729310422,-5.747801,-2.938024,-1.1783599,3,2,1,1,4
4359,-10.583116335732576,-4.449297382391059,-26.42461818171872,6.7352085,4.929257,-2.3778205,3,2,2,1,4
5853,-10.644680976393152,-4.40497679871098,-25.956682754037836,-3.0941083,7.4396615,0.83038783,2,2,2,2,6
5644,-2.970774989128066,-1.7511513357370168,-6.488920383218192,2.265149,13.626608,16.013105,3,2,1,1,6
2826,-22.641630500760545,-9.000372318170083,-60.035440422714906,-2.220171,-7.0172048,5.4035864,2,2,2,2,2
2435,1.2945387409680258,-0.3387330297421726,3.8799989133319155,5.2064323,-3.4323308,3.6972222,3,2,1,1,6
2510,-9.443402669627863,-3.9775842839605517,-22.817037040127897,15.768297,-0.70149136,-9.537534,3,2,2,15,5
5703,-3.340036868438412,-1.8751679825921748,-7.398274549672216,19.589584,-0.21827018,-5.748748,3,2,2,1,3
4666,-11.63830867556619,-4.762367007556525,-28.584632296737457,-4.2466507,-6.564902,-7.2025146,3,2,1,2,3
3919,-19.359759207825277,-7.676817270441927,-50.143767092671915,2.1579115,1.4338152,6.685409,3,2,2,2,3
141,-10.917398818683935,-4.502711359113521,-26.675093071004707,-0.11854611,-5.5139203,2.087912,1,2,2,1,6
6457,-9.408288660216307,-3.965165913682397,-22.72585466860267,7.078254,-4.1093974,-2.774366,1,2,2,1,6
226,-20.433141287859936,-8.103600346271445,-53.32540788254097,0.19868487,-11.467093,19.373592,3,2,2,1,3
1059,-48.73660316346785,47.86791339127935,-187.92435600931645,15.128834,-4.702411,-5.9934964,3,2,1,1,2
1187,-10.316192747997507,-4.2876074698341835,-25.09417547039892,-9.4094715,5.5344906,12.755872,3,2,1,1,6
5983,-2.89441268401365,-1.725543887936185,-6.301140975169714,9.729129,-1.9812895,3.9380846,3,2,2,2,2
2380,-4.085145412647825,-2.1263897010641726,-9.240123971119523,21.287493,5.485758,4.1272297,3,2,2,1,3
131,5.414739430282697,121.10750651984519,-39.75934558230695,7.2965355,-10.7277975,-5.337948,3,2,1,1,4
3514,-11.620646398012235,-4.793460371741844,-28.640675326477343,-4.163587,11.822498,7.9124026,3,2,2,1,6
7409,1.5356335419549667,-117.14142201414748,707.5224392716333,-0.8302926,-8.174254,10.657546,3,2,2,1,2
5897,4.314788847634208,0.3841358658999679,9.416195277031878,7.655737,-14.523717,-2.491484,2,2,2,2,4
4382,-7.492728616954802,-3.2938053265870195,-17.799289148316,13.26014,2.2944238,-18.213127,3,2,2,1,4
2990,-3.723206130752404,-2.004191565211372,-8.344252746902448,12.604846,-10.220912,-15.658874,1,2,2,12,6
2407,-1.9149499558590437,-1.3982260862285427,-3.9004497800878877,4.1490984,0.50111383,0.26635644,2,2,2,2,3
2139,-11.978929231000937,-4.885720735183574,-29.492282151175043,12.123048,-7.495756,17.388914,3,2,1,1,6
2193,-5.085940458969228,-2.4659831013835527,-11.729618024319295,17.912104,-7.3212376,-0.06430407,3,2,2,1,5
5136,2.7077230341244194,0.12254229727775164,7.274317648042603,-1.2577101,3.6728215,2.3074245,2,2,2,2,3
2702,-12.101466798103852,-38.820808305928956,50.627957831847446,-6.567691,-6.541731,-6.0880947,3,2,2,1,2
2145,-22.168973919883744,-7.483391314786111,-63.380265455685695,6.9251275,1.6672287,-10.662494,2,2,2,2,3
4261,-32.13448579611973,-15.897466568546488,-87.60196986694095,1.125978,13.085175,1.674615,3,2,1,1,4
2301,-11.135230807977058,-4.580969044938717,-27.25046751950565,2.4597216,7.0224605,8.983388,3,2,1,1,3
96,-24.051020902706107,-10.997811676592159,-52.4109877520128,-11.672286,-6.6869535,-6.9391217,3,2,2,1,3
2219,-7.448330393432879,-3.278381862582424,-17.686165418915525,16.420866,-10.361801,7.3293033,3,2,1,1,6
5345,-2.5063069396308464,-1.5955972412258108,-5.348167085031961,-8.81846,15.748082,14.666465,3,2,2,1,3
740,-13.588802725485538,-0.9614837230913135,-35.58620872492907,-8.026659,-5.417426,-7.841585,1,2,1,1,3
971,-22.793000888532877,-9.062788870417382,-60.5037685171548,-16.019854,-2.744391,-10.811301,3,2,1,1,2
2691,-13.708459570123761,-5.518957034338244,-34.1572946572247,-1.375391,1.2795283,-5.999967,3,2,2,2,5
2967,-57.40260653127944,-35.52407615309973,-208.00112755228,5.7009425,-7.980999,8.412926,3,2,2,1,2
5520,-11.646764946335022,-4.067617416810999,-29.807975831254836,0.24069335,9.934068,-8.319318,3,2,2,1,6
344,-0.4311469264856403,-0.9061072918335716,-0.288791326421167,-13.435089,-11.152236,3.4914541,3,2,2,2,3
3026,12.004037421445638,-8.442864967781935,-38.4493720306488,9.439151,-8.608745,3.1966813,3,2,1,1,4
7538,-5.722875744558345,-2.683474501865654,-13.324016667991579,7.0600967,6.1084466,3.8422346,3,2,2,2,3
1509,-0.49198990797844505,-0.9262041662072855,-0.4363485539116712,21.8295,-3.0150511,2.6967628,3,2,2,2,6
1872,-15.33613675623,-6.280210143767511,-38.590269815233405,3.1941233,-13.692503,5.7495017,3,2,1,1,6
4868,-1.0179290353289325,-25.55130950162316,28.51679952650506,10.540127,-5.010661,4.000763,3,2,2,1,2
4195,4.698163652237084,3.0280943971089003,6.455293777344242,-2.3645694,11.399539,0.8884688,3,2,1,1,3
4092,-28.19002067864113,-11.479792228510592,-78.20057189112042,9.673563,7.9606385,-2.2564886,3,2,2,1,3
4672,-68.55217692213266,-395.1192995452264,2963.1266996783856,-1.7623272,-8.5333395,10.228624,3,2,1,1,2
5056,-14.419457951726036,-5.485285587309549,-36.70056515054147,7.397714,10.643823,-1.9181482,1,2,2,1,5
3767,-16.33383996140617,-6.503621988832174,-41.43305819456783,4.159721,6.3532324,-1.1204257,3,2,2,1,3
3662,-24.450310860348598,-78.33040652324426,472.9183020185482,-1.6846555,-8.743914,10.039368,1,2,2,4,2
1516,-13.422111402992087,-5.413300352099647,-33.378234043699706,20.500374,8.14738,0.43414262,2,2,2,2,5
6246,-2.1128881048478876,-1.4642071680843802,-4.384462632243183,3.2120557,2.8071787,-0.6065552,3,2,2,1,4
5253,42.718331557476354,-5.966942893009812,-53.75998411120543,-3.6191545,4.3200274,12.791712,3,2,2,1,4
1714,-2.660467252871075,-1.6471736839958735,-5.726422730483989,9.323652,-15.141221,13.6478405,3,2,2,1,6
7750,-13.561660507140573,-5.4647498748992325,-33.75756098489459,8.484588,-16.634287,-7.5777774,3,2,1,2,4
4211,-12.55301411434704,-5.5426109851145,-30.77937294481546,-0.98289543,-2.2004395,-13.708922,3,2,1,1,4
7724,-6.094040210568924,-5.024235286835929,-0.7051662958512254,-7.388947,-3.0411496,11.8221855,3,2,2,1,6
4826,10.139122490089678,-58.60869391681408,11.525561921441174,6.0497994,-11.844165,-2.032982,3,2,2,1,2
