label,Anatomy,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
1,10.306644346972654,2.573553940026,25.427657237661432,2,2,2,2,2
2,738.4305615912764,0.6237558643777361,-25.154744957976565,1,2,1,2,3
3,-15.115667799914034,-6.043086482916223,-38.0265178716366,3,2,2,1,2
4,-1.2501467249162566,-1.177206881794871,-2.2787825393249523,3,2,1,1,4
5,-8.392725402397197,-3.6077698095828192,-20.102563575376447,3,2,2,1,3
6,-66.47424754258495,-64.88535278637539,-43.317016362612065,1,2,2,1,2
7,-10.849082098247106,-4.478203453796847,-26.49492772267304,3,2,2,1,5
8,-7.8818855492199,-3.4292529430085534,-18.792824851022075,3,2,2,2,4
9,-0.49799699034862627,-0.928188713432913,-0.4509193466104838,3,2,1,1,3
10,-10.090546017326378,-4.396204245681842,-23.49012767389406,3,2,2,1,4
11,-5.412169171523858,-2.577242493088591,-12.5452348247874,3,2,2,2,4
12,-2.511241447909019,-1.5972473413631718,-5.360269068039191,3,2,1,2,3
13,-19.03219333133928,-7.547714128380827,-49.18272554432899,3,2,2,2,2
14,-5.179371667794026,-2.4947039547989927,-13.013258534153055,3,2,2,2,4
15,10.306644346972583,2.573553940025551,25.42765723766152,2,2,2,2,4
16,-17.85926703352849,-6.854657332371936,-46.46865600127318,3,2,2,1,4
17,10.306644346972705,2.573553940026287,25.427657237661432,2,2,2,2,2
18,-2.1761571632804673,-1.485314785997497,-4.539291130546224,3,2,1,2,3
19,-0.7103389441229718,-0.9983821811837831,-0.9662496844254252,3,2,1,1,3
20,-7.707816773133741,-6.132665485134288,-7.045220534882896,1,2,2,3,2
21,-12.21606064314404,-4.971854997868856,-30.12626574233882,3,2,2,2,2
22,4.000700620049684,-0.5025185345562115,6.100530105571551,3,2,2,1,4
23,-1.4888435454378672,-1.256461274400755,-2.8603562089731605,3,2,1,1,5
24,-15.395522428097497,-6.1483158188933515,-38.80430651921867,3,2,2,1,3
25,-11.641964189635974,-4.7636885248923715,-28.594354430022268,3,2,2,1,4
26,10.306644346972615,2.573553940025864,25.42765723766152,2,2,2,2,2
27,-4.212793720032519,-2.1695629033107076,-9.556628437291407,3,2,1,2,3
28,-7.635952439561011,-3.343600755287129,-18.164529022313477,3,2,2,2,2
29,-12.323222197845755,-5.0108500386307995,-30.413340476147415,3,2,2,1,3
30,-17.206560877705993,-9.75714610025007,-29.535300955070074,1,2,2,6,4
31,-9.889984706894825,-4.135886792648725,-23.97958480145362,3,2,2,1,4
32,-29.395901229902094,-11.91484148103537,-82.1024723679474,3,2,2,2,2
33,-0.48368642339668183,-0.9234610695012316,-0.4162082953811515,3,2,1,1,4
34,10.306644346972693,2.573553940026277,25.427657237661386,2,2,2,2,4
6985,-9.089299542687876,-6.2191624182277705,-7.3407868653899,3,2,2,1,6
3022,-9.03137039296376,-3.8321253718636963,-21.749137918959235,3,2,2,1,5
1790,-4.610452925980921,-2.304320333163195,-10.544515158115587,3,2,2,1,4
4769,-2.0268927956407246,-1.4355312409772043,-4.174112064065577,3,2,1,2,6
7552,-93.6219810635094,-142.61666664168385,166.31622935670862,3,2,2,1,2
799,-7.069620416912563,-3.1470641433717264,-16.72309128979719,3,2,2,1,6
6264,-5.5744033447101895,-2.632678341489778,-12.951629239601617,3,2,1,2,4
1367,-23.6388533135541,-10.749155571324483,-60.43719131683352,3,2,1,2,3
2135,-4.468937075078391,-2.256318188798788,-10.192622039295037,1,2,1,2,4
831,-35.041246940579256,82.53953442876596,-96.53469844147438,3,2,2,1,6
3948,-18.13424498950714,55.30845021696491,-37.61184181838815,3,2,2,2,2
3565,-8.378882906775354,-3.6029215455552115,-20.06698831300418,3,2,2,1,2
895,-24.12751604428545,35.87309053218008,-59.65866327651754,3,2,1,1,2
5902,-5.368617335782168,-2.562372814167722,-12.436227729310422,3,2,1,1,4
4359,-10.583116335732576,-4.449297382391059,-26.42461818171872,3,2,2,1,4
5853,-10.644680976393152,-4.40497679871098,-25.956682754037836,2,2,2,2,6
5644,-2.970774989128066,-1.7511513357370168,-6.488920383218192,3,2,1,1,6
2826,-22.641630500760545,-9.000372318170083,-60.035440422714906,2,2,2,2,2
2435,1.2945387409680258,-0.3387330297421726,3.8799989133319155,3,2,1,1,6
2510,-9.443402669627863,-3.9775842839605517,-22.817037040127897,3,2,2,15,5
5703,-3.340036868438412,-1.8751679825921748,-7.398274549672216,3,2,2,1,3
4666,-11.63830867556619,-4.762367007556525,-28.584632296737457,3,2,1,2,3
3919,-19.359759207825277,-7.676817270441927,-50.143767092671915,3,2,2,2,3
141,-10.917398818683935,-4.502711359113521,-26.675093071004707,1,2,2,1,6
6457,-9.408288660216307,-3.965165913682397,-22.72585466860267,1,2,2,1,6
226,-20.433141287859936,-8.103600346271445,-53.32540788254097,3,2,2,1,3
1059,-48.73660316346785,47.86791339127935,-187.92435600931645,3,2,1,1,2
1187,-10.316192747997507,-4.2876074698341835,-25.09417547039892,3,2,1,1,6
5983,-2.89441268401365,-1.725543887936185,-6.301140975169714,3,2,2,2,2
2380,-4.085145412647825,-2.1263897010641726,-9.240123971119523,3,2,2,1,3
131,5.414739430282697,121.10750651984519,-39.75934558230695,3,2,1,1,4
3514,-11.620646398012235,-4.793460371741844,-28.640675326477343,3,2,2,1,6
7409,1.5356335419549667,-117.14142201414748,707.5224392716333,3,2,2,1,2
5897,4.314788847634208,0.3841358658999679,9.416195277031878,2,2,2,2,4
4382,-7.492728616954802,-3.2938053265870195,-17.799289148316,3,2,2,1,4
2990,-3.723206130752404,-2.004191565211372,-8.344252746902448,1,2,2,12,6
2407,-1.9149499558590437,-1.3982260862285427,-3.9004497800878877,2,2,2,2,3
2139,-11.978929231000937,-4.885720735183574,-29.492282151175043,3,2,1,1,6
2193,-5.085940458969228,-2.4659831013835527,-11.729618024319295,3,2,2,1,5
5136,2.7077230341244194,0.12254229727775164,7.274317648042603,2,2,2,2,3
2702,-12.101466798103852,-38.820808305928956,50.627957831847446,3,2,2,1,2
2145,-22.168973919883744,-7.483391314786111,-63.380265455685695,2,2,2,2,3
4261,-32.13448579611973,-15.897466568546488,-87.60196986694095,3,2,1,1,4
2301,-11.135230807977058,-4.580969044938717,-27.25046751950565,3,2,1,1,3
96,-24.051020902706107,-10.997811676592159,-52.4109877520128,3,2,2,1,3
2219,-7.448330393432879,-3.278381862582424,-17.686165418915525,3,2,1,1,6
5345,-2.5063069396308464,-1.5955972412258108,-5.3[?2004h[?1049h[22;0;0t[?1h=[?2004h[?12h[?12l[27m[23m[29m[m[H[2J[?25l[2;1H[94m~                                                                                                                              [3;1H~                                                                                                                              [4;1H~                                                                                                                              [5;1H~                                                                                                                              [6;1H~                                                                                                                              [7;1H~                                                                                                                              [8;1H~                                                                                                                              [9;1H~                                                                                                                              [10;1H~                                                                                                                              [11;1H~                                                                                                                              [12;1H~                                                                                                                              [13;1H~                                                                                                                              [14;1H~                                                                                                                              [15;1H~                                                                                                                              [16;1H~                                                                                                                              [17;1H~                                                                                                                              [18;1H~                                                                                                                              [19;1H~                                                                                                                              [20;1H~                                                                                                                              [21;1H~                                                                                                                              [22;1H~                                                                                                                              [23;1H~                                                                                                                              [24;1H~                                                                                                                              [25;1H~                                                                                                                              [26;1H~                                                                                                                              [27;1H~                                                                                                                              [1;1H[?25h[?25l[m[28;1HType  :qa!  and press <Enter> to abandon all changes and exit Vim[1;1H[?25h[?25l[?25h[?25l[?25h[?25l[?25h[?25l[28;1H[1mrecording @d[m[28;13H[K[1;1H[?25h[?25l[28;1H[K[1;1H[?25h[?25l[28;1HType  :qa!  and press <Enter> to abandon all changes and exit Vim[1;1H[?25h[?25l[?25h[?25l[?25h[?25l[?25h[?25l[?25h[?25l[?25h[28;1H
[?2004l[?1l>[?1049l[23;0;0t[?2004l1892,2,2,2,2,2
6623,-2.8320668216898413,-1.7046464756194308,-6.147896829162024,3,2,2,1,3
7992,2.405583381995972,0.024146055552338636,6.549822530192788,2,2,2,2,6
2471,3.3068265011935436,0.2584548678414874,8.373918520035412,3,2,2,1,6
6406,-14.560420537874387,-5.835292582451683,-36.49160730084765,3,2,2,1,3
3253,-8.446151355841781,-3.626487728934297,-20.239913205137185,3,2,2,2,6
718,-14.538891091503231,-5.965653171064744,-37.013029889984594,3,2,1,1,6
2735,-13.716565142024967,-5.5666331742811295,-34.30649967304201,3,2,2,1,6
1093,2.7267637266654963,0.12873935507872594,7.319955341126331,3,2,2,1,6
4838,-8.926579502221996,-3.795221155187233,-21.47824900164349,3,2,1,1,3
5680,-17.604069476375546,-7.013058503270066,-44.94773891803746,3,2,2,1,3
358,-12.440527101330602,-5.053586629025538,-30.728000089475515,3,2,3,2,6
1586,-6.135655030467879,-2.6003385521287172,-14.796687385173191,3,2,1,1,3
