label,Iso_map,,,RandomTrees,,,Spec-tral,,,t_SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
1,17.86152,10.60888,3.11563,0.05806,1.72522,3.77544,0.00856,0.00926,0.00235,-16.54927,59.4526,-76.35594,1,1,1,2,1
2,9.48924,10.97886,5.12402,0.52014,1.2183,1.62456,0.00444,0.00678,-0.00435,-16.02625,59.36096,-8.39446,1,1,1,2,2
3,12.23272,11.76356,4.15329,0.19618,1.34402,2.29665,0.00583,0.00875,-0.00381,-18.30216,-49.7465,-61.45245,1,1,1,1,2
4,7.50439,12.67373,-0.52378,0.61921,0.86652,1.19474,0.00377,0.00795,-0.00589,-29.73508,-26.19417,112.82035,1,1,1,1,1
5,3.05844,5.95347,5.52844,0.87747,0.79766,0.42407,0.0017,0.00587,-0.00346,-4.39566,57.03009,5.79907,1,1,1,2,2
6,-2.04393,10.21728,2.83372,1.94525,0.26313,0.25657,0.00033,0.00589,-0.00608,1.97995,70.53866,12.76776,1,1,1,2,4
7,18.6218,7.93189,3.6871,0.07218,2.20439,4.63674,0.00896,0.00761,0.00663,-29.7349,65.64271,-57.6996,1,1,1,2,1
8,20.53025,6.67458,6.43901,0.06731,2.22302,4.78846,0.00929,0.00789,0.00897,-12.12824,72.08678,-60.6341,1,1,1,2,2
9,22.69021,1.24801,6.90914,0.04953,2.0635,4.8371,0.00958,0.00777,0.0107,8.6366,79.28106,31.875,1,1,1,2,2
10,-10.38019,4.80565,-0.06223,12.27386,-2.91651,1.83017,-0.00441,0.00328,0.00097,-72.05284,19.32769,35.88092,2,1,1,2,4
11,19.40786,7.88982,3.79369,0.06229,2.34233,5.2915,0.00917,0.00797,0.00784,33.66683,-8.66874,-77.11773,1,1,1,1,2
12,7.02237,11.37695,-1.23601,0.65892,1.27682,0.92497,0.00349,0.0064,-0.00495,-16.55002,76.83609,20.76797,1,1,1,2,4
13,20.76336,6.02718,5.86016,0.07805,2.67836,5.75987,0.00936,0.00743,0.00959,54.68694,-33.3955,110.97358,1,1,1,1,2
14,6.80936,8.3745,-0.31988,0.76215,1.75397,1.83011,0.00358,0.00635,-0.00685,-26.18659,74.70612,-8.85717,1,1,1,2,1
15,20.79374,3.14404,7.36289,0.09642,2.84562,5.95181,0.00921,0.00689,0.00945,-22.44405,45.80239,-61.79847,1,1,1,2,2
16,2.96512,10.68626,0.35441,1.40227,1.36589,0.65834,0.00151,0.00653,-0.00537,-12.99977,79.89426,5.41658,1,1,1,2,4
17,5.29752,9.13083,-1.22211,1.23337,1.50826,0.94541,0.00228,0.0062,-0.0063,-0.32524,54.36036,19.08813,1,1,1,2,1
