label,anatomy,,
1,10.22449,847.606122,200
2,12.948399,823.439502,200
3,22.911532,931.383886,200
4,21.123711,796.54811,200
5,32.781469,965.308566,200
6,41.220812,1063.089679,200
7,39.494152,1036.719298,200
8,43.096886,1020.532872,200
9,57.165185,1194.683704,200
10,56.142531,1160.117446,200
11,58.755203,741.638256,200
12,60.048682,884.650101,200
13,52.622407,1242.551867,200
14,76.59553,1285.571923,200
15,67.787212,938.875262,200
16,70.968919,701.595946,200
17,77.112217,1237.699548,200
18,80.553594,728.105927,200
19,75.778523,665.827181,200
20,75.488152,1190.810427,200
21,89.088537,790.374651,200
22,90.671137,1341.212005,200
23,101.051397,1060.36257,200
24,102.696286,1380.437728,200
25,103.325025,659.242273,200
26,98.731497,1183.256454,200
27,99.574074,808.988889,200
28,111.039172,722.28677,200
29,121.973274,1322.185301,200
30,118.523062,1410.07949,200
31,114.0,775.301802,200
32,122.683405,1449.444581,200
33,117.077295,835.280193,200
34,133.851406,1376.042169,200
35,143.231937,1509.904188,200
36,158.773264,1436.81247,200
37,137.652174,810.898551,200
38,144.621212,1328.776515,200
39,148.330247,1297.57716,200
40,154.041758,1340.4,200
41,161.629179,1473.412361,200
42,160.288977,885.459782,200
43,167.685039,1110.781496,200
44,170.679764,1498.223969,200
45,173.490281,1548.88013,200
46,184.01619,1521.102857,200
47,177.415245,1340.794084,200
48,190.156844,881.038973,200
49,181.418803,1243.08547,200
50,185.318991,1620.364985,200
51,184.262799,1469.539249,200
52,194.071918,1463.643836,200
53,193.538206,1579.75969,200
54,203.471681,1650.847788,200
55,201.588825,1236.537249,200
56,203.867178,1548.029374,200
57,212.187605,1105.500838,200
58,217.784114,1612.103191,200
59,213.714908,1212.754141,200
60,208.833333,1462.683673,200
61,209.523585,1188.5,200
62,220.972973,1576.095946,200
63,226.98063,1524.970944,200
64,244.183636,1654.312878,200
65,234.117299,866.445498,200
66,222.524664,1453.699552,200
67,230.035539,446.653186,200
68,229.918621,1356.768276,200
69,231.56168,1462.635171,200
70,235.418546,886.641604,200
71,256.368421,805.62963,200
72,254.564255,1723.006809,200
73,265.849936,1033.52235,200
74,263.56871,1763.541931,200
75,255.701493,1455.666667,200
76,266.107769,1525.588972,200
77,280.277108,1659.369113,200
78,283.354509,1797.025525,200
79,286.671244,1229.57916,200
80,287.742259,1732.672803,200
81,288.242475,798.617893,200
82,286.483776,479.666667,200
83,311.983051,1774.42726,200
84,303.572925,1284.507655,200
85,309.130662,1839.246516,200
86,305.721918,992.453425,200
87,314.487732,348.604461,200
88,315.952512,1650.316586,200
89,329.065328,1887.034307,200
90,319.60419,1809.442117,200
91,318.615385,1935.865762,200
92,328.749286,291.217143,200
93,357.673089,328.552253,200
94,327.696319,396.469325,200
95,345.479105,1968.275456,200
96,344.949948,1801.892596,200
97,342.795305,574.526761,200
98,349.230644,256.801841,200
99,346.058943,536.054878,200
100,347.21166,1939.627376,200
101,351.882308,507.643077,200
102,350.818475,387.473684,200
103,361.974801,1731.643007,200
104,352.614112,2001.137817,200
105,355.146707,415.220559,200
106,364.579354,1919.375702,200
107,361.233668,1468.84799,200
108,366.308511,1495.749113,200
109,368.466047,1562.979535,200
110,369.69213,446.991898,200
111,391.436501,2036.792683,200
112,383.228799,221.482641,200
113,379.552113,376.732394,200
114,377.574827,637.987116,200
115,371.773669,1276.860947,200
116,382.585932,665.762872,200
117,379.438372,1993.676744,200
118,370.946502,285.794239,200
119,375.751174,1961.774648,200
120,392.679732,596.567303,200
121,389.131998,266.174425,200
122,384.852174,924.071304,200
123,398.767469,403.015267,200
124,381.805627,193.363171,200
125,397.510592,499.994025,200
126,390.101744,1971.494186,200
127,380.098291,1296.760684,200
128,392.239177,1402.54329,200
129,386.387622,1651.325733,200
130,389.230769,1668.333333,200
131,404.292169,460.085341,200
132,396.193807,1347.883028,200
133,399.784173,1941.280576,200
134,400.384537,1913.551373,200
135,409.686537,362.051574,200
136,399.762438,536.425373,200
137,407.832824,2000.039755,200
138,414.625822,292.809211,200
139,414.283601,2094.293745,200
140,414.665678,701.733136,200
141,434.372337,230.054532,200
142,404.309091,1973.127273,200
143,415.252541,325.852228,200
144,410.807821,1549.38324,200
145,429.780634,440.291692,200
146,423.611111,1503.637778,200
147,419.346591,1847.987216,200
148,420.535988,2025.623277,200
149,420.853103,1467.41791,200
150,412.689349,195.02071,200
151,422.989458,412.84488,200
152,428.265479,516.93469,200
153,420.580145,574.668046,200
154,416.267742,663.309677,200
155,420.349372,757.213389,200
156,429.698686,1976.030378,200
157,439.261662,180.33309,200
158,438.63945,270.643492,200
159,443.489662,2073.768797,200
160,439.932746,632.47558,200
161,432.851904,1068.827927,200
162,438.373255,1593.232182,200
163,441.312199,664.886838,200
164,431.586885,1669.257377,200
165,432.947115,345.586538,200
166,435.265455,755.556364,200
