label,anatoma,,
1,10.22449,847.606122,100
2,12.948399,823.439502,100
3,22.911532,931.383886,100
4,21.123711,796.54811,100
5,32.781469,965.308566,100
6,41.220812,1063.089679,100
7,39.494152,1036.719298,100
8,43.096886,1020.532872,100
9,57.165185,1194.683704,100
10,56.142531,1160.117446,100
11,58.755203,741.638256,100
12,60.048682,884.650101,100
13,52.622407,1242.551867,100
14,76.59553,1285.571923,100
15,67.787212,938.875262,100
16,70.968919,701.595946,100
17,77.112217,1237.699548,100
18,80.553594,728.105927,100
19,75.778523,665.827181,100
20,75.488152,1190.810427,100
21,89.088537,790.374651,100
22,90.671137,1341.212005,100
23,101.051397,1060.36257,100
24,102.696286,1380.437728,100
25,103.325025,659.242273,100
26,98.731497,1183.256454,100
27,99.574074,808.988889,100
28,111.039172,722.28677,100
29,121.973274,1322.185301,100
30,118.523062,1410.07949,100
31,114.0,775.301802,100
32,122.683405,1449.444581,100
33,117.077295,835.280193,100
34,133.851406,1376.042169,100
35,143.231937,1509.904188,100
36,158.773264,1436.81247,100
37,137.652174,810.898551,100
38,144.621212,1328.776515,100
39,148.330247,1297.57716,100
40,154.041758,1340.4,100
41,161.629179,1473.412361,100
42,160.288977,885.459782,100
43,167.685039,1110.781496,100
44,170.679764,1498.223969,100
45,173.490281,1548.88013,100
46,184.01619,1521.102857,100
47,177.415245,1340.794084,100
48,190.156844,881.038973,100
49,181.418803,1243.08547,100
50,185.318991,1620.364985,100
51,184.262799,1469.539249,100
52,194.071918,1463.643836,100
53,193.538206,1579.75969,100
54,203.471681,1650.847788,100
55,201.588825,1236.537249,100
56,203.867178,1548.029374,100
57,212.187605,1105.500838,100
58,217.784114,1612.103191,100
59,213.714908,1212.754141,100
60,208.833333,1462.683673,100
61,209.523585,1188.5,100
62,220.972973,1576.095946,100
63,226.98063,1524.970944,100
64,244.183636,1654.312878,100
65,234.117299,866.445498,100
66,222.524664,1453.699552,100
67,230.035539,446.653186,100
68,229.918621,1356.768276,100
69,231.56168,1462.635171,100
70,235.418546,886.641604,100
71,256.368421,805.62963,100
72,254.564255,1723.006809,100
73,265.849936,1033.52235,100
74,263.56871,1763.541931,100
75,255.701493,1455.666667,100
76,266.107769,1525.588972,100
77,280.277108,1659.369113,100
78,283.354509,1797.025525,100
79,286.671244,1229.57916,100
80,287.742259,1732.672803,100
81,288.242475,798.617893,100
82,286.483776,479.666667,100
83,311.983051,1774.42726,100
84,303.572925,1284.507655,100
85,309.130662,1839.246516,100
86,305.721918,992.453425,100
87,314.487732,348.604461,100
88,315.952512,1650.316586,100
89,329.065328,1887.034307,100
90,319.60419,1809.442117,100
