label;Sample;superclass;region_name;hemisphere
1;3;Non neuron;CA1;left
2;3;Non neuron;CA1;left
3;3;Non neuron;CA1;left
4;3;Non neuron;CA1;left
5;3;Non neuron;CA1;left
6;3;Non neuron;CA1;left
7;3;Non neuron;CA1;left
8;3;Uncalled;CA1;left
9;3;Uncalled;CA1;left
10;3;Uncalled;CA1;left
11;3;Uncalled;CA1;left
12;3;Uncalled;CA1;left
13;3;Uncalled;CA1;left
14;3;Non neuron;CA1;left
15;3;Uncalled;CA1;left
16;3;Uncalled;CA1;left
17;3;Non neuron;CA1;left
18;3;Non neuron;CA1;left
19;3;Non neuron;CA1;left
20;3;Uncalled;CA1;left
21;3;Uncalled;CA1;left
22;3;Uncalled;CA1;left
23;3;Uncalled;CA1;left
24;3;Non neuron;CA1;left
25;3;O/LM;CA1;left
26;3;Uncalled;CA1;left
27;3;Non neuron;CA1;left
28;3;O-Bi;CA1;left
29;3;Non neuron;CA1;left
30;3;Non neuron;CA1;left
31;3;Non neuron;CA1;left
32;3;IS3;CA1;left
33;3;Uncalled;CA1;left
34;3;Non neuron;CA1;left
35;3;Non neuron;CA1;left
36;3;Non neuron;CA1;left
37;3;Non neuron;CA1;left
38;3;Uncalled;CA1;left
39;3;Uncalled;CA1;left
40;3;Non neuron;CA1;left
41;3;Non neuron;CA1;left
42;3;Uncalled;CA1;left
43;3;Non neuron;CA1;left
44;3;Non neuron;CA1;left
45;3;Uncalled;CA1;left
46;3;Uncalled;CA1;left
47;3;Non neuron;CA1;left
48;3;Basket;CA1;left
49;3;Uncalled;CA1;left
50;3;Uncalled;CA1;left
51;3;Uncalled;CA1;left
52;3;Uncalled;CA1;left
53;3;Non neuron;CA1;left
54;3;Uncalled;CA1;left
55;3;Non neuron;CA1;left
56;3;Uncalled;CA1;left
57;3;O/LM;CA1;left
58;3;Non neuron;CA1;left
59;3;Uncalled;CA1;left
60;3;Uncalled;CA1;left
61;3;Uncalled;CA1;left
62;3;Non neuron;CA1;left
63;3;Non neuron;CA1;left
64;3;Non neuron;CA1;left
65;3;Uncalled;CA1;left
66;3;Uncalled;CA1;left
67;3;Basket;CA1;left
68;3;Non neuron;CA1;left
69;3;Uncalled;CA1;left
70;3;Non neuron;CA1;left
71;3;Non neuron;CA1;left
72;3;Uncalled;CA1;left
73;3;IS3;CA1;left
74;3;Uncalled;CA1;left
75;3;Uncalled;CA1;left
76;3;Non neuron;CA1;left
77;3;Non neuron;CA1;left
78;3;Non neuron;CA1;left
79;3;Uncalled;CA1;left
80;3;Non neuron;CA1;left
81;3;Non neuron;CA1;left
82;3;Basket;CA1;left
83;3;Non neuron;CA1;left
84;3;O/LM;CA1;left
85;3;Non neuron;CA1;left
86;3;Non neuron;CA1;left
87;3;PC CA1;CA1;left
88;3;Non neuron;CA1;left
89;3;Non neuron;CA1;left
90;3;Uncalled;CA1;left
91;3;Uncalled;CA1;left
92;3;PC CA1;CA1;left
93;3;PC CA1;CA1;left
94;3;PC CA1;CA1;left
95;3;Non neuron;CA1;left
96;3;Non neuron;CA1;left
97;3;O-Bi;CA1;left
98;3;PC CA1;CA1;left
99;3;PC CA1;CA1;left
100;3;Uncalled;CA1;left
101;3;PC CA1;CA1;left
102;3;PC CA1;CA1;left
103;3;Non neuron;CA1;left
104;3;Non neuron;CA1;left
105;3;PC CA1;CA1;left
106;3;Uncalled;CA1;left
107;3;Non neuron;CA1;left
108;3;Uncalled;CA1;left
109;3;Non neuron;CA1;left
110;3;PC CA1;CA1;left
111;3;Non neuron;CA1;left
112;3;PC CA1;CA1;left
113;3;PC CA1;CA1;left
114;3;PC CA1;CA1;left
115;3;Cck Cxcl14-;CA1;left
116;3;PC CA1;CA1;left
117;3;Uncalled;CA1;left
118;3;Uncalled;CA1;left
119;3;Uncalled;CA1;left
120;3;PC CA1;CA1;left
121;3;PC CA1;CA1;left
122;3;Uncalled;CA1;left
123;3;PC CA1;CA1;left
124;3;PC CA1;CA1;left
125;3;PC CA1;CA1;left
126;3;Uncalled;CA1;left
127;3;O-Bi;CA1;left
128;3;Non neuron;CA1;left
129;3;Non neuron;CA1;left
130;3;Non neuron;CA1;left
131;3;PC CA1;CA1;left
132;3;O/LM;CA1;left
133;3;Non neuron;CA1;left
134;3;Non neuron;CA1;left
135;3;PC CA1;CA1;left
136;3;Uncalled;CA1;left
137;3;Non neuron;CA1;left
138;3;PC CA1;CA1;left
139;3;Uncalled;CA1;left
140;3;PC other;CA1;left
141;3;PC CA1;CA1;left
142;3;Uncalled;CA1;left
143;3;PC CA1;CA1;left
144;3;Non neuron;CA1;left
145;3;PC CA1;CA1;left
146;3;Uncalled;CA1;left
147;3;Non neuron;CA1;left
148;3;Basket;CA1;left
149;3;MGE NGF/IVY;CA1;left
150;3;Uncalled;CA1;left
151;3;PC CA1;CA1;left
152;3;PC CA1;CA1;left
153;3;PC CA1;CA1;left
154;3;IS1;CA1;left
155;3;PC CA1;CA1;left
156;3;Non neuron;CA1;left
157;3;PC CA1;CA1;left
158;3;PC CA1;CA1;left
159;3;Non neuron;CA1;left
160;3;PC CA1;CA1;left
161;3;Non neuron;CA1;left
162;3;O/LM;CA1;left
163;3;PC CA1;CA1;left
164;3;Uncalled;CA1;left
165;3;Basket;CA1;left
166;3;IS1;CA1;left
167;3;PC CA1;CA1;left
168;3;Uncalled;CA1;left
169;3;Non neuron;CA1;left
170;3;O/LM;CA1;left
171;3;PC CA1;CA1;left
172;3;Uncalled;CA1;left
173;3;PC CA1;CA1;left
174;3;PC CA1;CA1;left
175;3;PC CA1;CA1;left
176;3;Non neuron;CA1;left
177;3;PC CA1;CA1;left
178;3;Non neuron;CA1;left
179;3;PC CA1;CA1;left
180;3;PC CA1;CA1;left
181;3;Uncalled;CA1;left
182;3;PC CA1;CA1;left
183;3;Uncalled;CA1;left
184;3;Non neuron;CA1;left
185;3;PC other;CA1;left
186;3;Non neuron;CA1;left
187;3;Non neuron;CA1;left
188;3;PC CA1;CA1;left
189;3;Uncalled;CA1;left
190;3;Uncalled;CA1;left
191;3;Uncalled;CA1;left
192;3;Non neuron;CA1;left
193;3;PC CA1;CA1;left
194;3;PC CA1;CA1;left
195;3;Non neuron;CA1;left
196;3;PC other;CA1;left
197;3;PC CA1;CA1;left
198;3;PC CA1;CA1;left
199;3;Uncalled;CA1;left
200;3;PC CA1;CA1;left
