label;region_name;Score_Max;hemisphere
1;A;5600-6300;left
2;AB;2800-3499;left
3;ABI;700-1399;left
4;AC;2100-2799;left
5;AD;3500-4199;left
6;ADB;700-1399;left
7;ADI;700-1399;left
8;ADJ;700-1399;left
9;AE;5600-6300;left
10;AEB;3500-4199;left
11;AEBD;700-1399;left
12;AEBH;700-1399;left
13;AEBI;700-1399;left
14;AEC;2800-3499;left
15;AECG;700-1399;left
16;AED;4200-4899;left
17;AEDB;700-1399;left
18;AEDG;1400-2099;left
19;AEDI;2100-2799;left
20;AEDJ;2800-3499;left
21;AEF;3500-4199;left
22;AEFH;700-1399;left
23;AEFJ;1400-2099;left
24;AEG;4900-5599;left
25;AEGB;4900-5599;left
26;AEGC;2100-2799;left
27;AEGD;2100-2799;left
28;AEGF;3500-4199;left
29;AEGH;2800-3499;left
30;AEGI;2100-2799;left
31;AEGJ;3500-4199;left
32;AEH;4200-4899;left
33;AEHB;3500-4199;left
34;AEHC;2100-2799;left
35;AEHD;3500-4199;left
36;AEHF;2100-2799;left
37;AEHG;3500-4199;left
38;AEHI;4200-4899;left
39;AEHJ;3500-4199;left
40;AEI;4200-4899;left
41;AEIB;3500-4199;left
42;AEIC;3500-4199;left
43;AEID;2800-3499;left
44;AEIF;3500-4199;left
45;AEIG;4200-4899;left
46;AEIH;3500-4199;left
47;AEIJ;3500-4199;left
48;AEJ;5600-6300;left
49;AEJB;5600-6300;left
50;AEJBC;3500-4199;left
51;AEJBD;3500-4199;left
52;AEJBDC;2800-3499;left
53;AEJBDF;3500-4199;left
54;AEJBDG;3500-4199;left
55;AEJBDH;3500-4199;left
56;AEJBDI;3500-4199;left
57;AEJBF;3500-4199;left
58;AEJBG;3500-4199;left
59;AEJBH;5600-6300;left
60;AEJBHC;4900-5599;left
61;AEJBHCG;2800-3499;left
62;AEJBHCI;3500-4199;left
63;AEJBHD;3500-4199;left
64;AEJBHF;4900-5599;left
65;AEJBHFC;4200-4899;left
66;AEJBHFD;4200-4899;left
67;AEJBHFG;4200-4899;left
68;AEJBHFI;4900-5599;left
69;AEJBHG;4900-5599;left
70;AEJBHGC;3500-4199;left
71;AEJBHGD;3500-4199;left
72;AEJBHGF;3500-4199;left
73;AEJBHGI;4900-5599;left
74;AEJBHI;5600-6300;left
75;AEJBHIC;4900-5599;left
76;AEJBHID;5600-6300;left
77;AEJBHIDC;3500-4199;left
78;AEJBHIDG;3500-4199;left
79;AEJBHIF;4200-4899;left
80;AEJBHIG;5600-6300;left
81;AEJBHIGC;5600-6300;left
82;AEJBHIGD;4900-5599;left
83;AEJBHIGF;5600-6300;left
84;AEJBHIGFC;5600-6300;left
85;AEJBHIGFCD;5600-6300;left
86;AEJBHIGFD;5600-6300;left
87;AEJBI;4200-4899;left
88;AEJBIC;2800-3499;left
89;AEJBID;2800-3499;left
90;AEJBIG;2100-2799;left
91;AEJBIH;2100-2799;left
92;AEJC;3500-4199;left
93;AEJCG;2100-2799;left
94;AEJCI;2100-2799;left
95;AEJD;3500-4199;left
96;AEJDG;2100-2799;left
97;AEJF;4900-5599;left
98;AEJFB;2100-2799;left
99;AEJFC;3500-4199;left
100;AEJFD;2100-2799;left
101;AEJFG;2800-3499;left
102;AEJFH;2100-2799;left
103;AEJFI;3500-4199;left
104;AEJG;4200-4899;left
105;AEJGB;2100-2799;left
106;AEJGC;2100-2799;left
107;AEJGD;2100-2799;left
108;AEJGH;2100-2799;left
109;AEJGI;2100-2799;left
110;AEJH;4900-5599;left
111;AEJHB;3500-4199;left
112;AEJHC;3500-4199;left
113;AEJHD;2800-3499;left
114;AEJHF;3500-4199;left
115;AEJHG;3500-4199;left
116;AEJHI;3500-4199;left
117;AEJI;4200-4899;left
118;AEJIB;2800-3499;left
119;AEJIC;3500-4199;left
120;AEJID;2100-2799;left
121;AEJIF;2100-2799;left
122;AEJIG;2100-2799;left
123;AEJIH;2100-2799;left
124;AF;2800-3499;left
125;AFC;1-700;left
126;AFE;1400-2099;left
127;AFG;700-1399;left
128;AFH;2800-3499;left
129;AFJ;1-700;left
130;AG;2800-3499;left
131;AGE;700-1399;left
132;AH;2800-3499;left
133;AHG;700-1399;left
134;AI;2800-3499;left
135;AIB;1400-2099;left
136;AIC;700-1399;left
137;AID;2100-2799;left
138;AIG;700-1399;left
139;AIH;700-1399;left
140;AJ;3500-4199;left
141;AJC;700-1399;left
142;AJD;2800-3499;left
143;AJE;700-1399;left
144;AJF;2100-2799;left
145;AJG;700-1399;left
146;AJH;1400-2099;left
