label;region_name;Score_Max;hemisphere
1;A;12600-13999;left
2;AB;0-01400;left
3;AC;01400-02799;left
4;ACH;0-01400;left
5;AD;12600-13999;left
6;ADB;01400-02799;left
7;ADC;04200-05599;left
8;ADCE;01400-02799;left
9;ADCG;02800-04199;left
10;ADCH;01400-02799;left
11;ADCI;01400-02799;left
12;ADCJ;0-01400;left
13;ADCK;01400-02799;left
14;ADCL;01400-02799;left
15;ADE;02800-04199;left
16;ADEC;01400-02799;left
17;ADEF;0-01400;left
18;ADEG;01400-02799;left
19;ADEH;01400-02799;left
20;ADEK;01400-02799;left
21;ADEL;02800-04199;left
22;ADEM;01400-02799;left
23;ADF;12600-13999;left
24;ADFB;12600-13999;left
25;ADFBC;04200-05599;left
26;ADFBCG;01400-02799;left
27;ADFBCH;02800-04199;left
28;ADFBE;12600-13999;left
29;ADFBEC;12600-13999;left
30;ADFBECG;05600-06999;left
31;ADFBECH;07000-08399;left
32;ADFBECHM;02800-04199;left
33;ADFBECI;05600-06999;left
34;ADFBECJ;05600-06999;left
35;ADFBECK;07000-08399;left
36;ADFBECKH;04200-05599;left
37;ADFBECKI;04200-05599;left
38;ADFBECKJ;04200-05599;left
39;ADFBECKL;04200-05599;left
40;ADFBECKM;05600-06999;left
41;ADFBECL;05600-06999;left
42;ADFBECM;12600-13999;left
43;ADFBECMG;05600-06999;left
44;ADFBECMH;05600-06999;left
45;ADFBECMI;07000-08399;left
46;ADFBECMIG;07000-08399;left
47;ADFBECMIH;07000-08399;left
48;ADFBECMIJ;07000-08399;left
49;ADFBECMIK;07000-08399;left
50;ADFBECMIL;05600-06999;left
51;ADFBECMJ;07000-08399;left
52;ADFBECMK;12600-13999;left
53;ADFBECMKG;09800-11199;left
54;ADFBECMKGJ;07000-08399;left
55;ADFBECMKH;12600-13999;left
56;ADFBECMKHG;12600-13999;left
57;ADFBECMKHGI;12600-13999;left
58;ADFBECMKHGIJ;12600-13999;left
59;ADFBECMKHGIL;12600-13999;left
60;ADFBECMKHGILJ;12600-13999;left
61;ADFBECMKHGJ;11200-12599;left
62;ADFBECMKHGL;11200-12599;left
63;ADFBECMKHI;08400-09799;left
64;ADFBECMKHJ;09800-11199;left
65;ADFBECMKHL;08400-09799;left
66;ADFBECMKI;07000-08399;left
67;ADFBECMKJ;09800-11199;left
68;ADFBECMKJG;08400-09799;left
69;ADFBECMKJH;09800-11199;left
70;ADFBECMKJI;09800-11199;left
71;ADFBECMKJL;07000-08399;left
72;ADFBECMKL;07000-08399;left
73;ADFBECML;05600-06999;left
74;ADFBEG;04200-05599;left
75;ADFBEH;04200-05599;left
76;ADFBEI;04200-05599;left
77;ADFBEJ;02800-04199;left
78;ADFBEK;04200-05599;left
79;ADFBEL;04200-05599;left
80;ADFBEM;04200-05599;left
81;ADFBG;02800-04199;left
82;ADFBH;02800-04199;left
83;ADFBI;02800-04199;left
84;ADFBJ;04200-05599;left
85;ADFBJC;02800-04199;left
86;ADFBJI;02800-04199;left
87;ADFBJL;02800-04199;left
88;ADFBJM;01400-02799;left
89;ADFBK;02800-04199;left
90;ADFBL;02800-04199;left
91;ADFBM;02800-04199;left
92;ADFC;01400-02799;left
93;ADFE;02800-04199;left
94;ADFEH;01400-02799;left
95;ADFEL;01400-02799;left
96;ADFEM;01400-02799;left
97;ADFG;02800-04199;left
98;ADFGH;01400-02799;left
99;ADFH;01400-02799;left
100;ADFI;01400-02799;left
101;ADFJ;04200-05599;left
102;ADFJH;01400-02799;left
103;ADFJM;01400-02799;left
104;ADFK;02800-04199;left
105;ADFL;02800-04199;left
106;ADFM;04200-05599;left
107;ADFMB;02800-04199;left
108;ADFMC;02800-04199;left
109;ADFME;01400-02799;left
110;ADFMG;02800-04199;left
111;ADFMH;02800-04199;left
112;ADFMI;01400-02799;left
113;ADFMJ;02800-04199;left
114;ADFMK;01400-02799;left
115;ADG;02800-04199;left
116;ADGC;0-01400;left
117;ADGH;0-01400;left
118;ADH;02800-04199;left
119;ADHM;0-01400;left
120;ADI;02800-04199;left
121;ADIM;01400-02799;left
122;ADJ;01400-02799;left
123;ADK;02800-04199;left
124;ADKB;0-01400;left
125;ADL;01400-02799;left
126;ADM;01400-02799;left
127;AE;01400-02799;left
128;AEB;0-01400;left
129;AF;01400-02799;left
130;AG;01400-02799;left
131;AH;01400-02799;left
132;AI;01400-02799;left
133;AJ;01400-02799;left
134;AK;01400-02799;left
135;AL;01400-02799;left
136;AM;04200-05599;left
137;AMD;0-01400;left
138;AME;0-01400;left
139;AMH;0-01400;left
140;AMJ;0-01400;left
141;AMK;0-01400;left
142;PSMA8_A;14;right
143;PSMB4_B;14;right
144;PSMB5_C;14:;right
145;PSMB2_D;14;right
146;PSMB1_E;14;right
147;PSMA7_F;14;right
148;PSMB6_G;14;right
149;PSMB7_H;14;right
150;PSMA4_I;14;right
151;PSMA3_J;14;right
152;PSMA6_K;14;right
153;PSMA5_L;14;right
154;PSMA2_M;14;right
155;PSMA8_A;15;right
156;PSMB4_B;15;right
157;PSMB5_C;15;right
158;PSMB2_D;15;right
159;PSMB1_E;15;right
160;PSMA7_F;15;right
161;PSMB6_G;15;right
162;PSMB7_H;15;right
163;PSMA4_I;15;right
164;PSMA3_J;15;right
165;PSMA6_K;15;right
166;PSMA5_L;15;right
167;PSMA2_M;15;right
168;PSMA8_A;16;right
169;PSMB4_B;16;right
170;PSMB5_C;16;right
171;PSMB2_D;16;right
172;PSMB1_E;16;right
173;PSMA7_F;16;right
174;PSMB6_G;16;right
175;PSMB7_H;16;right
176;PSMA4_I;16;right
177;PSMA3_J;16;right
178;PSMA6_K;16;right
179;PSMA5_L;16;right
180;PSMA2_M;16;right
181;PSMA8_A;17;right
182;PSMB4_B;17;right
183;PSMB5_C;17;right
184;PSMB2_D;17;right
185;PSMB1_E;17;right
186;PSMA7_F;17;right
187;PSMB6_G;17;right
188;PSMB7_H;17;right
189;PSMA4_I;17;right
190;PSMA3_J;17;right
191;PSMA6_K;17;right
192;PSMA5_L;17;right
193;PSMA2_M;17;right
194;PSMA8_A;18;right
195;PSMB4_B;18;right
196;PSMB5_C;18;right
197;PSMB2_D;18;right
198;PSMB1_E;18;right
199;PSMA7_F;18;right
200;PSMB6_G;18;right
201;PSMB7_H;18;right
202;PSMA4_I;18;right
203;PSMA3_J;18;right
204;PSMA6_K;18;right
205;PSMA5_L;18;right
206;PSMA2_M;18;right
207;PSMA8_A;19;right
208;PSMB4_B;19;right
209;PSMB5_C;19;right
210;PSMB2_D;19;right
211;PSMB1_E;19;right
212;PSMA7_F;19;right
213;PSMB6_G;19;right
214;PSMB7_H;19;right
215;PSMA4_I;19;right
