Label;NodeStrength;DegreeCentrality;BetweennessCentrality;EigenvectorCentrality;ClusteringCoefficient;AvgPathLength;region_name;hemisphere
1;0.033886;0.98225;7.7702;5.3861;0.97035;1.0059;1_116_102_19;left
2;0.03426;0.98225;7.7702;5.3861;0.97035;1.0059;2_117_102_19;left
3;0.032697;0.98225;7.7702;5.3861;0.97035;1.0059;3_118_102_19;left
4;0.033886;0.98225;7.7702;5.3861;0.97035;1.0059;4_115_103_19;left
5;0.036883;0.98817;12.0642;5.3971;0.9627;1;5_116_103_19;left
6;0.035938;0.98817;12.0642;5.3971;0.9627;1;6_117_103_19;left
7;0.03426;0.98225;7.7702;5.3861;0.97035;1.0059;7_118_103_19;left
8;0.037935;0.98817;12.0642;5.3971;0.9627;1;8_115_104_19;left
9;0.045713;0.98817;12.0642;5.3971;0.9627;1;9_116_104_19;left
10;0.035068;0.98817;12.0642;5.3971;0.9627;1;10_117_104_19;left
11;0.032087;0.98225;7.7702;5.3861;0.97035;1.0059;11_116_102_20;left
12;0.032033;0.98225;7.7702;5.3861;0.97035;1.0059;12_117_102_20;left
13;0.0323;0.98225;7.7702;5.3861;0.97035;1.0059;13_116_103_20;left
14;0.032697;0.98225;7.7702;5.3861;0.97035;1.0059;14_117_103_20;left
15;0.037394;0.98817;12.0642;5.3971;0.9627;1;15_116_104_20;left
16;0.038492;0.98817;12.0642;5.3971;0.9627;1;16_117_104_20;left
17;0.077564;0.92308;16.4409;5.0394;0.96352;1.0651;17_97_147_25;left
18;0.063495;0.95266;18.1664;5.1947;0.9604;1.0355;18_98_147_25;left
19;0.11593;0.48521;3.9099;2.6211;0.97772;1.503;19_97_148_25;left
20;0.084411;0.89941;15.4114;4.9118;0.96488;1.0888;20_98_148_25;left
21;0.053659;0.98817;20.8422;5.3761;0.95534;1;21_97_146_26;left
22;0.044295;0.98817;12.0642;5.3971;0.9627;1;22_98_146_26;left
23;0.069839;0.93491;17.0541;5.1022;0.96251;1.0533;23_97_147_26;left
24;0.051089;0.98817;20.8422;5.3761;0.95534;1;24_98_147_26;left
25;0.051089;0.98817;20.8422;5.3761;0.95534;1;25_99_147_26;left
26;0.10602;0.61538;6.7259;3.3457;0.97349;1.3728;26_97_148_26;left
27;0.07093;0.93491;17.0541;5.1022;0.96251;1.0533;27_98_148_26;left
28;0.059423;0.97633;19.9078;5.316;0.95706;1.0118;28_99_148_26;left
29;0.042922;0.98817;12.0642;5.3971;0.9627;1;29_97_147_27;left
30;0.033559;0.98225;7.7702;5.3861;0.97035;1.0059;30_98_147_27;left
31;0.052782;0.98817;20.8422;5.3761;0.95534;1;31_97_148_27;left
32;0.039064;0.98817;12.0642;5.3971;0.9627;1;32_98_148_27;left
33;0.032186;0.98225;7.7702;5.3861;0.97035;1.0059;33_155_128_32;left
34;0.043921;0.95266;1.9896;5.2731;0.98929;1.0355;34_156_128_32;left
35;0.033886;0.98225;7.7702;5.3861;0.97035;1.0059;35_155_129_32;left
36;0.042938;0.95266;1.9896;5.2731;0.98929;1.0355;36_156_129_32;left
37;0.079805;0.91716;16.1544;5.0077;0.96397;1.071;37_113_156_38;left
38;0.090305;0.84615;13.5005;4.6208;0.96661;1.142;38_114_156_38;left
39;0.066629;0.94675;17.7731;5.1641;0.96116;1.0414;39_113_157_38;left
40;0.079805;0.91716;16.1544;5.0077;0.96397;1.071;40_114_157_38;left
41;0.041595;0.98817;12.0642;5.3971;0.9627;1;41_113_156_39;left
42;0.053659;0.98817;20.8422;5.3761;0.95534;1;42_114_156_39;left
43;0.055504;0.98817;20.8422;5.3761;0.95534;1;43_115_156_39;left
44;0.058424;0.98817;20.8422;5.3761;0.95534;1;44_113_157_39;left
45;0.067689;0.94083;17.4026;5.1332;0.96187;1.0473;45_114_157_39;left
46;0.055504;0.98817;20.8422;5.3761;0.95534;1;46_115_157_39;left
47;0.0323;0.98225;7.7702;5.3861;0.97035;1.0059;47_113_156_40;left
48;0.039064;0.98817;12.0642;5.3971;0.9627;1;48_114_156_40;left
49;0.046438;0.98817;12.0642;5.3971;0.9627;1;49_113_157_40;left
50;0.057441;0.98817;20.8422;5.3761;0.95534;1;50_114_157_40;left
51;0.038431;0.9645;2.7872;5.3294;0.98561;1.0237;51_155_64_46;left
