label;Anatomy;region_name;hemisphere;NodeType;StableID;PaperID;MechanismID;Delegation;Mediation;Target;AgencyDirection;DisplayType;InteractionModality;Adaptability;ClassificationStatus;ClassificationEvidence;Glyph;GlyphSize;GlyphAspectX;GlyphAspectY;GlyphAspectZ;CoordinateX;CoordinateY;CoordinateZ;CoordinateBasis;HemisphereCompatibilityOnly
1;unknown;Exploratory Gene Ontology Analysis with Interactive Visualization;left;paper;aegis-2018;aegis-2018;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;0;1;0.25;mechanism_centroid;true
2;unknown;Biowheel: interactive visualization and exploration of biomedical data;right;paper;biowheel-2017;biowheel-2017;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;0;1;0.25;mechanism_centroid;true
3;unknown;A Model for Types and Levels of Automation in Visual Analytics: a Survey, a Taxonomy, and Examples;left;paper;domova-vrotsou-2023;domova-vrotsou-2023;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;-1;-1;0.25;mechanism_centroid;true
4;unknown;DTBIA: An Immersive Visual Analytics System for Brain-Inspired Research;right;paper;dtbia-2025;dtbia-2025;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;0;1;0.25;mechanism_centroid;true
5;unknown;FathomNet: A global image database for enabling artificial intelligence in the ocean;left;paper;fathomnet-2022;fathomnet-2022;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;1;2;0.25;mechanism_centroid;true
6;unknown;Deconstructing Human-AI Collaboration: Agency, Interaction, and Adaptation;right;paper;holter-elassady-2024;holter-elassady-2024;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;-1;-1;0.25;mechanism_centroid;true
7;unknown;Principles of Mixed-Initiative User Interfaces;left;paper;horvitz-1999;horvitz-1999;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;1.66666666667;1.66666666667;0.25;mechanism_centroid;true
8;unknown;iCAVE: an open source tool for visualizing biomolecular networks in 3D, stereoscopic 3D and immersive 3D;right;paper;icave-2017;icave-2017;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;0;1;0.25;mechanism_centroid;true
9;unknown;A Scoping Review of Mixed Initiative Visual Analytics in the Automation Renaissance;left;paper;monadjemi-et-al-2026;monadjemi-et-al-2026;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;-1;-1;0.25;mechanism_centroid;true
10;unknown;PhenoFlow: A Human-LLM Driven Visual Analytics System for Exploring Large and Complex Stroke Datasets;right;paper;phenoflow-2025;phenoflow-2025;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;1.33333333333;1.66666666667;0.25;mechanism_centroid;true
11;unknown;Can LLMs Bridge Domain and Visualization? A Case Study on High-Dimension Data Visualization in Single-Cell Transcriptomics;left;paper;wang-et-al-2025;wang-et-al-2025;;not_applicable_paper_centroid;not_applicable_paper_centroid;unknown;unknown;paper;IM-UNSPECIFIED;unknown;provisional;{};sphere;1.35;1;1;1;0;3;0.25;mechanism_centroid;true
12;T-VIEW;Dynamic GO focus-and-context exploration;right;mechanism;aegis-2018-focus-context;aegis-2018;aegis-2018-focus-context;D0;M1;T-VIEW;human_to_system;VM-DESKTOP2D;IM-POINTER_KEYBOARD;A1;provisional;"{""adaptability"":[{""location"":""Introduction"",""support"":""Dynamic displays update in real time with the chosen vantage point and search context.""}],""agency_direction"":[{""location"":""Introduction"",""support"":""Users choose a vantage point and interactively explore the GO.""}],""delegation"":[{""location"":""Introduction"",""support"":""The human selects searches and navigation actions.""}],""display_type"":[{""location"":""Introduction"",""support"":""AEGIS presents linked local and global graph views in an interactive software interface.""}],""interaction_modalities"":[{""location"":""Introduction"",""support"":""The described interface supports conventional search, zoom, filter, and details-on-demand controls.""}],""mediation"":[{""location"":""Introduction"",""support"":""Search and focus-context routines restructure the ontology evidence shown.""}],""target"":[{""location"":""Introduction"",""support"":""The mechanism acts on dynamic graphical display and visual organization.""}]}";cube;1;1;1;1;0;1;0;approved_classification_coordinate;true
13;T-MODEL;Biologically grounded simulation and power pipeline;left;mechanism;aegis-2018-simulation-pipeline;aegis-2018;aegis-2018-simulation-pipeline;D0;M1;T-MODEL;human_to_system;VM-DESKTOP2D;IM-POINTER_KEYBOARD;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""The built-in simulation and power procedures are user-requested pipelines.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Scientists select gene sets and invoke simulation or power studies.""}],""delegation"":[{""location"":""Abstract"",""support"":""The user chooses the simulation or study operation.""}],""display_type"":[{""location"":""Introduction"",""support"":""Outputs are integrated into the AEGIS desktop visualization interface.""}],""interaction_modalities"":[{""location"":""Introduction"",""support"":""The pipeline is invoked through an interactive graphical interface.""}],""mediation"":[{""location"":""Abstract"",""support"":""The pipeline transforms selected biological information into simulated data or power estimates.""}],""target"":[{""location"":""Abstract"",""support"":""The mechanism acts on simulation and statistical study models.""}]}";cube;1;1;1;1;0;1;0;approved_classification_coordinate;true
14;T-VIEW;Circular heatmap encoding;right;mechanism;biowheel-2017-circular-encoding;biowheel-2017;biowheel-2017-circular-encoding;D0;M1;T-VIEW;human_to_system;VM-DESKTOP2D;IM-POINTER_KEYBOARD;A0;provisional;"{""adaptability"":[{""location"":""Tool description"",""support"":""The selected encoding is deterministic and not personalized.""}],""agency_direction"":[{""location"":""Tool description"",""support"":""Users choose variable representations and the tool renders them.""}],""delegation"":[{""location"":""Tool description"",""support"":""The user selects how columns are represented.""}],""display_type"":[{""location"":""Tool description"",""support"":""Circular heatmaps are rendered in a web interface.""}],""interaction_modalities"":[{""location"":""Tool description"",""support"":""The web interface is operated through conventional graphical controls.""}],""mediation"":[{""location"":""Tool description"",""support"":""Circular heatmap encoding structures heterogeneous variables for comparison.""}],""target"":[{""location"":""Tool description"",""support"":""The mechanism acts on visual encoding and presentation.""}]}";cube;1;1;1;1;0;1;0;approved_classification_coordinate;true
15;T-DATA;Interactive sorting and filtering;left;mechanism;biowheel-2017-sorting-filtering;biowheel-2017;biowheel-2017-sorting-filtering;D0;M1;T-DATA;human_to_system;VM-DESKTOP2D;IM-POINTER_KEYBOARD;A0;provisional;"{""adaptability"":[{""location"":""Abstract"",""support"":""Sorting and filtering respond to explicit controls without learned adaptation.""}],""agency_direction"":[{""location"":""Abstract"",""support"":""Researchers explicitly sort and filter the data.""}],""delegation"":[{""location"":""Abstract"",""support"":""The user chooses each sorting or filtering action.""}],""display_type"":[{""location"":""Tool description"",""support"":""Biowheel is a web-based two-dimensional circular visualization.""}],""interaction_modalities"":[{""location"":""Tool description"",""support"":""A graphical web interface exposes interactive controls.""}],""mediation"":[{""location"":""Abstract"",""support"":""Sorting and filtering reorganize which raw evidence is encountered.""}],""target"":[{""location"":""Abstract"",""support"":""The operations act directly on rows and subsets of biomedical data.""}]}";cube;1;1;1;1;0;1;0;approved_classification_coordinate;true
16;T-DATA;Data-focusing automation family;right;mechanism;domova-vrotsou-2023-data-focusing;domova-vrotsou-2023;domova-vrotsou-2023-data-focusing;unknown;unknown;T-DATA;unknown;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;unknown;provisional;"{""display_type"":[{""location"":""Taxonomy scope"",""support"":""This is a conceptual automation stage with no single display environment.""}],""target"":[{""location"":""Contribution statement"",""support"":""The taxonomy explicitly names data focusing as an automation stage.""}],""uncertainty"":[{""location"":""Paper scope"",""support"":""No single implemented behavior supports D, M, direction, or adaptability coding.""}]}";sphere;1;1;1;1;-1;-1;0;unknown_classification_coordinate;true
17;T-MODEL;Data-mining automation family;left;mechanism;domova-vrotsou-2023-data-mining;domova-vrotsou-2023;domova-vrotsou-2023-data-mining;unknown;unknown;T-MODEL;unknown;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;unknown;provisional;"{""display_type"":[{""location"":""Taxonomy scope"",""support"":""This is a conceptual automation stage with no single display environment.""}],""target"":[{""location"":""Contribution statement"",""support"":""The taxonomy explicitly names data mining as an automation stage.""}],""uncertainty"":[{""location"":""Paper scope"",""support"":""No single implemented behavior supports D, M, direction, or adaptability coding.""}]}";sphere;1;1;1;1;-1;-1;0;unknown_classification_coordinate;true
18;T-DATA;Data-preparation automation family;right;mechanism;domova-vrotsou-2023-data-preparation;domova-vrotsou-2023;domova-vrotsou-2023-data-preparation;unknown;unknown;T-DATA;unknown;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;unknown;provisional;"{""display_type"":[{""location"":""Taxonomy scope"",""support"":""This is a conceptual automation stage rather than one implemented display mechanism.""}],""target"":[{""location"":""Contribution statement"",""support"":""The taxonomy explicitly names data preparation as an automation stage.""}],""uncertainty"":[{""location"":""Paper scope"",""support"":""No single implemented behavior supports D, M, direction, or adaptability coding.""}]}";sphere;1;1;1;1;-1;-1;0;unknown_classification_coordinate;true
19;T-KNOWLEDGE;Reasoning automation family;left;mechanism;domova-vrotsou-2023-reasoning;domova-vrotsou-2023;domova-vrotsou-2023-reasoning;unknown;unknown;T-KNOWLEDGE;unknown;VM-NONVISUAL_OR_UNSPECIFIED;IM-UNSPECIFIED;unknown;provisional;"{""display_type"":[{""location"":""Taxonomy scope"",""support"":""This is a conceptual automation stage with no single display environment.""}],""target"":[{""location"":""Contribution statement"",""support"":""The taxonomy explicitly names reasoning as an automation stage.""}],""uncertainty"":[{""location"":""Paper scope"",""support"":""No single implemented behavior supports D, M, direction, or adaptability coding.""}]}";sphere;1;1;1;1;-1;-1;0;unknown_classification_coordinate;true
20;T-VIEW;3D force-directed edge bundling;right;mechanism;dtbia-2025-edge-bundling;dtbia-2025;dtbia-2025-edge-bundling;D0;M1;T-VIEW;human_to_system;VM-VR;IM-TRACKED_CONTROLLER|IM-EMBODIED_LOCOMOTION;A0;provisional;"{""adaptability"":[{""location"":""3D-FDEB section"",""support"":""The algorithm applies fixed clustering and bundling parameters rather than learning from users.""}],""agency_direction"":[{""location"":""System workflow"",""support"":""Experts enter the immersive workflow and inspect requested structural views.""}],""delegation"":[{""location"":""3D-FDEB section"",""support"":""The user selects the analysis while the system executes bundling.""}],""display_type"":[{""location"":""Abstract"",""support"":""DTBIA is explicitly an immersive virtual-reality analytics system.""}],""interaction_modalities"":[{""location"":""Immersive navigation"",""support"":""The workflow uses embodied immersive navigation and tracked interaction.""}],""mediation"":[{""location"":""3D-FDEB section"",""support"":""Edge clustering and bundling restructure dense structural connections.""}],""target"":[{""location"":""3D-FDEB section"",""support"":""The algorithm acts on visual clarity and spatial organization.""}]}";icosahedron;1;1;1;1;0;1;0;approved_classification_coordinate;true
