label;Anatomy;region_name;hemisphere;case_id;node_set_id;local_label;node_id;seg_label;x;y;z;graph_seed;node_count;node_hash;degree_export_k20;strength_export_k20;KMeans_k20_c16_s0_Clustering;degree_export_k40;strength_export_k40;KMeans_k40_c16_s0_Clustering
1;left_module_6;UPENN-GBM-00013_11 node 0;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;1;0;2;117;186;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;7.8496188;6;10;12.639719;6
2;left_module_13;UPENN-GBM-00013_11 node 1;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;2;1;2;117;187;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;9.168112;13;12;14.556999;13
3;left_module_6;UPENN-GBM-00013_11 node 2;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;3;2;2;118;183;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;6;8.1869112;6;5;7.4911278;6
4;left_module_6;UPENN-GBM-00013_11 node 3;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;4;3;2;118;183;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;10.700364;6;6;9.6412792;6
5;left_module_6;UPENN-GBM-00013_11 node 4;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;5;4;2;118;183;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;11.892784;6;7;13.000088;6
6;left_module_1;UPENN-GBM-00013_11 node 5;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;6;5;2;118;184;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;8.3791485;1;9;10.602879;1
7;left_module_1;UPENN-GBM-00013_11 node 6;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;7;6;2;118;184;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;6;6.6144422;1;7;8.821335;1
8;left_module_6;UPENN-GBM-00013_11 node 7;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;8;7;2;118;184;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;10.693165;6;9;11.232893;6
9;left_module_13;UPENN-GBM-00013_11 node 8;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;9;8;2;118;184;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;5;8.9147082;13;8;13.54657;13
10;left_module_13;UPENN-GBM-00013_11 node 9;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;10;9;2;118;184;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;6;13.459655;13;7;17.829161;13
11;left_module_13;UPENN-GBM-00013_11 node 10;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;11;10;2;118;184;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;5;12.118458;13;7;19.212341;13
12;left_module_1;UPENN-GBM-00013_11 node 11;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;12;11;2;118;185;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;4.2528348;1;12;6.8131854;1
