label;Anatomy;region_name;hemisphere
1;area_43;ex;left
2;area_43;ex;left
3;area_43;ex;left
4;area_43;ex;left
5;area_43;ex;left
6;area_43;ex;left
7;area_43;ex;left
8;area_43;ex;left
9;area_43;ex;left
10;area_43;ex;left
11;area_30;ex;left
12;area_30;ex;left
13;area_30;ex;left
14;area_30;ex;left
15;area_30;ex;left
16;area_30;ex;left
17;area_30;ex;left
18;area_30;ex;left
19;area_30;ex;left
20;area_30;ex;left
21;area_43;ex;left
22;area_43;ex;left
23;area_43;ex;left
24;area_43;ex;left
25;area_43;ex;left
26;area_43;ex;left
27;area_43;ex;left
28;area_43;ex;left
29;area_43;ex;left
30;area_43;ex;left
31;area_43;ex;left
32;area_43;ex;left
33;area_43;ex;left
34;area_43;ex;left
35;area_43;ex;left
36;area_43;ex;left
37;area_43;ex;left
38;area_43;ex;left
39;area_43;ex;left
40;area_43;ex;left
41;area_43;ex;left
42;area_43;ex;left
43;area_43;ex;left
44;area_43;ex;left
45;area_43;ex;left
46;area_43;ex;left
47;area_43;ex;left
48;area_43;ex;left
49;area_43;ex;left
50;area_43;ex;left
51;area_43;ex;left
52;area_43;ex;left
53;area_43;ex;left
54;area_43;ex;left
55;area_43;ex;left
56;area_43;ex;left
57;area_43;ex;left
58;area_43;ex;left
59;area_43;ex;left
60;area_43;ex;left
61;area_43;ex;left
62;area_43;ex;left
63;area_43;ex;left
64;area_43;ex;left
65;area_43;ex;left
66;area_43;ex;left
67;area_43;ex;left
68;area_43;ex;left
69;area_43;ex;left
70;area_43;ex;left
71;area_30;ex;left
72;area_30;ex;left
73;area_30;ex;left
74;area_30;ex;left
75;area_30;ex;left
76;area_30;ex;left
77;area_30;ex;left
78;area_30;ex;left
79;area_30;ex;left
80;area_30;ex;left
81;area_30;ex;left
82;area_30;ex;left
83;area_30;ex;left
84;area_30;ex;left
85;area_30;ex;left
86;area_30;ex;left
87;area_30;ex;left
88;area_30;ex;left
89;area_30;ex;left
90;area_30;ex;left
91;area_30;ex;left
92;area_30;ex;left
93;area_30;ex;left
94;area_30;ex;left
95;area_30;ex;left
96;area_30;ex;left
97;area_30;ex;left
98;area_30;ex;left
99;area_30;ex;left
100;area_30;ex;left
101;area_30;ex;left
102;area_30;ex;left
103;area_30;ex;left
104;area_30;ex;left
105;area_30;ex;left
106;area_30;ex;left
107;area_30;ex;left
108;area_30;ex;left
109;area_30;ex;left
110;area_30;ex;left
111;area_43;ex;left
112;area_43;ex;left
113;area_43;ex;left
114;area_43;ex;left
115;area_43;ex;left
116;area_43;ex;left
117;area_43;ex;left
118;area_43;ex;left
119;area_43;ex;left
120;area_43;ex;left
121;area_43;ex;left
122;area_43;ex;left
123;area_43;ex;left
124;area_43;ex;left
125;area_43;ex;left
126;area_43;ex;left
127;area_43;ex;left
128;area_43;ex;left
129;area_43;ex;left
130;area_43;ex;left
131;area_43;ex;left
132;area_43;ex;left
133;area_43;ex;left
134;area_43;ex;left
135;area_43;ex;left
136;area_43;ex;left
137;area_43;ex;left
138;area_43;ex;left
139;area_43;ex;left
140;area_43;ex;left
141;area_43;ex;left
142;area_43;ex;left
143;area_43;ex;left
144;area_43;ex;left
145;area_43;ex;left
146;area_43;ex;left
147;area_43;ex;left
148;area_43;ex;left
149;area_43;ex;left
150;area_43;ex;left
151;area_9;ex;left
152;area_9;ex;left
153;area_9;ex;left
154;area_9;ex;left
155;area_9;ex;left
156;area_9;ex;left
157;area_9;ex;left
158;area_9;ex;left
159;area_9;ex;left
160;area_9;ex;left
161;area_9;ex;left
162;area_9;ex;left
163;area_9;ex;left
164;area_9;ex;left
165;area_9;ex;left
166;area_9;ex;left
167;area_9;ex;left
168;area_9;ex;left
169;area_9;ex;left
170;area_9;ex;left
171;area_43;ex;left
172;area_43;ex;left
173;area_43;ex;left
174;area_43;ex;left
175;area_43;ex;left
176;area_43;ex;left
177;area_43;ex;left
178;area_43;ex;left
179;area_43;ex;left
180;area_43;ex;left
181;area_30;ex;left
182;area_30;ex;left
183;area_30;ex;left
184;area_30;ex;left
185;area_30;ex;left
186;area_30;ex;left
187;area_30;ex;left
188;area_30;ex;left
189;area_30;ex;left
190;area_30;ex;left
191;area_30;ex;left
192;area_30;ex;left
193;area_30;ex;left
194;area_30;ex;left
195;area_30;ex;left
196;area_30;ex;left
197;area_30;ex;left
198;area_30;ex;left
199;area_30;ex;left
200;area_30;ex;left
201;area_30;ex;left
202;area_30;ex;left
203;area_30;ex;left
204;area_30;ex;left
205;area_30;ex;left
206;area_30;ex;left
207;area_30;ex;left
208;area_30;ex;left
209;area_30;ex;left
210;area_30;ex;left
211;area_30;ex;left
212;area_30;ex;left
213;area_30;ex;left
214;area_30;ex;left
215;area_30;ex;left
216;area_30;ex;left
217;area_30;ex;left
218;area_30;ex;left
219;area_30;ex;left
220;area_30;ex;left
221;area_30;ex;left
222;area_30;ex;left
223;area_30;ex;left
224;area_30;ex;left
225;area_30;ex;left
226;area_30;ex;left
227;area_30;ex;left
228;area_30;ex;left
229;area_30;ex;left
230;area_30;ex;left
231;area_30;ex;left
232;area_30;ex;left
233;area_30;ex;left
234;area_30;ex;left
235;area_30;ex;left
236;area_30;ex;left
237;area_30;ex;left
238;area_30;ex;left
239;area_30;ex;left
240;area_30;ex;left
241;area_30;ex;left
242;area_30;ex;left
243;area_30;ex;left
244;area_30;ex;left
245;area_30;ex;left
246;area_30;ex;left
247;area_30;ex;left
248;area_30;ex;left
249;area_30;ex;left
250;area_30;ex;left
251;area_30;ex;left
252;area_30;ex;left
253;area_30;ex;left
254;area_30;ex;left
255;area_30;ex;left
256;area_30;ex;left
257;area_30;ex;left
258;area_30;ex;left
259;area_30;ex;left
260;area_30;ex;left
261;area_43;ex;left
262;area_43;ex;left
263;area_43;ex;left
264;area_43;ex;left
265;area_43;ex;left
266;area_43;ex;left
267;area_43;ex;left
268;area_43;ex;left
269;area_43;ex;left
270;area_43;ex;left
271;area_43;ex;left
272;area_43;ex;left
273;area_43;ex;left
274;area_43;ex;left
275;area_43;ex;left
276;area_43;ex;left
277;area_43;ex;left
278;area_43;ex;left
279;area_43;ex;left
280;area_43;ex;left
281;area_43;ex;left
282;area_43;ex;left
283;area_43;ex;left
284;area_43;ex;left
285;area_43;ex;left
286;area_43;ex;left
287;area_43;ex;left
288;area_43;ex;left
289;area_43;ex;left
290;area_43;ex;left
291;area_43;ex;left
292;area_43;ex;left
293;area_43;ex;left
294;area_43;ex;left
295;area_43;ex;left
296;area_43;ex;left
297;area_43;ex;left
298;area_43;ex;left
299;area_43;ex;left
300;area_43;ex;left
301;area_43;ex;left
302;area_43;ex;left
303;area_43;ex;left
304;area_43;ex;left
305;area_43;ex;left
306;area_43;ex;left
307;area_43;ex;left
308;area_43;ex;left
309;area_43;ex;left
310;area_43;ex;left
311;area_9;ex;left
312;area_9;ex;left
313;area_9;ex;left
314;area_9;ex;left
