label;Anatomy;DegreeRange;region_name;hemisphere
1;Q9Y651;0-200;SOX21_HUMAN;left
2;P37108;0-200;SRP14_HUMAN;left
3;Q96JP5;0-200;ZFP91_HUMAN;left
4;Q9Y4H2;0-200;IRS2_HUMAN;left
5;P36578;0-200;RL4_HUMAN;left
6;O76031;0-200;CLPX_HUMAN;left
7;Q8WUQ7;0-200;CATIN_HUMAN;left
8;A6NIH7;0-200;U119B_HUMAN;left
9;Q9BTD8;0-200;RBM42_HUMAN;left
10;Q9P258;0-200;RCC2_HUMAN;left
11;P17542;0-200;TAL1_HUMAN;left
12;Q8TCS8;0-200;PNPT1_HUMAN;left
13;Q68DK7;0-200;MSL1_HUMAN;left
14;Q96L91;0-200;EP400_HUMAN;left
15;P52701;0-200;MSH6_HUMAN;left
16;P55036;0-200;PSMD4_HUMAN;left
17;A1X283;0-200;SPD2B_HUMAN;left
18;P05154;0-200;IPSP_HUMAN;left
19;Q9BQE4;0-200;SELS_HUMAN;left
20;Q8WWH5;0-200;TRUB1_HUMAN;left
21;Q96MA1;0-200;DMRTB_HUMAN;left
22;Q96D53;0-200;COQ8B_HUMAN;left
23;P59768;0-200;GBG2_HUMAN;left
24;Q6P2E9;0-200;EDC4_HUMAN;left
25;Q9UNF1;0-200;MAGD2_HUMAN;left
26;Q9NZQ3;0-200;SPN90_HUMAN;left
27;Q9NQP4;0-200;PFD4_HUMAN;left
28;O15357;0-200;SHIP2_HUMAN;left
29;P30260;0-200;CDC27_HUMAN;left
30;O15042;0-200;SR140_HUMAN;left
31;Q01780;0-200;EXOSX_HUMAN;left
32;O15405;0-200;TOX3_HUMAN;left
33;P02786;0-200;TFR1_HUMAN;left
34;P07954;0-200;FUMH_HUMAN;left
35;Q9Y490;0-200;TLN1_HUMAN;left
36;O94826;0-200;TOM70_HUMAN;left
37;Q96L58;0-200;B3GT6_HUMAN;left
38;Q8N4T8;0-200;CBR4_HUMAN;left
39;P35221;0-200;CTNA1_HUMAN;left
40;Q96C19;0-200;EFHD2_HUMAN;left
41;Q9BUP0;0-200;EFHD1_HUMAN;left
42;Q9H3U1;0-200;UN45A_HUMAN;left
43;Q9GZT9;0-200;EGLN1_HUMAN;left
44;Q8WVQ1;0-200;CANT1_HUMAN;left
45;Q15149;0-200;PLEC_HUMAN;left
46;Q96T51;0-200;RUFY1_HUMAN;left
47;Q5VSL9;0-200;STRP1_HUMAN;left
48;O14497;0-200;ARI1A_HUMAN;left
49;Q8NFD5;0-200;ARI1B_HUMAN;left
50;P58107;0-200;EPIPL_HUMAN;left
51;Q9BR61;0-200;ACBD6_HUMAN;left
52;Q96NB2;0-200;SFXN2_HUMAN;left
53;Q15063;0-200;POSTN_HUMAN;left
54;Q8TAE8;0-200;G45IP_HUMAN;left
55;Q8IYS1;0-200;P20D2_HUMAN;left
56;O15269;0-200;SPTC1_HUMAN;left
57;Q14008;0-200;CKAP5_HUMAN;left
58;Q8N0Z6;0-200;TTC5_HUMAN;left
59;P31948;0-200;STIP1_HUMAN;left
60;Q13423;0-200;NNTM_HUMAN;left
61;Q96GI7;0-200;FA89A_HUMAN;left
62;P98172;0-200;EFNB1_HUMAN;left
63;O60716;0-200;CTND1_HUMAN;left
64;Q9NV92;0-200;NFIP2_HUMAN;left
65;Q14498;0-200;RBM39_HUMAN;left
66;Q15042;0-200;RB3GP_HUMAN;left
67;Q9NX63;0-200;MIC19_HUMAN;left
68;Q9H477;0-200;RBSK_HUMAN;left
69;P26641;0-200;EF1G_HUMAN;left
70;P20810;0-200;ICAL_HUMAN;left
71;Q96D96;0-200;HVCN1_HUMAN;left
72;P31350;0-200;RIR2_HUMAN;left
73;Q16643;0-200;DREB_HUMAN;left
74;P53618;0-200;COPB_HUMAN;left
75;Q9NVA2;0-200;SEP11_HUMAN;left
76;O14981;0-200;BTAF1_HUMAN;left
77;Q99569;0-200;PKP4_HUMAN;left
78;O95801;0-200;TTC4_HUMAN;left
79;Q6XQN6;0-200;PNCB_HUMAN;left
80;Q01831;0-200;XPC_HUMAN;left
81;Q7Z5L9;0-200;I2BP2_HUMAN;left
82;Q9P1Y5;0-200;CAMP3_HUMAN;left
83;Q9UNS1;0-200;TIM_HUMAN;left
84;P08559;0-200;ODPA_HUMAN;left
85;Q99733;0-200;NP1L4_HUMAN;left
86;P14555;0-200;PA2GA_HUMAN;left
87;Q8N1S5;0-200;S39AB_HUMAN;left
88;Q9NVC6;0-200;MED17_HUMAN;left
89;Q03252;0-200;LMNB2_HUMAN;left
90;P49006;0-200;MRP_HUMAN;left
91;Q7KZF4;0-200;SND1_HUMAN;left
92;P09327;0-200;VILI_HUMAN;left
93;Q12955;0-200;ANK3_HUMAN;left
94;Q5SQI0;0-200;ATAT_HUMAN;left
95;P18206;0-200;VINC_HUMAN;left
96;P42858;0-200;HD_HUMAN;left
97;P19404;0-200;NDUV2_HUMAN;left
98;O43837;0-200;IDH3B_HUMAN;left
99;O00468;0-200;AGRIN_HUMAN;left
100;P13995;0-200;MTDC_HUMAN;left
101;P17858;0-200;PFKAL_HUMAN;left
102;Q9H7E9;0-200;CH033_HUMAN;left
103;Q7Z7L1;0-200;SLN11_HUMAN;left
104;O95336;0-200;6PGL_HUMAN;left
105;P55060;0-200;XPO2_HUMAN;left
106;Q9BUH6;0-200;PAXX_HUMAN;left
107;Q8TDX7;0-200;NEK7_HUMAN;left
108;P13796;0-200;PLSL_HUMAN;left
109;Q01813;0-200;PFKAP_HUMAN;left
110;Q99575;0-200;POP1_HUMAN;left
111;Q53H12;0-200;AGK_HUMAN;left
112;Q8NCN4;0-200;RN169_HUMAN;left
113;P06753;0-200;TPM3_HUMAN;left
114;Q14980;0-200;NUMA1_HUMAN;left
115;Q9UNF0;0-200;PACN2_HUMAN;left
116;Q9UBQ7;0-200;GRHPR_HUMAN;left
117;P43304;0-200;GPDM_HUMAN;left
118;Q53G44;0-200;IF44L_HUMAN;left
119;P02766;0-200;TTHY_HUMAN;left
120;Q6P1J9;0-200;CDC73_HUMAN;left
121;P51452;0-200;DUS3_HUMAN;left
122;Q86TC9;0-200;MYPN_HUMAN;left
123;Q9Y277;0-200;VDAC3_HUMAN;left
124;O95785;0-200;WIZ_HUMAN;left
125;Q7Z3D6;0-200;GLUCM_HUMAN;left
126;P53814;0-200;SMTN_HUMAN;left
127;P15923;0-200;TFE2_HUMAN;left
128;O43395;0-200;PRPF3_HUMAN;left
129;Q86VP6;0-200;CAND1_HUMAN;left
130;Q96ST3;0-200;SIN3A_HUMAN;left
131;Q12888;0-200;TP53B_HUMAN;left
132;Q8NBX0;0-200;SCPDL_HUMAN;left
133;Q13573;0-200;SNW1_HUMAN;left
134;Q8TDL5;0-200;BPIB1_HUMAN;left
135;Q96FQ6;0-200;S10AG_HUMAN;left
136;Q9H0R6;0-200;GATA_HUMAN;left
137;Q8NCM8;0-200;DYHC2_HUMAN;left
138;O60701;0-200;UGDH_HUMAN;left
139;P78362;0-200;SRPK2_HUMAN;left
140;O95782;0-200;AP2A1_HUMAN;left
141;Q15293;0-200;RCN1_HUMAN;left
142;O15382;0-200;BCAT2_HUMAN;left
143;P30038;0-200;AL4A1_HUMAN;left
144;Q8IVT2;0-200;MISP_HUMAN;left
145;P67809;0-200;YBOX1_HUMAN;left
146;Q7Z6I8;0-200;CE024_HUMAN;left
147;O43823;0-200;AKAP8_HUMAN;left
148;Q6PK04;0-200;CC137_HUMAN;left
149;P35251;0-200;RFC1_HUMAN;left
150;Q1ED39;0-200;KNOP1_HUMAN;left
151;P12270;0-200;TPR_HUMAN;left
152;Q08357;0-200;S20A2_HUMAN;left
153;P16383;0-200;GCFC2_HUMAN;left
154;P27482;0-200;CALL3_HUMAN;left
155;P98196;0-200;AT11A_HUMAN;left
156;P31327;0-200;CPSM_HUMAN;left
157;Q9NU22;0-200;MDN1_HUMAN;left
158;P05164;0-200;PERM_HUMAN;left
159;P80723;0-200;BASP1_HUMAN;left
160;O75569;0-200;PRKRA_HUMAN;left
161;P35240;0-200;MERL_HUMAN;left
162;Q12929;0-200;EPS8_HUMAN;left
163;P46821;0-200;MAP1B_HUMAN;left
164;P55263;0-200;ADK_HUMAN;left
165;Q14554;0-200;PDIA5_HUMAN;left
166;Q08211;0-200;DHX9_HUMAN;left
167;Q92817;0-200;EVPL_HUMAN;left
168;P06454;0-200;PTMA_HUMAN;left
169;Q9Y2A7;0-200;NCKP1_HUMAN;left
170;Q9NW82;0-200;WDR70_HUMAN;left
171;Q01995;0-200;TAGL_HUMAN;left
172;Q7Z460;0-200;CLAP1_HUMAN;left
