label,LevelTree
1,1
2,2
3,3
4,2
5,2
6,3
7,3
8,3
9,2
10,3
11,4
12,4
13,4
14,3
15,4
16,3
17,4
18,4
19,4
20,4
21,3
22,4
23,4
24,3
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,3
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,3
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,3
49,4
50,5
51,5
52,6
53,6
54,6
55,6
56,6
57,5
58,5
59,5
60,6
61,7
62,7
63,6
64,6
65,7
66,7
67,7
68,7
69,6
70,7
71,7
72,7
73,7
74,6
75,7
76,7
77,8
78,8
79,7
80,7
81,8
82,8
83,8
84,9
85,10
86,9
87,5
88,6
89,6
90,6
91,6
92,4
93,5
94,5
95,4
96,5
97,4
98,5
99,5
100,5
101,5
102,5
103,5
104,4
105,5
106,5
107,5
108,5
109,5
110,4
111,5
112,5
113,5
114,5
115,5
116,5
117,4
118,5
119,5
120,5
121,5
122,5
123,5
124,2
125,3
126,3
127,3
128,3
129,3
130,2
131,3
132,2
133,3
134,2
135,3
136,3
137,3
138,3
139,3
140,2
141,3
142,3
143,3
144,3
145,3
146,3
