label,LevelTree
1,0
2,1
3,2
4,1
5,1
6,2
7,2
8,2
9,1
10,2
11,3
12,3
13,3
14,2
15,3
16,2
17,3
18,3
19,3
20,3
21,2
22,3
23,3
24,2
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,2
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,2
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,2
49,3
50,4
51,4
52,5
53,5
54,5
55,5
56,5
57,4
58,4
59,4
60,5
61,6
62,6
63,5
64,5
65,6
66,6
67,6
68,6
69,5
70,6
71,6
72,6
73,6
74,5
75,6
76,6
77,7
78,7
79,6
80,6
81,7
82,7
83,7
84,8
85,9
86,8
87,4
88,5
89,5
90,5
91,5
92,3
93,4
94,4
95,3
96,4
97,3
98,4
99,4
100,4
101,4
102,4
103,4
104,3
105,4
106,4
107,4
108,4
109,4
110,3
111,4
112,4
113,4
114,4
115,4
116,4
117,3
118,4
119,4
120,4
121,4
122,4
123,4
124,1
125,2
126,2
127,2
128,2
129,2
130,1
131,2
132,1
133,2
134,1
135,2
136,2
137,2
138,2
139,2
140,1
141,2
142,2
143,2
144,2
145,2
146,2
