label,LevelTree
1,1
2,2
3,2
4,3
5,2
6,3
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,3
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,3
24,4
25,5
26,6
27,6
28,5
29,6
30,7
31,7
32,8
33,7
34,7
35,7
36,8
37,8
38,8
39,8
40,8
41,7
42,7
43,8
44,8
45,8
46,9
47,9
48,9
49,9
50,9
51,8
52,8
53,9
54,10
55,9
56,10
57,11
58,12
59,12
60,13
61,11
62,11
63,10
64,10
65,10
66,9
67,9
68,10
69,10
70,10
71,10
72,9
73,8
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,5
82,5
83,5
84,5
85,6
86,6
87,6
88,6
89,5
90,5
91,5
92,4
93,4
94,5
95,5
96,5
97,4
98,5
99,4
100,4
101,4
102,5
103,5
104,4
105,4
106,4
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,3
116,4
117,4
118,3
119,4
120,3
121,4
122,3
123,3
124,4
125,3
126,3
127,2
128,3
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,3
138,3
139,3
140,3
141,3
