label,LevelTree
1,1
2,2
3,2
4,3
5,2
6,3
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,3
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,3
24,4
25,5
26,6
27,6
28,5
29,6
30,7
31,7
32,8
33,7
34,7
35,7
36,8
37,8
38,8
39,8
40,8
41,7
42,7
43,8
44,8
45,8
46,9
47,9
48,9
49,9
50,9
51,8
52,8
53,9
54,10
55,9
56,10
57,11
58,12
59,12
60,13
61,11
62,11
63,10
64,10
65,10
66,9
67,9
68,10
69,10
70,10
71,10
72,9
73,8
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,5
82,5
83,5
84,5
85,6
86,6
87,6
88,6
89,5
90,5
91,5
92,4
93,4
94,5
95,5
96,5
97,4
98,5
99,4
100,4
101,4
102,5
103,5
104,4
105,4
106,4
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,3
116,4
117,4
118,3
119,4
120,3
121,4
122,3
123,3
124,4
125,3
126,3
127,2
128,3
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,3
138,3
139,3
140,3
141,3
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,8
234,8
235,8
236,8
237,8
238,8
239,8
240,8
241,8
242,8
243,8
244,8
245,8
246,9
247,9
248,9
249,9
250,9
251,9
252,9
253,9
254,9
255,9
256,9
257,9
258,9
259,10
260,10
261,10
262,10
263,10
264,10
265,10
266,10
267,10
268,10
269,10
270,10
271,10
272,11
273,11
274,11
275,11
276,11
277,11
278,11
279,11
280,11
281,11
282,11
283,11
284,11
285,12
286,12
287,12
288,12
289,12
290,12
291,12
292,12
293,12
294,12
295,12
296,12
297,12
298,13
299,13
300,13
301,13
302,13
303,13
304,13
305,13
306,13
307,13
308,13
309,13
310,13
311,14
312,14
313,14
314,14
315,14
316,14
317,14
318,14
319,14
320,14
321,14
322,14
323,14
324,15
325,15
326,15
327,15
328,15
329,15
330,15
331,15
332,15
333,15
334,15
335,15
336,15
337,16
338,16
339,16
340,16
341,16
342,16
343,16
344,16
345,16
346,16
347,16
348,16
349,16
350,17
351,17
352,17
353,17
354,17
355,17
356,17
357,17
358,17
359,17
360,17
361,17
362,17
363,18
364,18
365,18
366,18
367,18
368,18
369,18
370,18
371,18
372,18
373,18
374,18
375,18
376,19
377,19
378,19
379,19
380,19
381,19
382,19
383,19
384,19
385,19
386,19
387,19
388,19
389,20
390,20
391,20
392,20
393,20
394,20
395,20
396,20
397,20
398,20
399,20
400,20
401,20
402,21
403,21
404,21
405,21
406,21
407,21
408,21
409,21
410,21
411,21
412,21
413,21
414,21
415,22
416,22
417,22
418,22
419,22
420,22
421,22
422,22
423,22
424,22
425,22
426,22
427,22
428,23
429,23
430,23
431,23
432,23
433,23
434,23
435,23
436,23
437,23
438,23
439,23
440,23
441,24
442,24
443,24
444,24
445,24
446,24
447,24
448,24
449,24
450,24
451,24
452,24
453,24
454,25
455,25
456,25
457,25
458,25
459,25
460,25
461,25
462,25
463,25
464,25
465,25
466,25
467,26
468,26
469,26
470,26
471,26
472,26
473,26
474,26
475,26
476,26
477,26
478,26
479,26
480,27
481,27
482,27
483,27
484,27
485,27
486,27
487,27
488,27
489,27
490,27
491,27
492,27
493,28
494,28
495,28
496,28
497,28
498,28
499,28
500,28
501,28
502,28
503,28
504,28
505,28
506,29
507,29
508,29
509,29
510,29
511,29
512,29
513,29
514,29
515,29
516,29
517,29
518,29
519,30
520,30
521,30
522,30
523,30
524,30
525,30
526,30
527,30
528,30
529,30
530,30
531,30
532,31
533,31
534,31
535,31
536,31
537,31
538,31
539,31
540,31
541,31
542,31
543,31
544,31
545,32
546,32
547,32
548,32
549,32
550,32
551,32
552,32
553,32
554,32
555,32
556,32
557,32
558,33
559,33
560,33
561,33
562,33
563,33
564,33
