label,TreeLevel
1,1
2,2
3,2
4,3
5,2
6,3
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,3
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,3
24,4
25,5
26,6
27,6
28,5
29,6
30,7
31,7
32,8
33,7
34,7
35,7
36,8
37,8
38,8
39,8
40,8
41,7
42,7
43,8
44,8
45,8
46,9
47,9
48,9
49,9
50,9
51,8
52,8
53,9
54,10
55,9
56,10
57,11
58,12
59,12
60,13
61,11
62,11
63,10
64,10
65,10
66,9
67,9
68,10
69,10
70,10
71,10
72,9
73,8
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,5
82,5
83,5
84,5
85,6
86,6
87,6
88,6
89,5
90,5
91,5
92,4
93,4
94,5
95,5
96,5
97,4
98,5
99,4
100,4
101,4
102,5
103,5
104,4
105,4
106,4
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,3
116,4
117,4
118,3
119,4
120,3
121,4
122,3
123,3
124,4
125,3
126,3
127,2
128,3
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,3
138,3
139,3
140,3
141,3
142,1
143,14
144,14
145,14
146,14
147,14
148,14
149,14
150,14
151,14
152,14
153,14
154,14
155,15
156,15
157,15
158,15
159,15
160,15
161,15
162,15
163,15
164,15
165,15
166,15
167,15
168,16
169,16
170,16
171,16
172,16
173,16
174,16
175,16
176,16
177,16
178,16
179,16
180,16
181,17
182,17
183,17
184,17
185,17
186,17
187,17
188,17
189,17
190,17
191,17
192,17
193,17
194,18
195,18
196,18
197,18
198,18
199,18
200,18
201,18
202,18
203,18
204,18
205,18
206,18
207,19
208,19
209,19
210,19
211,19
212,19
213,19
214,19
215,19
216,19
217,19
218,19
219,19
220,20
221,20
222,20
223,20
224,20
225,20
226,20
227,20
228,20
229,20
230,20
231,20
232,20
233,21
234,21
235,21
236,21
237,21
238,21
239,21
240,21
241,21
242,21
243,21
244,21
245,21
246,22
247,22
248,22
249,22
250,22
251,22
252,22
253,22
254,22
255,22
256,22
257,22
258,22
259,23
260,23
261,23
262,23
263,23
264,23
265,23
266,23
267,23
268,23
269,23
270,23
271,23
272,24
273,24
274,24
275,24
276,24
277,24
278,24
279,24
280,24
281,24
282,24
283,24
284,24
285,25
286,25
287,25
288,25
289,25
290,25
291,25
292,25
293,25
294,25
295,25
296,25
297,25
298,26
299,26
300,26
301,26
302,26
303,26
304,26
305,26
306,26
307,26
308,26
309,26
310,26
311,27
312,27
313,27
314,27
315,27
316,27
317,27
318,27
319,27
320,27
321,27
322,27
323,27
324,28
325,28
326,28
327,28
328,28
329,28
330,28
331,28
332,28
333,28
334,28
335,28
336,28
337,29
338,29
339,29
340,29
341,29
342,29
343,29
344,29
345,29
346,29
347,29
348,29
349,29
350,30
351,30
352,30
353,30
354,30
355,30
356,30
357,30
358,30
359,30
360,30
361,30
362,30
363,31
364,31
365,31
366,31
367,31
368,31
369,31
370,31
371,31
372,31
373,31
374,31
375,31
376,32
377,32
378,32
379,32
380,32
381,32
382,32
383,32
384,32
385,32
386,32
387,32
388,32
389,33
390,33
391,33
392,33
393,33
394,33
395,33
396,33
397,33
398,33
399,33
400,33
401,33
402,34
403,34
404,34
405,34
406,34
407,34
408,34
409,34
410,34
411,34
412,34
413,34
414,34
415,35
416,35
417,35
418,35
419,35
420,35
421,35
422,35
423,35
424,35
425,35
426,35
427,35
428,36
429,36
430,36
431,36
432,36
433,36
434,36
435,36
436,36
437,36
438,36
439,36
440,36
441,37
442,37
443,37
444,37
445,37
446,37
447,37
448,37
449,37
450,37
451,37
452,37
453,37
454,38
455,38
456,38
457,38
458,38
459,38
460,38
461,38
462,38
463,38
464,38
465,38
466,38
467,39
468,39
469,39
470,39
471,39
472,39
473,39
474,39
475,39
476,39
477,39
478,39
479,39
480,40
481,40
482,40
483,40
484,40
485,40
486,40
487,40
488,40
489,40
490,40
491,40
492,40
493,41
494,41
495,41
496,41
497,41
498,41
499,41
500,41
501,41
502,41
503,41
504,41
505,41
506,42
507,42
508,42
509,42
510,42
511,42
512,42
513,42
514,42
515,42
516,42
517,42
518,42
519,43
520,43
521,43
522,43
523,43
524,43
525,43
526,43
527,43
528,43
529,43
530,43
531,43
532,44
533,44
534,44
535,44
536,44
537,44
538,44
539,44
540,44
541,44
542,44
543,44
544,44
545,45
546,45
547,45
548,45
549,45
550,45
551,45
552,45
553,45
554,45
555,45
556,45
557,45
558,46
559,46
560,46
561,46
562,46
563,46
564,46
