label,TreeLevel,DetailsFile
1,1,
2,2,
3,2,
4,3,
5,2,
6,3,
7,3,
8,4,
9,4,
10,4,
11,4,
12,4,
13,4,
14,4,
15,3,
16,4,
17,4,
18,4,
19,4,
20,4,
21,4,
22,4,
23,3,
24,4,
25,5,
26,6,
27,6,
28,5,
29,6,
30,7,
31,7,
32,8,
33,7,
34,7,
35,7,
36,8,
37,8,
38,8,
39,8,
40,8,
41,7,
42,7,
43,8,
44,8,
45,8,
46,9,
47,9,
48,9,
49,9,
50,9,
51,8,
52,8,
53,9,
54,10,
55,9,
56,10,
57,11,
58,12,
59,12,
60,13,
61,11,
62,11,
63,10,
64,10,
65,10,
66,9,
67,9,
68,10,
69,10,
70,10,
71,10,
72,9,
73,8,
74,6,
75,6,
76,6,
77,6,
78,6,
79,6,
80,6,
81,5,
82,5,
83,5,
84,5,
85,6,
86,6,
87,6,
88,6,
89,5,
90,5,
91,5,
92,4,
93,4,
94,5,
95,5,
96,5,
97,4,
98,5,
99,4,
100,4,
101,4,
102,5,
103,5,
104,4,
105,4,
106,4,
107,5,
108,5,
109,5,
110,5,
111,5,
112,5,
113,5,
114,5,
115,3,
116,4,
117,4,
118,3,
119,4,
120,3,
121,4,
122,3,
123,3,
124,4,
125,3,
126,3,
127,2,
128,3,
129,2,
130,2,
131,2,
132,2,
133,2,
134,2,
135,2,
136,2,
137,3,
138,3,
139,3,
140,3,
141,3,
142,14,proteinCFMSelute.php?rep=1&prot=Q8TAA3
143,14,proteinCFMSelute.php?rep=1&prot=P28070
144,14,proteinCFMSelute.php?rep=1&prot=P28074
145,14,proteinCFMSelute.php?rep=1&prot=P49721
146,14,proteinCFMSelute.php?rep=1&prot=P20618
147,14,proteinCFMSelute.php?rep=1&prot=O14818
148,14,proteinCFMSelute.php?rep=1&prot=P28072
149,14,proteinCFMSelute.php?rep=1&prot=Q99436
150,14,proteinCFMSelute.php?rep=1&prot=P25789
151,14,proteinCFMSelute.php?rep=1&prot=P25788
152,14,proteinCFMSelute.php?rep=1&prot=P60900
153,14,proteinCFMSelute.php?rep=1&prot=P28066
154,14,proteinCFMSelute.php?rep=1&prot=P25787
155,15,proteinCFMSelute.php?rep=1&prot=Q8TAA3
156,15,proteinCFMSelute.php?rep=1&prot=P28070
157,15,proteinCFMSelute.php?rep=1&prot=P28074
158,15,proteinCFMSelute.php?rep=1&prot=P49721
159,15,proteinCFMSelute.php?rep=1&prot=P20618
160,15,proteinCFMSelute.php?rep=1&prot=O14818
161,15,proteinCFMSelute.php?rep=1&prot=P28072
162,15,proteinCFMSelute.php?rep=1&prot=Q99436
163,15,proteinCFMSelute.php?rep=1&prot=P25789
164,15,proteinCFMSelute.php?rep=1&prot=P25788
165,15,proteinCFMSelute.php?rep=1&prot=P60900
166,15,proteinCFMSelute.php?rep=1&prot=P28066
167,15,proteinCFMSelute.php?rep=1&prot=P25787
168,16,proteinCFMSelute.php?rep=1&prot=Q8TAA3
169,16,proteinCFMSelute.php?rep=1&prot=P28070
170,16,proteinCFMSelute.php?rep=1&prot=P28074
171,16,proteinCFMSelute.php?rep=1&prot=P49721
172,16,proteinCFMSelute.php?rep=1&prot=P20618
173,16,proteinCFMSelute.php?rep=1&prot=O14818
174,16,proteinCFMSelute.php?rep=1&prot=P28072
175,16,proteinCFMSelute.php?rep=1&prot=Q99436
176,16,proteinCFMSelute.php?rep=1&prot=P25789
177,16,proteinCFMSelute.php?rep=1&prot=P25788
178,16,proteinCFMSelute.php?rep=1&prot=P60900
179,16,proteinCFMSelute.php?rep=1&prot=P28066
180,16,proteinCFMSelute.php?rep=1&prot=P25787
181,17,proteinCFMSelute.php?rep=1&prot=Q8TAA3
182,17,proteinCFMSelute.php?rep=1&prot=P28070
183,17,proteinCFMSelute.php?rep=1&prot=P28074
184,17,proteinCFMSelute.php?rep=1&prot=P49721
185,17,proteinCFMSelute.php?rep=1&prot=P20618
186,17,proteinCFMSelute.php?rep=1&prot=O14818
187,17,proteinCFMSelute.php?rep=1&prot=P28072
188,17,proteinCFMSelute.php?rep=1&prot=Q99436
189,17,proteinCFMSelute.php?rep=1&prot=P25789
190,17,proteinCFMSelute.php?rep=1&prot=P25788
191,17,proteinCFMSelute.php?rep=1&prot=P60900
192,17,proteinCFMSelute.php?rep=1&prot=P28066
193,17,proteinCFMSelute.php?rep=1&prot=P25787
194,18,proteinCFMSelute.php?rep=1&prot=Q8TAA3
195,18,proteinCFMSelute.php?rep=1&prot=P28070
