label,anatomy,,,FiredHeatmap,FiredFractionHeatmap,ElectricActivityHeatmap,InhibitionHeatmap,CalciumHeatmap,BackgroundActivityHeatmap,GrownAxonsHeatmap,GrownDendritesHeatmap,umap,,,UMAPClustering
1,88.017654,143.88911,83.259131,1,6,4,3,6,6,3,4,105.706924,107.267006,123.7722,2
2,88.071787,143.7922,83.237149,3,6,3,5,6,5,4,6,101.15753,85.276405,102.66204,3
3,88.093434,143.9519,83.168331,3,7,4,4,4,4,3,2,58.562225,86.57971,112.717125,4
4,88.063898,143.81981,83.317563,1,4,3,4,4,5,2,5,64.12062,113.75859,114.69344,5
5,88.066131,143.97354,83.23847,2,5,5,3,6,5,3,7,92.172195,96.18895,122.842094,2
6,88.099804,143.9407,83.302861,3,6,3,5,6,4,4,6,58.46232,119.99216,85.6393,6
7,88.074268,143.94095,83.318852,2,5,5,3,5,3,2,3,95.85936,125.64235,102.44989,7
8,87.973951,143.88182,83.321619,4,7,5,4,8,5,6,8,94.180725,102.12772,111.41406,2
9,88.07221,143.8834,83.28435,2,5,5,3,6,7,3,8,84.86925,88.01602,125.722725,8
10,88.028159,143.86602,83.277468,1,5,4,5,5,6,3,7,78.11257,71.64205,100.47679,9
11,88.256278,143.93238,81.273889,2,6,3,4,7,5,5,7,79.88303,125.819824,73.02091,10
12,88.176467,144.016,81.305591,2,7,4,4,5,5,4,5,78.63777,66.46921,102.843285,11
13,88.293064,143.93797,81.229345,3,4,3,3,4,6,2,5,111.04961,101.404236,82.18834,12
14,88.310326,143.89644,81.247644,1,4,5,2,5,3,3,5,94.03057,89.75075,66.5747,13
15,88.219317,143.96483,81.340796,3,6,2,5,6,4,4,8,75.42451,71.43242,106.90503,9
16,88.30954,143.9924,81.32547,1,8,5,3,8,5,6,7,64.60391,102.67846,69.31024,14
17,88.295247,143.85485,81.258936,2,5,4,4,6,5,4,6,95.9029,129.15088,102.28824,7
18,88.177126,144.00335,81.224019,1,6,3,6,7,5,5,6,91.62818,71.55425,88.56132,15
19,88.309628,144.01482,81.286713,1,4,5,4,5,6,2,6,79.69687,132.72253,87.207596,16
20,88.273387,143.93668,81.210105,4,5,4,5,5,3,2,6,68.64716,100.55644,95.83296,17
21,89.994684,142.86687,83.474483,1,3,4,4,5,6,2,7,52.11518,83.38708,99.84223,18
22,90.092277,142.77197,83.509198,1,7,5,3,7,5,5,7,62.294807,125.81832,99.60954,19
23,90.064656,142.94996,83.569872,3,4,3,5,4,5,2,6,77.35265,103.047806,107.3238,20
24,90.078525,142.96276,83.511576,4,7,4,7,7,5,5,6,89.75265,90.82107,126.303856,21
25,89.934541,142.83168,83.389285,2,3,2,4,4,4,2,5,84.08947,99.610374,71.44387,22
26,90.083715,142.79294,83.525017,3,5,4,4,7,5,4,8,107.232544,124.31325,104.17426,7
27,90.09409,142.94152,83.41156,2,6,3,3,7,5,4,6,65.822235,78.85909,86.69037,23
28,89.945265,142.81749,83.459886,3,6,3,5,5,6,3,4,110.69385,100.21583,77.9597,12
29,90.023149,142.85375,83.483482,7,4,5,6,4,7,2,3,91.15951,68.54556,89.788345,24
30,89.973537,142.80753,83.421793,2,4,3,5,3,5,2,4,90.617714,111.19,129.71938,25
31,88.643929,142.81322,86.333256,1,5,3,3,3,5,2,3,84.006546,71.54187,119.003685,8
32,88.577094,142.75802,86.235219,2,5,5,3,4,6,2,5,83.59748,77.494095,74.54064,26
33,88.589913,142.84836,86.30149,3,6,4,7,6,6,4,6,61.62709,106.393936,75.424774,27
