umap, ,,UMAPClustering
42.223892,5.556638,56.15094,1
41.312977,4.294693,54.587646,2
44.800926,4.431333,62.90148,3
43.559994,7.438316,56.50211,1
43.42591,5.1648035,60.178864,1
43.089325,4.928275,57.018894,3
43.245373,5.5931234,59.096848,1
43.13704,7.542166,56.368885,1
39.83603,5.3058405,66.49537,4
41.599888,6.400857,54.79307,5
41.056923,4.3876276,61.84326,3
38.8507,4.0499034,57.21609,3
42.352173,6.0616374,60.927776,1
34.699944,3.4184008,57.780968,6
42.292,8.129809,57.90281,1
44.26352,7.767538,58.922997,1
43.02559,4.6977835,62.619186,3
43.19751,5.442023,57.024685,1
43.97605,7.514413,54.45541,5
46.005207,7.4286723,58.86618,7
41.02395,6.567544,60.71724,1
45.812683,8.078716,58.13765,7
43.709366,4.3497815,63.61933,3
44.342747,2.849594,60.882816,3
39.661194,4.286835,58.32776,3
47.81147,3.6941633,47.850002,8
45.34385,6.1986594,58.9993,7
45.307495,7.733412,56.94976,7
45.972347,5.0674634,49.213043,9
43.406097,6.370576,60.52938,1
36.52381,3.002752,56.539455,3
43.459343,6.183005,61.138706,1
42.026447,2.2791247,68.58061,10
43.116913,6.8370647,57.481956,1
42.330875,5.4260387,61.7278,1
46.89507,5.835963,58.866863,7
42.0795,6.585513,56.962704,1
39.915882,3.9765742,60.944252,3
47.4422,5.0529666,60.068172,7
40.971333,5.426545,60.577312,1
39.78043,6.6693745,58.117096,1
39.82125,3.051281,59.336166,3
39.122192,3.3547602,63.10544,3
38.340527,5.4323955,58.507263,1
40.56964,4.4987545,56.102036,3
39.737503,6.650855,56.236664,1
44.11243,5.7652707,57.125736,1
40.76366,5.000721,55.828842,1
44.358295,6.1217556,59.46264,1
43.84742,7.6997833,57.11743,1
41.26754,7.0428314,57.97621,1
38.45318,3.1035235,54.935947,2
38.221428,4.919831,56.3853,3
40.298965,7.644146,57.05278,1
41.25874,5.151853,56.8173,1
41.836086,4.5185585,55.955605,3
42.966194,6.8270183,57.07901,1
40.480747,3.7123208,53.38451,2
40.5357,5.5884786,55.821823,1
41.32378,5.026843,59.466995,1
42.395973,5.5371275,56.986702,1
43.44549,6.9443846,56.3872,1
40.454372,8.3117895,51.38287,5
42.754574,5.1457314,56.235413,1
40.18391,5.538108,55.85784,1
43.97644,6.38959,56.015198,1
41.68751,6.363657,54.080677,5
42.45006,5.7104707,57.314945,1
46.25403,6.0577683,54.86933,9
49.34587,3.1567578,54.24845,8
38.4561,2.8110693,50.986336,2
45.820534,6.4759283,57.6746,7
44.539227,5.150524,58.146393,1
43.693653,6.5919237,61.317364,1
39.807354,4.530191,57.64153,3
40.574512,4.754718,54.908966,2
43.978138,6.7280045,55.25343,1
43.316616,6.9175158,54.920918,5
44.041466,5.7108045,54.8947,5
44.56976,4.585244,56.88069,3
45.96031,4.6970463,56.80183,11
40.43399,-0.3274467,62.923058,3
46.523586,6.2832828,56.54394,7
38.42584,1.0275729,66.04324,10
40.607635,5.52731,59.187042,1
44.724075,6.4628386,57.82864,1
50.866505,6.5447607,57.46975,7
46.174053,6.771402,54.66808,9
45.29272,6.944716,52.987053,9
47.34317,5.8067923,51.48658,9
44.423035,4.919894,59.516388,3
42.979034,6.9715743,56.45071,1
44.68553,5.884476,59.41404,1
39.03035,2.1486971,58.392975,3
33.880238,-0.3577935,61.08646,6
42.72258,5.9196568,54.921528,5
43.18659,5.9232144,62.08807,1
49.48809,5.778757,60.963135,7
42.522156,4.189588,59.45044,3
39.86252,5.350979,56.21942,1
44.685993,5.617762,57.698967,1
45.731514,6.515523,55.716515,7
42.797035,4.3077106,61.33265,3
46.82344,3.6808598,62.002953,11
47.650307,5.400887,56.921234,7
43.106926,8.451374,61.20695,1
44.72313,7.1487975,58.875904,1
48.44709,4.2100763,61.58045,11
48.193302,3.3788304,63.930687,11
45.226036,8.039701,58.81891,7
45.559486,6.8356056,55.457306,7
43.25807,3.7028959,66.57195,10
38.824944,1.8349922,62.094368,3
39.075645,4.6015053,58.72463,3
45.95967,3.8989756,62.13035,11
45.208187,5.9116483,59.87599,7
36.404335,-5.644996,61.81271,12
51.297623,4.1800876,63.093376,11
41.162926,4.361746,56.69869,3
42.736244,5.4642763,56.288055,1
42.60687,6.969902,58.549965,1
44.890553,3.873675,63.684425,3
39.491344,4.8437614,62.248684,3
41.06951,5.6671076,56.9389,1
41.824097,7.3890495,54.996204,5
39.025642,4.036817,63.21392,3
37.45706,4.5267286,62.329327,3
44.833183,8.530275,59.259125,1
30.335104,-6.5056753,52.60476,13
41.24356,4.39357,56.793896,3
42.15133,6.883368,56.067394,1
39.64089,3.9861822,60.52524,3
36.96564,4.7426934,57.794548,3
44.58657,6.434376,51.966625,5
37.934776,4.899146,60.61524,3
35.521286,1.5360928,59.016804,3
49.146896,-17.034117,53.419266,14
43.321575,2.6599596,64.539406,3
47.613625,3.4567494,63.399864,11
36.703995,2.373806,59.663197,3
38.986748,4.5933867,55.89626,3
37.969414,4.3758726,55.853962,3
37.71404,3.5170677,59.838657,3
38.17249,2.948659,59.852577,3
44.57267,6.4585238,55.873367,1
39.07246,4.936187,57.078075,3
37.663673,4.663707,60.883286,3
43.174686,4.2381935,55.66094,3
36.95611,2.1810024,60.527576,3
36.987453,5.4201937,58.748985,1
38.359364,4.837736,60.33497,3
37.893314,2.37906,59.59537,3
39.533936,4.2132564,60.059456,3
41.07201,5.731427,56.83906,1
44.257515,6.2722297,57.465473,1
40.363937,6.1533504,57.952133,1
45.940964,7.6910667,56.782585,7
43.127304,7.6931877,59.734894,1
40.14747,4.3313847,57.209557,3
39.157463,4.6999865,59.145466,3
42.62245,5.8693223,57.234783,1
37.51181,5.7276244,57.989357,1
39.61987,2.2272947,50.553955,2
36.53308,3.115382,57.571663,3
40.629066,5.436528,58.783028,1
48.2679,7.0070453,53.267445,9
43.41494,4.2338486,50.623188,2
38.456474,2.8473625,57.644367,3
40.410534,7.431327,59.872025,1
43.71174,4.65357,53.25831,2
54.32703,-24.214895,58.64946,15
37.900475,3.8847663,54.949627,2
43.493923,6.5513,55.92733,1
42.27939,6.083198,56.96093,1
41.58216,4.769623,54.8831,2
41.555336,5.8415723,52.217464,5
44.011963,7.145462,55.38295,1
38.22345,3.1468124,56.009922,3
40.70911,7.6427517,61.01679,1
35.180115,1.7030226,56.76254,3
46.785206,6.9141817,52.398373,9
42.42711,7.26678,61.51452,1
46.517403,4.650836,52.439453,8
44.80468,4.9180574,53.56585,2
45.262733,6.65227,56.392647,7
41.347115,7.400197,59.761948,1
48.639206,8.232073,50.22318,9
41.665733,5.928632,60.152702,1
48.01517,8.331624,50.519524,9
43.141594,4.923597,61.683266,3
42.902145,6.2984085,56.00112,1
45.967865,7.124282,53.825573,9
41.651367,5.1729393,56.812576,1
46.609222,4.430414,56.520164,11
43.818947,6.9611793,52.56472,5
45.6749,4.984605,55.4412,11
50.94924,7.584241,59.4083,7
42.844467,4.506751,58.23092,3
46.871323,4.809627,53.62186,8
57.093388,2.4393334,49.497395,16
43.922646,6.02109,56.79154,1
43.819733,7.3670096,54.444847,5
40.296318,4.8087916,56.99151,3
44.321133,6.582494,55.0526,1
45.65123,6.0584216,52.838364,9
44.30582,7.5065618,58.39046,1
43.673195,7.6882515,58.904312,1
44.795948,5.35799,55.903316,1
39.548126,4.9654427,59.557873,3
45.742764,5.9696717,64.17906,7
42.180973,5.3270965,59.42793,1
42.875755,6.4416103,55.767178,1
47.28051,4.5118065,56.985584,11
51.67173,3.1848364,62.591076,11
42.9581,5.58322,55.009132,1
43.66825,5.908747,58.176796,1
45.762207,7.6942253,53.49605,9
45.59322,4.7922063,55.18001,11
44.631496,5.397801,57.333786,1
37.06995,2.4903374,55.729607,3
46.992535,6.1707554,59.754986,7
48.338875,4.3578877,54.225792,8
46.965424,7.237216,57.710922,7
47.750153,6.4173217,55.210342,7
43.38423,8.739632,58.858047,1
44.041893,8.379063,60.69252,1
45.028652,5.475781,62.465153,7
44.227516,5.3971505,57.441048,1
45.616478,5.7076654,55.03167,7
48.061653,6.7431965,51.682747,9
43.57454,6.225545,61.366577,1
46.867924,6.475187,60.067963,7
49.309822,6.2672973,59.82058,7
42.73624,2.328707,55.565113,3
46.90205,6.270255,58.234272,7
44.695343,6.2892838,62.33665,1
43.340637,5.237179,59.264214,1
43.963974,4.406857,56.78494,3
47.055473,6.0775084,61.43805,7
49.989887,5.330001,55.047745,7
43.991055,6.7546186,56.186123,1
42.55934,3.1309593,59.298386,3
43.0415,4.809669,61.793686,3
42.309944,4.7803564,56.871525,3
44.76522,6.7131476,59.870117,1
44.72754,6.704149,62.361988,1
46.24754,4.409553,60.73575,11
46.51454,5.36982,60.77888,7
42.164467,6.983267,59.80724,1
39.417957,3.2502415,60.64405,3
44.69746,4.464706,63.38841,3
48.817867,5.7869678,60.964806,7
