umap, ,,Cluster_UMAP
10.970843,5.592942,10.491709,0
10.837903,6.3556194,10.052642,0
10.746051,6.013456,10.51748,1
10.799275,6.077305,10.075503,0
10.962648,6.240627,9.982427,0
11.350007,6.78609,10.069547,2
10.705777,5.823016,9.552229,0
10.946008,6.40713,10.026455,0
11.044574,6.250813,10.553635,1
10.9425125,6.2242117,10.003087,0
10.859087,5.8968997,10.486699,0
10.978081,5.89301,10.779793,1
10.843115,5.834589,10.619723,1
10.989917,5.9611945,10.718252,1
11.151348,6.7422924,9.871492,2
10.893963,6.01669,10.600686,1
10.771547,6.0876555,10.153542,0
11.199583,6.5822845,10.146179,2
10.866284,6.1892705,9.799348,0
11.42852,6.459734,10.808748,1
11.056237,6.2113447,10.58915,1
10.933335,6.133717,10.765739,1
11.10143,6.4319396,10.441234,0
11.242053,6.6442823,9.773416,2
11.022838,6.393605,10.255959,0
10.855883,6.0671372,10.044363,0
11.055934,6.444064,10.123472,0
11.094978,6.574886,10.00081,2
10.74841,6.0985513,10.386983,0
10.69776,5.99859,9.999922,0
10.923879,5.8894515,10.438838,0
12.876303,5.241257,9.987932,3
10.962499,6.1689076,10.5517845,1
10.781234,6.2273364,10.2982855,0
11.011063,5.9056387,10.685804,1
10.599325,5.4084015,10.2919235,4
11.103368,6.241399,10.705264,1
10.87451,5.637558,10.659924,1
11.050987,5.848336,10.779744,1
11.101666,6.092931,10.703347,1
10.938032,6.3813376,10.24917,0
12.425876,6.2412024,10.222452,5
11.020224,6.056479,10.338855,0
10.902592,5.9149175,10.60643,1
11.068155,6.1141667,10.440027,0
10.817862,5.8526692,10.437807,0
11.129558,6.218537,10.672273,1
10.967892,6.218782,9.86619,0
10.990277,6.0765195,10.11887,0
10.9388485,5.9173365,10.686501,1
10.82259,5.6614933,10.479747,0
10.761762,5.2444143,10.148468,4
10.886273,6.0179996,10.601527,1
10.876326,6.0744815,10.256958,0
10.963977,6.0661244,10.298888,0
12.707292,4.9601884,10.116988,3
10.8326235,5.937344,10.597664,1
10.690239,5.4403186,10.266688,4
10.867975,6.1138873,10.47372,0
10.939382,6.0868864,10.478439,0
10.817128,5.930237,10.1888895,0
10.593808,5.918324,10.35358,0
10.681657,6.034251,10.193618,0
11.114562,6.497742,9.897929,0
10.766724,6.205091,10.121707,0
11.208641,6.675163,10.106921,2
11.247226,6.6506047,10.255866,2
10.896796,6.1528487,10.480796,0
10.8792095,5.58969,10.496244,0
10.959688,6.162231,10.0218,0
11.159219,6.592775,9.732418,2
10.801906,6.0437374,10.035345,0
10.817874,5.969862,10.26457,0
10.888276,6.1866636,10.296901,0
11.231902,6.485063,9.706428,0
10.808978,6.2815247,9.562345,0
12.560277,5.083176,10.191831,3
10.937044,6.0023527,10.280915,0
10.927945,6.113686,10.278333,0
10.787193,5.97642,9.977493,0
10.687497,5.976758,10.508026,1
10.672602,5.8944125,9.695262,0
10.867373,6.1297693,10.422707,0
10.838669,6.1848693,10.486017,0
10.657961,5.534764,10.204011,0
10.969255,6.417143,9.756146,0
11.115353,6.6528573,10.015905,2
11.14932,6.5398335,10.248512,2
11.001596,6.3647046,10.015894,0
12.813438,4.8950844,10.033727,3
11.047509,6.4389677,10.597718,1
11.147911,6.292524,9.772793,0
11.003153,6.2134643,10.579306,1
10.925105,6.5011697,10.53769,6
10.7928095,5.898271,10.231544,0
10.94025,6.225324,10.586135,1
10.948102,6.2931714,10.126698,0
11.058273,6.1209025,10.54291,1
11.316077,6.378684,10.738079,1
10.688282,5.990834,10.33649,0
10.983138,6.357407,10.442056,0
11.072511,6.3541303,10.271268,0
11.253724,6.919025,10.093881,2
10.851926,5.57463,10.768599,1
11.004994,6.304019,10.578467,1
11.236461,6.6244345,9.57789,2
11.04963,6.4108176,10.288454,0
11.537957,5.8095255,11.204963,7
11.219151,5.601059,11.100915,1
11.004701,5.7662373,10.638245,1
10.8747225,6.111987,10.323035,0
11.2081175,6.4373975,10.500243,1
10.890723,6.1893673,10.500805,1
10.722406,5.9237285,10.571853,1
