Label,X,Y,Z
1,116,102,19
2,117,102,19
3,118,102,19
4,115,103,19
5,116,103,19
6,117,103,19
7,118,103,19
8,115,104,19
9,116,104,19
10,117,104,19
11,116,102,20
12,117,102,20
13,116,103,20
14,117,103,20
15,116,104,20
16,117,104,20
17,97,147,25
18,98,147,25
19,97,148,25
20,98,148,25
21,97,146,26
22,98,146,26
23,97,147,26
24,98,147,26
25,99,147,26
26,97,148,26
27,98,148,26
28,99,148,26
29,97,147,27
30,98,147,27
31,97,148,27
32,98,148,27
33,155,128,32
34,156,128,32
35,155,129,32
36,156,129,32
37,113,156,38
38,114,156,38
39,113,157,38
40,114,157,38
41,113,156,39
42,114,156,39
43,115,156,39
44,113,157,39
45,114,157,39
46,115,157,39
47,113,156,40
48,114,156,40
49,113,157,40
50,114,157,40
51,155,64,46
52,156,64,46
53,154,65,46
54,155,65,46
55,156,65,46
56,154,66,46
57,155,66,46
58,156,66,46
59,155,64,47
60,156,64,47
61,155,65,47
62,156,65,47
63,122,143,50
64,123,143,50
65,122,144,50
66,123,144,50
67,91,112,51
68,92,112,51
69,91,113,51
70,92,113,51
71,91,112,52
72,92,112,52
73,91,113,52
74,92,113,52
75,101,178,52
76,102,178,52
77,101,179,52
78,102,179,52
79,173,99,54
80,174,99,54
81,173,100,54
82,174,100,54
83,117,184,56
84,118,184,56
85,117,185,56
86,118,185,56
87,114,180,59
88,115,180,59
89,114,181,59
90,115,181,59
91,144,183,59
92,145,183,59
93,144,184,59
94,145,184,59
95,144,185,59
96,145,185,59
97,154,146,64
98,155,146,64
99,154,147,64
100,155,147,64
101,156,147,64
102,154,148,64
103,155,148,64
104,156,148,64
105,154,146,65
106,155,146,65
107,154,147,65
108,155,147,65
109,98,119,67
110,99,119,67
111,98,120,67
112,99,120,67
113,110,150,68
114,111,150,68
115,110,151,68
116,111,151,68
117,153,91,72
118,154,91,72
119,155,91,72
120,153,92,72
121,154,92,72
122,155,92,72
123,153,93,72
124,154,93,72
125,155,93,72
126,153,90,73
127,154,90,73
128,155,90,73
129,152,91,73
130,153,91,73
131,154,91,73
132,155,91,73
133,156,91,73
134,152,92,73
135,153,92,73
136,154,92,73
137,155,92,73
138,156,92,73
139,153,93,73
140,154,93,73
141,155,93,73
142,156,93,73
143,154,94,73
144,153,90,74
145,154,90,74
146,155,90,74
147,152,91,74
148,153,91,74
149,154,91,74
150,155,91,74
151,156,91,74
152,152,92,74
153,153,92,74
154,154,92,74
155,155,92,74
156,156,92,74
157,153,93,74
158,154,93,74
159,155,93,74
160,154,91,75
161,155,91,75
162,154,92,75
163,155,92,75
164,121,119,86
165,122,119,86
166,121,120,86
167,122,120,86
168,121,121,86
169,122,121,86
170,137,95,8
171,140,99,8
172,133,96,9
173,132,100,9
174,147,94,10
175,116,100,10
176,125,103,10
177,149,89,11
178,134,94,11
179,145,98,11
180,115,102,11
181,131,102,11
182,144,102,11
183,129,104,11
184,137,105,11
185,145,85,12
186,144,87,12
187,145,90,12
188,153,93,12
189,159,95,12
190,113,96,12
191,155,97,12
192,135,99,12
193,127,102,12
194,134,106,12
195,144,107,12
196,133,111,12
197,108,85,13
198,104,88,13
199,144,88,13
200,150,91,13
201,152,94,13
202,121,97,13
203,112,100,13
204,146,102,13
205,154,105,13
206,140,108,13
207,146,108,13
208,149,79,14
209,140,84,14
210,112,85,14
211,101,87,14
212,105,88,14
213,109,88,14
214,154,88,14
215,158,88,14
216,156,90,14
217,159,93,14
218,99,94,14
219,160,94,14
220,131,96,14
221,153,98,14
222,106,101,14
223,130,102,14
224,111,105,14
225,147,107,14
226,111,77,15
227,106,78,15
228,118,78,15
229,117,80,15
230,141,82,15
231,143,85,15
232,117,87,15
233,126,89,15
234,149,91,15
235,128,92,15
236,107,94,15
237,136,94,15
238,150,95,15
239,146,96,15
240,127,98,15
241,145,100,15
242,134,101,15
243,114,104,15
244,127,106,15
245,143,106,15
246,111,107,15
247,122,111,15
248,146,78,16
249,106,81,16
250,115,81,16
251,151,84,16
252,117,87,16
253,162,89,16
254,156,91,16
255,112,92,16
256,118,92,16
257,129,92,16
258,99,95,16
259,105,95,16
260,119,97,16
261,126,97,16
262,96,100,16
263,149,101,16
264,109,103,16
265,124,103,16
266,141,103,16
267,129,104,16
268,154,105,16
269,121,107,16
270,117,109,16
271,126,109,16
272,140,75,17
273,137,77,17
274,107,81,17
275,110,81,17
276,120,81,17
277,104,82,17
278,103,84,17
279,132,86,17
280,133,87,17
281,116,89,17
282,165,91,17
283,99,94,17
284,157,95,17
285,94,96,17
286,135,97,17
287,141,98,17
288,152,100,17
289,112,102,17
290,166,102,17
291,146,103,17
292,162,104,17
293,136,107,17
294,109,110,17
295,148,141,17
296,153,75,18
297,145,79,18
298,137,81,18
299,98,84,18
300,143,86,18
301,166,86,18
302,159,88,18
303,118,89,18
304,130,89,18
305,126,91,18
306,94,94,18
307,151,94,18
308,153,95,18
309,152,97,18
310,131,99,18
311,140,100,18
312,167,101,18
313,120,102,18
314,153,104,18
315,116,107,18
316,109,109,18
317,134,113,18
318,153,136,18
319,152,139,18
320,109,71,19
321,139,75,19
322,114,78,19
323,141,79,19
324,130,80,19
325,160,81,19
326,122,84,19
327,162,86,19
328,125,87,19
329,143,87,19
330,113,89,19
331,108,90,19
332,127,90,19
333,100,91,19
334,120,93,19
335,162,93,19
336,169,95,19
337,126,96,19
338,108,98,19
339,103,100,19
340,168,101,19
341,136,103,19
342,108,104,19
343,135,105,19
344,154,107,19
345,108,108,19
346,106,110,19
347,135,110,19
348,143,111,19
349,145,132,19
350,147,138,19
351,153,144,19
352,119,69,20
353,118,70,20
354,141,74,20
355,116,77,20
356,108,78,20
357,97,79,20
358,114,81,20
359,157,82,20
360,105,85,20
361,104,86,20
362,137,87,20
363,97,88,20
364,142,89,20
365,124,91,20
366,161,93,20
367,131,95,20
368,170,95,20
369,165,96,20
370,147,98,20
371,165,99,20
372,159,100,20
373,138,102,20
374,158,103,20
375,140,105,20
376,129,106,20
377,122,108,20
378,150,111,20
379,129,113,20
380,122,115,20
381,132,116,20
382,132,117,20
383,153,132,20
384,147,134,20
385,104,137,20
386,104,138,20
387,144,140,20
388,138,141,20
389,162,144,20
390,150,152,20
391,138,69,21
392,137,72,21
393,138,74,21
394,145,74,21
395,123,77,21
396,125,77,21
397,145,78,21
398,103,80,21
399,165,80,21
400,106,81,21
401,137,82,21
402,112,83,21
403,142,85,21
404,141,86,21
405,155,86,21
406,165,87,21
407,149,88,21
408,116,89,21
409,170,90,21
410,123,92,21
411,164,93,21
412,134,94,21
413,163,94,21
414,138,95,21
415,150,97,21
416,89,100,21
417,101,101,21
418,139,101,21
419,109,102,21
420,145,103,21
421,155,105,21
422,121,106,21
423,132,107,21
424,145,110,21
425,136,116,21
426,104,127,21
427,160,131,21
428,170,132,21
429,143,134,21
430,140,137,21
431,148,138,21
432,147,139,21
433,98,141,21
434,146,143,21
435,113,145,21
436,112,147,21
437,156,152,21
438,108,70,22
439,118,71,22
440,135,74,22
441,140,74,22
442,140,76,22
443,98,77,22
444,153,78,22
445,117,81,22
446,121,82,22
447,156,84,22
448,168,86,22
449,110,87,22
450,163,87,22
451,104,90,22
452,94,91,22
453,116,93,22
454,141,95,22
455,160,96,22
456,158,98,22
457,164,100,22
458,90,101,22
459,107,103,22
460,126,103,22
461,136,105,22
462,131,106,22
463,130,108,22
464,128,110,22
465,132,113,22
466,135,120,22
467,130,121,22
468,128,123,22
469,146,127,22
470,171,128,22
471,142,132,22
472,156,134,22
473,168,134,22
474,140,135,22
475,155,135,22
476,116,137,22
477,105,139,22
478,142,140,22
479,101,141,22
480,165,143,22
481,114,146,22
482,112,150,22
483,148,151,22
484,113,69,23
485,139,69,23
486,108,70,23
487,113,71,23
488,153,71,23
489,133,74,23
490,117,75,23
491,109,77,23
492,127,77,23
493,127,79,23
494,106,80,23
495,148,81,23
496,105,82,23
497,114,82,23
498,141,82,23
499,146,84,23
500,140,86,23
501,91,88,23
502,119,90,23
503,131,91,23
504,154,93,23
505,100,94,23
506,113,95,23
507,106,96,23
508,124,98,23
509,90,100,23
510,113,100,23
511,96,101,23
512,151,101,23
513,113,102,23
514,97,103,23
515,147,104,23
516,132,106,23
517,129,109,23
518,127,110,23
519,147,113,23
520,124,118,23
521,157,125,23
522,96,126,23
523,152,126,23
524,149,128,23
525,146,131,23
526,172,131,23
527,111,134,23
528,164,136,23
529,168,138,23
530,103,140,23
531,116,142,23
532,154,144,23
533,137,145,23
534,96,146,23
535,154,146,23
536,147,147,23
537,114,149,23
538,102,150,23
539,145,153,23
540,144,68,24
541,123,72,24
542,115,75,24
543,159,75,24
544,155,77,24
545,129,79,24
546,146,81,24
547,97,82,24
548,102,82,24
549,150,82,24
550,92,85,24
551,99,85,24
552,130,86,24
553,154,86,24
554,120,88,24
555,154,88,24
556,96,89,24
557,141,89,24
558,156,91,24
559,145,92,24
560,160,92,24
561,140,93,24
562,158,95,24
563,92,97,24
564,118,98,24
565,137,98,24
566,91,100,24
567,165,101,24
568,132,103,24
569,144,105,24
570,128,107,24
571,144,109,24
572,148,111,24
573,139,115,24
574,123,122,24
575,172,124,24
576,162,127,24
577,111,128,24
578,145,130,24
579,108,131,24
580,153,131,24
581,92,134,24
582,161,136,24
583,136,139,24
584,146,141,24
585,143,143,24
586,117,144,24
587,145,146,24
588,146,148,24
589,115,149,24
590,160,151,24
591,148,152,24
592,122,66,25
593,155,70,25
594,122,73,25
595,124,74,25
596,161,76,25
597,130,77,25
598,157,79,25
599,133,81,25
600,136,83,25
601,135,85,25
602,146,86,25
603,102,88,25
604,94,89,25
605,144,90,25
606,167,92,25
607,154,93,25
608,157,95,25
609,165,96,25
610,96,97,25
611,102,99,25
612,169,99,25
613,117,101,25
614,91,103,25
615,141,104,25
616,106,106,25
617,138,108,25
618,126,110,25
619,116,111,25
620,139,112,25
621,129,114,25
622,142,114,25
623,129,115,25
624,121,116,25
625,173,120,25
626,121,121,25
627,154,123,25
628,93,124,25
629,94,124,25
630,108,126,25
631,112,127,25
632,104,130,25
633,161,132,25
634,154,133,25
635,114,136,25
636,102,138,25
637,153,138,25
638,118,141,25
639,168,143,25
640,108,146,25
641,160,148,25
642,165,150,25
643,151,151,25
644,158,153,25
645,137,67,26
646,125,68,26
647,144,68,26
648,127,70,26
649,102,73,26
650,141,73,26
651,152,75,26
652,132,78,26
653,104,80,26
654,161,81,26
655,94,82,26
656,120,84,26
657,151,86,26
658,91,88,26
659,105,90,26
660,104,92,26
661,101,94,26
662,172,94,26
663,92,97,26
664,138,97,26
665,141,97,26
666,153,99,26
667,140,100,26
668,143,101,26
669,100,102,26
670,122,104,26
671,164,106,26
672,130,107,26
673,167,108,26
674,145,111,26
675,149,113,26
676,113,116,26
677,176,119,26
678,130,122,26
679,103,123,26
680,161,123,26
681,87,124,26
682,160,125,26
683,145,126,26
684,178,126,26
685,141,129,26
686,102,132,26
687,111,133,26
688,156,133,26
689,165,133,26
690,175,135,26
691,171,137,26
692,166,139,26
693,115,141,26
694,144,142,26
695,119,144,26
696,143,144,26
697,153,145,26
698,164,146,26
699,168,147,26
700,143,151,26
701,154,153,26
702,111,154,26
703,119,67,27
704,131,70,27
705,128,71,27
706,128,72,27
707,107,75,27
708,104,76,27
709,92,78,27
710,136,80,27
711,140,80,27
712,147,82,27
713,88,84,27
714,90,86,27
715,106,87,27
716,105,89,27
717,159,89,27
718,172,90,27
719,163,91,27
720,98,93,27
721,116,95,27
722,95,97,27
723,155,97,27
724,103,98,27
725,172,98,27
726,98,101,27
727,131,101,27
728,120,102,27
729,155,103,27
730,146,105,27
731,142,106,27
732,135,107,27
733,101,108,27
734,106,108,27
735,138,108,27
736,171,110,27
737,114,111,27
738,134,114,27
739,129,115,27
740,177,117,27
741,150,120,27
742,118,122,27
743,158,123,27
744,149,125,27
745,150,125,27
746,131,126,27
747,87,127,27
748,156,127,27
749,100,129,27
750,157,130,27
751,164,130,27
752,151,132,27
753,104,134,27
754,108,136,27
755,155,136,27
756,165,138,27
757,106,140,27
758,161,142,27
759,111,144,27
760,170,146,27
761,141,147,27
762,99,149,27
763,169,149,27
764,101,153,27
765,163,153,27
766,165,154,27
767,113,67,28
768,136,67,28
769,148,68,28
770,114,72,28
771,140,73,28
772,132,74,28
773,151,75,28
774,120,77,28
775,120,78,28
776,138,78,28
777,155,79,28
778,161,80,28
779,166,81,28
780,134,83,28
781,100,85,28
782,117,85,28
783,125,87,28
784,169,87,28
785,110,89,28
786,170,89,28
787,172,90,28
788,87,93,28
789,93,93,28
790,153,93,28
791,159,94,28
792,161,94,28
793,106,95,28
794,113,96,28
795,107,98,28
796,90,99,28
797,103,99,28
798,100,101,28
799,105,101,28
800,149,102,28
801,90,104,28
802,151,105,28
803,102,106,28
804,109,107,28
805,141,109,28
806,124,110,28
