cluster_id,n_nodes,centroid_x,centroid_y,centroid_z,dominant_seg_label,left_fraction,right_fraction
1,899,127.39488,136.60289,96.983315,2.0,0.72302558,0.27697442
2,933,126.08896,76.75134,93.756699,2.0,0.84458735,0.15541265
3,932,142.58584,81.830472,86.925966,2.0,0.02360515,0.97639485
4,983,128.60427,96.004069,98.899288,1.0,0.69786368,0.30213632
5,1285,128.77276,107.99767,84.757977,1.0,0.76731518,0.23268482
6,889,140.73678,120.05962,89.395951,2.0,0.10686164,0.89313836
7,863,123.3314,93.010429,94.22248,4.0,0.8377752,0.1622248
8,1578,145.25285,88.572243,87.630545,2.0,0.0012674271,0.99873257
9,1679,150.93985,114.2978,91.218582,2.0,0,1
10,457,124.66302,118.64333,94.770241,1.0,0.92560175,0.074398249
11,970,134.27216,106.04124,111.03505,1.0,0.37731959,0.62268041
12,1275,137.66824,125.75843,125.95608,2.0,0.25882353,0.74117647
13,1023,117.60215,109.04985,107.3871,1.0,0.97067449,0.029325513
14,781,127.00384,115.93854,80.257362,4.0,0.59282971,0.40717029
15,1049,147.85987,91.397521,110.20972,2.0,0.0076263108,0.99237369
16,1216,137.53783,104.5699,109.19819,2.0,0.25986842,0.74013158
17,620,131.80968,123.47258,98.267742,4.0,0.49677419,0.50322581
18,771,102.33982,113.3917,110.10117,2.0,1,0
19,670,125.28209,113.32239,74.871642,2.0,0.70746269,0.29253731
20,1023,135.82307,140.05474,107.29032,2.0,0.40469208,0.59530792
21,416,121.57212,110.98798,103.09615,4.0,0.77644231,0.22355769
22,212,133.88208,96.188679,88.221698,4.0,0.41509434,0.58490566
23,841,126.51011,128.46017,94.516052,4.0,0.73246136,0.26753864
24,1059,102.50331,110.86874,108.6204,2.0,1,0
25,1005,129.14129,105.03881,96.20199,1.0,0.65870647,0.34129353
26,993,135.6143,110.44512,103.16113,4.0,0.28197382,0.71802618
27,982,108.76273,114.70774,92.198574,2.0,1,0
28,1134,117.39153,100.89594,93.166667,1.0,0.98589065,0.014109347
29,929,122.54575,115.06566,95.664155,1.0,0.86006459,0.13993541
30,1125,127.24444,119.92533,94.687111,1.0,0.74311111,0.25688889
31,1537,143.29083,81.243331,103.30254,2.0,0.02732596,0.97267404
32,927,123.93312,119.60841,95.322546,1.0,0.92988134,0.070118662
33,1367,137.22751,136.31456,101.16971,2.0,0.31821507,0.68178493
34,916,133.58297,98.340611,80.728166,2.0,0.43668122,0.56331878
35,773,127.01164,114.30918,78.562743,4.0,0.75549806,0.24450194
36,1577,136.94864,138.47242,104.67533,2.0,0.24730501,0.75269499
37,824,118.16748,120.56311,90.270631,1.0,0.99878641,0.0012135922
38,587,113.87053,113.67462,84.330494,2.0,0.9846678,0.015332198
39,1399,128.97141,98.414582,108.58542,1.0,0.77698356,0.22301644
40,793,129.08323,111.33417,106.92686,4.0,0.61790668,0.38209332
41,1054,111.03795,111.67742,84.967742,1.0,1,0
42,673,123.90788,106.08915,91.777117,1.0,0.90341753,0.096582467
43,733,118.80764,119.41064,88.783083,1.0,0.97407913,0.025920873
44,284,135.55282,96.098592,91.760563,1.0,0.20070423,0.79929577
45,373,125.34048,97.447721,82.058981,4.0,0.79624665,0.20375335
46,944,152.49682,117.72775,89.194915,2.0,0,1
47,1610,134.03602,76.922981,93.865839,2.0,0.42546584,0.57453416
48,984,109.75508,112.50508,101.44309,4.0,1,0
49,883,123.02945,114.19139,81.278596,1.0,0.99433749,0.0056625142
50,1838,149.08814,89.483678,99.082155,2.0,0,1
51,626,133.28435,99.423323,94.21246,4.0,0.41373802,0.58626198
52,1170,141.4547,126.50513,127.14957,2.0,0.15555556,0.84444444
53,182,136.9011,134.38462,88.862637,2.0,0.093406593,0.90659341
54,604,131.36424,104.7947,97.668874,4.0,0.46854305,0.53145695
55,801,125.97378,126.04494,99.923845,1.0,0.71660424,0.28339576
56,1786,141.7514,129.43281,114.68197,2.0,0.038633819,0.96136618
57,2443,151.78674,117.95456,102.82194,2.0,0,1
58,397,128.60202,81.947103,86.871537,2.0,0.73299748,0.26700252
59,1636,150.45905,112.56357,110.57946,2.0,0,1
60,1125,124.72267,99.717333,111.736,4.0,0.79822222,0.20177778
61,761,130.05388,103.59921,98.768725,1.0,0.54533509,0.45466491
62,1122,122.32264,111.43316,114.63904,2.0,0.81461676,0.18538324
63,1538,139.6814,125.05332,124.53966,2.0,0.061768531,0.93823147
64,1141,103.41981,112.98247,109.07099,2.0,1,0
