label,MRI,,,UPENNModuleClustering
1,95,109,102,18
2,95,109,103,18
3,95,109,104,18
4,95,110,102,18
5,95,110,104,18
6,95,110,105,18
7,95,111,104,18
8,95,111,105,18
9,95,112,103,18
10,95,112,104,18
11,95,112,105,18
12,95,113,105,18
13,95,114,102,64
14,95,114,103,18
15,95,114,104,18
16,95,114,105,18
17,95,114,106,18
18,95,115,102,64
19,95,115,104,18
20,95,115,105,18
21,95,115,106,18
22,95,115,108,18
23,95,116,105,18
24,95,116,106,18
25,95,116,107,18
26,95,116,108,18
27,95,117,104,18
28,95,117,105,18
29,95,117,106,18
30,95,117,107,18
31,95,117,109,18
32,95,118,102,18
33,95,118,104,18
34,95,118,105,18
35,95,118,106,18
36,95,118,108,18
37,95,118,109,18
38,95,119,102,18
39,95,119,103,18
40,95,120,102,18
41,96,104,102,18
42,96,105,102,18
43,96,105,104,18
44,96,106,104,18
45,96,107,102,18
46,96,107,104,18
47,96,107,106,18
48,96,107,107,18
49,96,107,108,18
50,96,107,109,18
51,96,108,102,18
52,96,108,103,18
53,96,108,104,18
54,96,108,107,18
55,96,108,108,18
56,96,108,110,18
57,96,109,106,18
58,96,109,107,18
59,96,109,110,18
60,96,109,111,18
61,96,110,102,64
62,96,110,103,64
63,96,110,110,18
64,96,111,101,64
65,96,111,102,64
66,96,111,104,18
67,96,111,105,18
68,96,111,107,18
69,96,111,112,18
70,96,112,101,64
71,96,112,104,18
72,96,112,105,18
73,96,112,108,64
74,96,112,109,18
75,96,112,111,18
76,96,113,101,24
77,96,113,102,64
78,96,113,104,64
79,96,113,107,64
80,96,113,109,64
81,96,113,110,18
82,96,113,112,18
83,96,114,101,24
84,96,114,105,64
85,96,114,106,64
86,96,114,108,64
87,96,114,110,18
88,96,115,101,24
89,96,115,103,64
90,96,115,105,64
91,96,115,109,64
92,96,115,111,18
93,96,116,101,24
94,96,116,103,64
95,96,116,104,64
96,96,116,106,64
97,96,116,108,64
98,96,116,110,18
99,96,116,111,18
100,96,117,106,64
101,96,117,108,64
102,96,117,109,18
103,96,118,101,24
104,96,118,103,64
105,96,118,105,64
106,96,118,106,64
107,96,118,107,64
108,96,118,108,64
109,96,118,109,18
110,96,119,101,24
111,96,119,102,64
112,96,119,105,64
113,96,119,106,64
114,96,119,107,64
115,96,119,109,18
116,96,119,110,18
117,96,120,101,24
118,96,120,102,64
119,96,120,103,64
120,96,120,104,18
121,96,120,105,18
122,96,120,106,18
123,96,120,107,18
124,96,120,108,18
125,96,121,103,18
126,96,121,106,18
127,96,121,107,18
128,96,122,105,18
129,96,123,103,18
130,96,123,104,18
131,96,124,102,64
132,96,125,102,64
133,96,126,101,24
134,96,126,102,64
135,97,102,103,18
136,97,102,104,18
137,97,103,101,18
138,97,103,103,18
139,97,103,104,18
140,97,103,108,18
141,97,104,102,64
142,97,104,103,64
143,97,104,106,18
144,97,104,111,18
145,97,105,102,64
146,97,105,103,64
147,97,105,104,64
148,97,105,105,64
149,97,105,106,64
150,97,105,107,64
151,97,105,108,18
152,97,106,101,64
153,97,106,103,64
154,97,106,104,64
155,97,106,105,64
156,97,106,108,64
157,97,106,109,18
158,97,106,110,18
159,97,106,111,18
160,97,106,113,18
161,97,107,101,64
162,97,107,102,64
163,97,107,103,64
164,97,107,104,64
165,97,107,106,64
166,97,107,109,18
167,97,107,110,18
168,97,107,111,18
169,97,108,107,64
170,97,108,108,64
171,97,108,109,64
172,97,108,110,18
173,97,108,111,18
174,97,108,112,18
175,97,108,113,18
176,97,108,114,18
177,97,109,102,64
178,97,109,103,64
179,97,109,105,64
180,97,109,107,64
181,97,109,109,64
182,97,109,110,18
183,97,109,111,18
184,97,109,112,18
185,97,109,114,18
186,97,110,101,24
187,97,110,102,64
188,97,110,106,64
189,97,110,107,64
190,97,110,108,64
191,97,110,109,64
192,97,110,113,18
193,97,110,114,18
194,97,111,101,24
195,97,111,102,64
196,97,111,104,64
197,97,111,107,64
198,97,111,109,64
199,97,111,110,64
200,97,111,113,18
201,97,111,114,18
202,97,112,104,64
203,97,112,108,64
204,97,112,109,64
205,97,112,110,64
206,97,112,111,64
207,97,112,112,18
208,97,113,103,24
209,97,113,107,24
210,97,113,111,64
211,97,113,112,18
212,97,114,105,24
213,97,114,106,24
214,97,114,107,24
215,97,114,110,64
216,97,114,111,64
217,97,114,112,18
218,97,114,113,18
219,97,115,101,24
220,97,115,102,24
221,97,115,103,24
222,97,115,104,24
223,97,115,105,24
224,97,115,106,24
225,97,115,108,64
226,97,115,110,64
227,97,115,111,64
228,97,115,113,18
229,97,116,101,24
230,97,116,102,24
231,97,116,103,24
232,97,116,104,24
233,97,116,105,24
234,97,116,107,24
235,97,116,108,24
236,97,116,109,64
237,97,116,110,64
238,97,116,111,64
239,97,116,112,18
240,97,116,113,18
241,97,117,101,24
242,97,117,102,24
243,97,117,103,24
244,97,117,104,24
245,97,117,105,24
246,97,117,106,24
247,97,117,109,64
248,97,117,110,64
249,97,117,111,64
250,97,117,113,18
251,97,118,102,24
252,97,118,105,64
253,97,118,106,24
254,97,118,107,24
255,97,118,109,64
256,97,119,101,24
257,97,119,102,24
258,97,119,103,24
259,97,119,106,64
