cluster_id,n_nodes,centroid_x,centroid_y,centroid_z,dominant_seg_label,left_fraction,right_fraction
1,4456,84.794434,122.07899,56.858169,2.0,0.38846499,0.61153501
2,4031,74.851402,115.82387,72.950136,2.0,0.71247829,0.28752171
3,2913,93.986955,100.96121,65.302781,2.0,0.034328871,0.96567113
4,4572,67.543526,115.97572,65.344926,2.0,0.99387577,0.0061242345
5,7979,77.671638,103.81238,55.270961,1.0,0.84095751,0.15904249
6,1934,85.041365,145.10858,65.962771,2.0,0.28179938,0.71820062
7,5970,78.184925,102.56884,55.042546,4.0,0.66566164,0.33433836
8,4761,92.124764,104.48141,41.983827,2.0,0.099978996,0.900021
9,3304,88.092918,119.58323,62.642554,2.0,0.14255448,0.85744552
10,3030,71.005941,123.5868,49.89868,2.0,0.99108911,0.0089108911
11,3029,80.454605,102.0591,42.962694,2.0,0.56916474,0.43083526
12,3405,94.296916,94.58326,46.682526,2.0,0.023788546,0.97621145
13,3948,70.899189,121.84802,71.092452,2.0,0.99544073,0.0045592705
14,3765,92.077025,140.18619,55.531474,2.0,0.032669323,0.96733068
15,5099,100.99353,118.71936,54.656403,2.0,0,1
16,1804,93.916297,111.89523,68.560421,2.0,0.0055432373,0.99445676
