label,MRI,,,UPENNModuleClustering
128001,61,119,38,11
128002,62,117,35,11
128003,62,117,36,11
128004,62,117,38,11
128005,62,118,35,11
128006,62,118,37,11
128007,62,119,36,11
128008,62,119,40,11
128009,62,119,41,14
128010,62,120,35,14
128011,62,120,40,14
128012,62,121,38,11
128013,62,121,39,11
128014,62,121,40,14
128015,62,122,39,11
128016,62,123,38,11
128017,62,123,40,14
128018,62,124,39,11
128019,63,115,34,14
128020,63,115,37,11
128021,63,115,38,11
128022,63,116,35,11
128023,63,116,36,11
128024,63,116,37,11
128025,63,116,39,11
128026,63,117,33,14
128027,63,117,34,11
128028,63,117,36,11
128029,63,117,37,11
128030,63,117,38,11
128031,63,117,39,11
128032,63,117,40,14
128033,63,118,36,11
128034,63,118,37,11
128035,63,118,41,14
128036,63,119,34,14
128037,63,119,35,14
128038,63,119,36,11
128039,63,119,37,11
128040,63,119,40,14
128041,63,120,36,14
128042,63,120,37,11
128043,63,121,34,14
128044,63,121,36,14
128045,63,121,38,14
128046,63,122,36,14
128047,63,122,38,14
128048,63,122,39,14
128049,63,122,40,14
128050,63,123,38,14
128051,63,124,38,14
128052,63,124,39,14
128053,63,124,40,14
128054,63,125,39,14
128055,63,141,101,13
128056,63,142,97,13
128057,63,142,98,13
128058,63,142,100,13
128059,63,143,92,13
128060,63,143,94,13
128061,63,143,95,13
128062,63,143,99,13
128063,63,144,98,13
128064,63,144,100,13
128065,63,145,91,13
128066,63,145,97,13
128067,64,114,35,11
128068,64,114,36,11
128069,64,115,33,14
128070,64,115,36,14
128071,64,115,38,11
128072,64,115,40,11
128073,64,116,32,14
128074,64,116,34,14
128075,64,116,40,14
128076,64,117,32,14
128077,64,117,35,14
128078,64,117,36,14
128079,64,117,37,14
128080,64,118,35,14
128081,64,118,37,14
128082,64,118,40,14
128083,64,119,35,14
128084,64,119,36,14
128085,64,119,37,14
128086,64,119,38,14
128087,64,119,39,14
128088,64,121,34,14
128089,64,121,35,14
128090,64,122,35,14
128091,64,122,36,14
128092,64,122,38,14
128093,64,122,40,14
128094,64,126,39,14
128095,64,140,100,13
128096,64,140,101,13
128097,64,140,102,13
128098,64,141,97,13
128099,64,141,98,13
128100,64,142,97,13
128101,64,142,100,13
128102,64,143,90,13
128103,64,143,91,13
128104,64,143,94,13
128105,64,143,95,4
128106,64,143,96,4
128107,64,143,98,13
128108,64,143,99,13
128109,64,144,89,13
128110,64,144,90,13
128111,64,144,93,4
128112,64,144,94,4
128113,64,144,95,4
128114,64,144,96,4
128115,64,144,97,13
128116,64,144,98,13
128117,64,144,99,13
128118,64,144,107,13
128119,64,145,90,13
128120,64,145,92,13
128121,64,145,95,4
128122,64,145,97,13
128123,64,145,98,13
128124,64,145,106,13
128125,64,146,93,13
128126,64,146,96,13
128127,64,146,97,13
128128,64,146,104,13
128129,64,146,106,13
128130,64,147,102,13
128131,64,147,103,13
128132,64,147,106,13
128133,64,148,107,13
128134,64,149,104,13
128135,64,149,106,13
128136,64,150,105,13
128137,65,114,32,14
128138,65,114,36,14
128139,65,115,32,14
128140,65,115,34,14
128141,65,115,35,14
128142,65,115,36,14
128143,65,115,38,14
128144,65,115,42,14
128145,65,116,31,14
128146,65,116,32,14
128147,65,116,34,14
128148,65,116,35,14
128149,65,116,36,14
128150,65,116,37,14
128151,65,116,39,14
128152,65,116,42,14
128153,65,117,31,14
128154,65,117,33,14
128155,65,117,35,14
128156,65,117,36,14
128157,65,117,38,14
128158,65,117,42,14
128159,65,118,32,14
128160,65,118,33,14
128161,65,118,35,14
128162,65,118,36,14
128163,65,118,38,14
128164,65,118,39,14
128165,65,118,43,14
128166,65,119,34,14
128167,65,119,35,14
128168,65,119,37,14
128169,65,119,40,14
128170,65,119,41,14
128171,65,119,42,14
128172,65,119,43,14
128173,65,121,37,14
128174,65,121,40,14
128175,65,127,39,14
128176,65,127,40,14
128177,65,128,39,14
128178,65,137,102,13
128179,65,137,103,13
128180,65,138,100,13
128181,65,138,102,13
128182,65,138,103,13
128183,65,138,104,13
128184,65,139,99,13
128185,65,139,101,13
128186,65,139,103,13
128187,65,140,100,13
128188,65,140,101,13
128189,65,140,102,13
128190,65,140,103,13
128191,65,141,94,13
128192,65,141,96,13
128193,65,141,102,13
128194,65,142,92,13
128195,65,142,95,4
128196,65,142,96,4
128197,65,142,97,4
128198,65,142,98,4
128199,65,142,101,13
128200,65,142,102,13
128201,65,142,104,13
128202,65,142,105,13
128203,65,143,90,13
128204,65,143,91,13
128205,65,143,92,4
128206,65,143,93,4
128207,65,143,94,4
128208,65,143,96,4
128209,65,143,97,4
128210,65,143,99,13
128211,65,143,100,13
128212,65,143,105,13
128213,65,143,106,13
128214,65,143,107,13
128215,65,144,88,13
128216,65,144,89,13
128217,65,144,95,4
128218,65,144,97,4
128219,65,144,99,13
128220,65,144,103,13
128221,65,144,106,13
128222,65,144,108,13
128223,65,145,90,13
128224,65,145,93,4
128225,65,145,96,4
128226,65,145,97,13
128227,65,145,100,13
128228,65,145,101,13
128229,65,145,103,13
128230,65,145,104,13
128231,65,145,105,4
128232,65,145,108,13
128233,65,146,93,13
128234,65,146,95,13
128235,65,146,96,13
128236,65,146,97,13
128237,65,146,98,13
128238,65,146,99,13
128239,65,146,100,13
128240,65,146,102,13
128241,65,146,103,13
128242,65,146,104,4
128243,65,146,105,4
128244,65,146,106,13
128245,65,146,107,13
128246,65,147,101,13
128247,65,147,103,4
128248,65,147,106,13
128249,65,147,107,13
128250,65,148,101,13
128251,65,148,102,13
128252,65,148,104,4
128253,65,148,105,4
128254,65,148,106,13
128255,65,148,108,13
128256,65,149,104,4
128257,65,149,107,13
128258,65,150,102,13
128259,65,150,103,13
128260,65,150,104,13
128261,65,150,105,13
128262,65,151,105,13
128263,65,169,87,13
128264,65,169,88,13
128265,65,171,85,13
128266,65,171,86,13
128267,65,171,87,13
128268,65,171,89,13
128269,65,171,90,13
128270,65,172,85,13
128271,65,172,87,13
128272,66,112,31,11
128273,66,112,32,11
128274,66,113,29,14
128275,66,113,34,11
128276,66,113,35,11
128277,66,113,37,11
128278,66,114,29,14
128279,66,114,30,14
128280,66,114,33,11
128281,66,114,38,14
128282,66,114,39,14
128283,66,114,40,14
128284,66,114,41,14
128285,66,115,29,14
128286,66,115,30,14
128287,66,115,32,14
128288,66,115,36,14
128289,66,115,42,14
128290,66,116,32,14
128291,66,116,33,14
128292,66,116,35,14
128293,66,116,36,14
128294,66,116,37,14
128295,66,116,38,14
128296,66,117,30,14
128297,66,117,33,14
128298,66,117,35,14
128299,66,117,36,14
128300,66,117,37,14
128301,66,117,42,14
128302,66,117,43,14
128303,66,118,32,14
128304,66,118,34,14
128305,66,118,35,14
128306,66,118,38,14
128307,66,118,39,14
128308,66,118,40,14
128309,66,118,41,14
128310,66,118,42,14
128311,66,119,36,14
128312,66,119,37,14
128313,66,120,38,14
128314,66,120,39,14
128315,66,120,40,14
128316,66,121,39,14
128317,66,135,98,13
128318,66,137,98,13
128319,66,137,99,13
128320,66,137,102,13
128321,66,137,104,13
128322,66,138,97,13
128323,66,138,98,13
128324,66,138,101,13
128325,66,138,104,13
128326,66,139,97,13
128327,66,139,99,13
128328,66,139,100,4
128329,66,139,101,4
128330,66,139,102,13
128331,66,139,103,13
128332,66,140,95,13
128333,66,140,97,13
128334,66,140,98,4
128335,66,140,100,4
128336,66,140,101,4
128337,66,140,102,13
128338,66,140,105,13
128339,66,141,96,4
128340,66,141,99,4
128341,66,141,101,13
128342,66,141,103,13
128343,66,141,105,13
128344,66,142,90,13
128345,66,142,91,13
128346,66,142,92,13
128347,66,142,93,13
128348,66,142,94,4
128349,66,142,96,4
128350,66,142,97,4
128351,66,142,99,4
128352,66,142,100,4
128353,66,142,101,13
128354,66,142,104,13
128355,66,142,105,13
128356,66,142,107,13
128357,66,143,88,13
128358,66,143,90,4
128359,66,143,91,4
128360,66,143,94,4
128361,66,143,95,4
128362,66,143,96,4
128363,66,143,98,4
128364,66,143,102,13
128365,66,143,106,13
128366,66,143,107,13
128367,66,144,87,13
128368,66,144,88,13
128369,66,144,89,13
128370,66,144,93,4
128371,66,144,97,4
128372,66,144,100,13
128373,66,144,103,4
128374,66,144,104,4
128375,66,144,107,13
128376,66,145,87,13
128377,66,145,94,4
128378,66,145,98,4
128379,66,145,100,13
128380,66,145,103,4
128381,66,145,104,4
128382,66,145,105,4
128383,66,145,106,13
128384,66,146,91,13
128385,66,146,92,13
128386,66,146,93,13
128387,66,146,94,13
128388,66,146,95,13
128389,66,146,96,4
128390,66,146,100,13
128391,66,147,96,13
128392,66,147,97,13
128393,66,147,99,13
128394,66,147,100,13
128395,66,147,102,4
128396,66,147,106,13
128397,66,147,107,13
128398,66,148,97,13
128399,66,148,100,13
128400,66,148,104,4
128401,66,148,105,4
128402,66,149,99,13
128403,66,149,101,13
128404,66,149,102,4
128405,66,149,103,4
128406,66,149,104,4
128407,66,149,105,4
128408,66,149,108,13
128409,66,150,100,13
128410,66,150,101,13
128411,66,150,105,4
128412,66,150,107,13
128413,66,151,101,13
128414,66,151,102,13
128415,66,151,105,13
128416,66,151,107,13
128417,66,152,105,13
128418,66,152,106,13
128419,66,152,107,13
128420,66,167,86,13
128421,66,167,87,13
128422,66,167,88,13
128423,66,168,86,13
128424,66,168,88,13
128425,66,169,84,13
128426,66,169,85,13
128427,66,169,86,4
128428,66,169,87,13
128429,66,169,88,13
128430,66,170,85,13
128431,66,170,86,4
128432,66,170,87,4
128433,66,170,91,13
128434,66,171,86,7
128435,66,171,88,13
128436,66,171,93,13
128437,66,172,85,13
128438,66,172,88,13
128439,66,173,85,13
128440,67,109,34,11
128441,67,109,35,11
128442,67,111,33,11
128443,67,111,34,11
128444,67,113,29,11
128445,67,113,30,14
128446,67,113,31,11
128447,67,113,32,11
128448,67,113,33,11
128449,67,113,34,11
128450,67,113,35,11
128451,67,113,37,11
128452,67,113,41,14
128453,67,113,42,14
128454,67,114,29,14
128455,67,114,32,11
128456,67,114,35,14
128457,67,114,36,14
128458,67,114,37,14
128459,67,114,38,14
128460,67,114,39,14
128461,67,114,40,14
128462,67,114,41,14
128463,67,115,31,14
128464,67,115,33,14
128465,67,115,34,14
128466,67,115,40,14
128467,67,115,42,14
128468,67,116,30,14
128469,67,116,31,14
128470,67,116,32,14
128471,67,116,34,14
128472,67,116,35,14
128473,67,116,37,14
128474,67,116,42,14
