Entry	Entry name	Status	Length	Mass	Gene names  (primary )
Q9NQ94	A1CF_HUMAN	reviewed	594	65,202	A1CF
A8K2U0	A2ML1_HUMAN	reviewed	1454	161,107	A2ML1
O15254	ACOX3_HUMAN	reviewed	700	77,629	ACOX3
P05408	7B2_HUMAN	reviewed	212	23,730	SCG5
P0DMS8	AA3R_HUMAN	reviewed	318	36,185	ADORA3
Q16671	AMHR2_HUMAN	reviewed	573	62,750	AMHR2
Q9GZX7	AICDA_HUMAN	reviewed	198	23,954	AICDA
Q9BY76	ANGL4_HUMAN	reviewed	406	45,214	ANGPTL4
P03950	ANGI_HUMAN	reviewed	147	16,550	ANG
Q13520	AQP6_HUMAN	reviewed	282	29,370	AQP6
P18440	ARY1_HUMAN	reviewed	290	33,899	NAT1
Q9NR71	ASAH2_HUMAN	reviewed	780	85,516	ASAH2
O95816	BAG2_HUMAN	reviewed	211	23,772	BAG2
Q9UBR1	BUP1_HUMAN	reviewed	384	43,166	UPB1
O75936	BODG_HUMAN	reviewed	387	44,715	BBOX1
A6H8Y1	BDP1_HUMAN	reviewed	2624	293,885	BDP1
P23560	BDNF_HUMAN	reviewed	247	27,818	BDNF
P35226	BMI1_HUMAN	reviewed	326	36,949	BMI1
Q9NWV8	BABA1_HUMAN	reviewed	329	36,560	BABAM1
O60909	B4GT2_HUMAN	reviewed	372	41,972	B4GALT2
P55289	CAD12_HUMAN	reviewed	794	88,332	CDH12
Q9P0B6	CC167_HUMAN	reviewed	97	11,459	CCDC167
P42575	CASP2_HUMAN	reviewed	452	50,685	CASP2
A5D8V7	CC151_HUMAN	reviewed	595	69,140	CCDC151
Q7LBR1	CHM1B_HUMAN	reviewed	199	22,109	CHMP1B
Q6NUI6	CHADL_HUMAN	reviewed	762	82,388	CHADL
P86434	AAS1_HUMAN	reviewed	159	17,238	ADORA2A-AS1
Q8N0Z2	ABRA_HUMAN	reviewed	381	43,117	ABRA
Q86TY3	ARMD4_HUMAN	reviewed	774	84,173	ARMH4
P0C7Q2	ARMS2_HUMAN	reviewed	107	11,437	ARMS2
Q9NWL6	ASND1_HUMAN	reviewed	643	72,080	ASNSD1
O43861	ATP9B_HUMAN	reviewed	1147	129,304	ATP9B
Q86Y30	BAGE2_HUMAN	reviewed	109	12,114	BAGE2
A4D250	BLACE_HUMAN	reviewed	179	19,503	BLACE
Q8TDN6	BRX1_HUMAN	reviewed	353	41,401	BRIX1
Q9NVE4	CCD87_HUMAN	reviewed	849	96,402	CCDC87
Q8ND23	CARL3_HUMAN	reviewed	1372	150,230	CARMIL3
Q8WUD4	CCD12_HUMAN	reviewed	166	19,181	CCDC12
Q96LR7	CB050_HUMAN	reviewed	162	17,838	C2orf50
A6NCI8	CB078_HUMAN	reviewed	922	100,170	C2orf78
Q17RM4	CC142_HUMAN	reviewed	750	81,643	CCDC142
A8MX76	CAN14_HUMAN	reviewed	684	79,568	CAPN14
B2RD01	CENP1_HUMAN	reviewed	187	21,052	CENPBD1
Q9Y6F8	CDY1_HUMAN	reviewed	540	60,473	CDY1; CDY1B
Q96K31	CH076_HUMAN	reviewed	380	43,273	C8orf76
Q96NL8	CH037_HUMAN	reviewed	207	23,381	C8orf37
P0DMB2	CH088_HUMAN	reviewed	117	13,372	C8orf88
Q8IVW4	CDKL3_HUMAN	reviewed	592	67,514	CDKL3
O43822	CF410_HUMAN	reviewed	256	28,340	CFAP410
Q5T280	CI114_HUMAN	reviewed	376	42,009	SPOUT1
P42771	CDN2A_HUMAN	reviewed	156	16,533	CDKN2A
Q9HBB8	CDHR5_HUMAN	reviewed	845	88,223	CDHR5
Q6V702	CF299_HUMAN	reviewed	233	26,869	CFAP299
A6NJW9	CD8B2_HUMAN	reviewed	210	23,703	CD8B2
Q4VX62	CF099_HUMAN	reviewed	202	22,766	C6orf99
A8K010	CF176_HUMAN	reviewed	186	21,118	LINC00473
Q9ULG3	CFA92_HUMAN	reviewed	409	46,740	CFAP92
Q96KX1	CD036_HUMAN	reviewed	117	13,276	C4orf36
Q9HCK8	CHD8_HUMAN	reviewed	2581	290,519	CHD8
P28906	CD34_HUMAN	reviewed	385	40,716	CD34
Q53SF7	COBL1_HUMAN	reviewed	1128	123,868	COBLL1
O43866	CD5L_HUMAN	reviewed	347	38,088	CD5L
P30279	CCND2_HUMAN	reviewed	289	33,067	CCND2
O60583	CCNT2_HUMAN	reviewed	730	81,029	CCNT2
A8K5M9	CO062_HUMAN	reviewed	175	19,679	C15orf62
P13942	COBA2_HUMAN	reviewed	1736	171,791	COL11A2
Q86U37	CN023_HUMAN	reviewed	167	18,828	LINC01551
P05997	CO5A2_HUMAN	reviewed	1499	144,910	COL5A2
Q9UJS0	CMC2_HUMAN	reviewed	675	74,176	SLC25A13
Q7Z624	CMKMT_HUMAN	reviewed	323	36,128	CAMKMT
Q9HAW4	CLSPN_HUMAN	reviewed	1339	151,094	CLSPN
P56856	CLD18_HUMAN	reviewed	261	27,856	CLDN18
Q02246	CNTN2_HUMAN	reviewed	1040	113,393	CNTN2
P09497	CLCB_HUMAN	reviewed	229	25,190	CLTB
P35523	CLCN1_HUMAN	reviewed	988	108,626	CLCN1
G3V211	CL079_HUMAN	reviewed	115	13,510	LINC01619
Q9UDT6	CLIP2_HUMAN	reviewed	1046	115,837	CLIP2
Q02318	CP27A_HUMAN	reviewed	531	60,235	CYP27A1
Q6UXZ3	CLM5_HUMAN	reviewed	194	21,558	CD300LD
Q8N999	CL029_HUMAN	reviewed	325	37,490	C12orf29
O43303	CP110_HUMAN	reviewed	1012	113,424	CCP110
Q96NU0	CNT3B_HUMAN	reviewed	1288	140,415	CNTNAP3B
Q7Z407	CSMD3_HUMAN	reviewed	3707	406,000	CSMD3
Q5T8D3	ACBD5_HUMAN	reviewed	534	60,092	ACBD5
P20848	A1ATR_HUMAN	reviewed	420	47,891	SERPINA2
Q8IZ83	A16A1_HUMAN	reviewed	802	85,127	ALDH16A1
P28330	ACADL_HUMAN	reviewed	430	47,656	ACADL
Q86TX2	ACOT1_HUMAN	reviewed	421	46,277	ACOT1
Q4LEZ3	AARD_HUMAN	reviewed	155	17,575	AARD
Q5VST6	AB17B_HUMAN	reviewed	288	32,215	ABHD17B
P17174	AATC_HUMAN	reviewed	413	46,248	GOT1
P28288	ABCD3_HUMAN	reviewed	659	75,476	ABCD3
Q9NUN7	ACER3_HUMAN	reviewed	267	31,552	ACER3
Q9NP58	ABCB6_HUMAN	reviewed	842	93,886	ABCB6
Q8TDX5	ACMSD_HUMAN	reviewed	336	38,035	ACMSD
O75689	ADAP1_HUMAN	reviewed	374	43,395	ADAP1
Q5JTC6	AMER1_HUMAN	reviewed	1135	124,029	AMER1
Q9H0P7	AGIT1_HUMAN	reviewed	198	20,949	AGPAT4-IT1
Q9BZ11	ADA33_HUMAN	reviewed	813	87,739	ADAM33
Q9ULJ7	ANR50_HUMAN	reviewed	1429	155,859	ANKRD50
O60241	AGRB2_HUMAN	reviewed	1585	172,656	ADGRB2
O75179	ANR17_HUMAN	reviewed	2603	274,258	ANKRD17
P31751	AKT2_HUMAN	reviewed	481	55,769	AKT2
Q96DR7	ARHGQ_HUMAN	reviewed	871	97,346	ARHGEF26
Q9C0K3	ARP3C_HUMAN	reviewed	210	23,712	ACTR3C
P19099	C11B2_HUMAN	reviewed	503	57,560	CYP11B2
Q9NP55	BPIA1_HUMAN	reviewed	256	26,713	BPIFA1
Q8N1D0	BWR1B_HUMAN	reviewed	253	27,061	SLC22A18AS
B2RNN3	C1T9B_HUMAN	reviewed	333	34,713	C1QTNF9B
O95696	BRD1_HUMAN	reviewed	1058	119,520	BRD1
I3L3R5	CCER2_HUMAN	reviewed	266	30,352	CCER2
Q6UW01	CBLN3_HUMAN	reviewed	205	21,521	CBLN3
Q8N9Z2	CC71L_HUMAN	reviewed	235	26,261	CCDC71L
Q99616	CCL13_HUMAN	reviewed	98	10,986	CCL13
Q8IWA6	CCD60_HUMAN	reviewed	550	63,091	CCDC60
Q9H6F5	CCD86_HUMAN	reviewed	360	40,236	CCDC86
P0CW27	CC166_HUMAN	reviewed	439	48,709	CCDC166
O14815	CAN9_HUMAN	reviewed	690	79,097	CAPN9
Q6P1S2	CC033_HUMAN	reviewed	294	33,765	C3orf33
Q96EE4	CC126_HUMAN	reviewed	140	15,668	CCDC126
Q9UBX1	CATF_HUMAN	reviewed	484	53,366	CTSF
P0C7W6	CC172_HUMAN	reviewed	258	31,035	CCDC172
Q86UF4	CC190_HUMAN	reviewed	302	34,103	CCDC190
B1AJZ1	CA196_HUMAN	reviewed	125	14,253	C1orf196
Q8N9H9	CA127_HUMAN	reviewed	656	69,787	C1orf127
Q86XJ0	CAHM3_HUMAN	reviewed	344	38,496	CALHM3
Q5JW98	CAHM4_HUMAN	reviewed	314	35,060	CALHM4
Q9UPV0	CE164_HUMAN	reviewed	1460	164,314	CEP164
P04003	C4BPA_HUMAN	reviewed	597	67,033	C4BPA
Q8IZS8	CA2D3_HUMAN	reviewed	1091	123,011	CACNA2D3
O15519	CFLAR_HUMAN	reviewed	480	55,344	CFLAR
Q6ZS94	CA229_HUMAN	reviewed	237	24,356	C1orf229
Q99618	CDCA3_HUMAN	reviewed	268	28,998	CDCA3
P15882	CHIN_HUMAN	reviewed	459	53,172	CHN1
Q9H2A9	CHST8_HUMAN	reviewed	424	48,834	CHST8
Q9Y4C5	CHST2_HUMAN	reviewed	530	57,857	CHST2
