From	To
Q9Y651	9606.ENSP00000366144
P37108	9606.ENSP00000267884
Q96JP5	9606.ENSP00000339030
Q9Y4H2	9606.ENSP00000365016
P36578	9606.ENSP00000311430
O76031	9606.ENSP00000300107
Q8WUQ7	9606.ENSP00000415078
A6NIH7	9606.ENSP00000344942
Q9BTD8	9606.ENSP00000262633
Q9P258	9606.ENSP00000364585
P17542	9606.ENSP00000294339
Q8TCS8	9606.ENSP00000400646
Q68DK7	9606.ENSP00000462945
Q96L91	9606.ENSP00000374213
P52701	9606.ENSP00000234420
P55036	9606.ENSP00000357879
A1X283	9606.ENSP00000309714
P05154	9606.ENSP00000333203
Q9BQE4	9606.ENSP00000381282
Q8WWH5	9606.ENSP00000298746
Q96MA1	9606.ENSP00000360500
Q96D53	9606.ENSP00000315118
P59768	9606.ENSP00000334448
Q6P2E9	9606.ENSP00000351811
Q9UNF1	9606.ENSP00000364209
Q9NZQ3	9606.ENSP00000294129
Q9NQP4	9606.ENSP00000360473
O15357	9606.ENSP00000298229
P30260	9606.ENSP00000434614
O15042	9606.ENSP00000418563
Q01780	9606.ENSP00000366135
O15405	9606.ENSP00000219746
P02786	9606.ENSP00000353224
P07954	9606.ENSP00000355518
Q9Y490	9606.ENSP00000316029
O94826	9606.ENSP00000284320
Q96L58	9606.ENSP00000368496
Q8N4T8	9606.ENSP00000303525
P35221	9606.ENSP00000304669
Q96C19	9606.ENSP00000365147
Q9BUP0	9606.ENSP00000264059
Q9H3U1	9606.ENSP00000407487
Q9GZT9	9606.ENSP00000355601
Q8WVQ1	9606.ENSP00000307674
Q15149	9606.ENSP00000323856
Q96T51	9606.ENSP00000325594
Q5VSL9	9606.ENSP00000358810
O14497	9606.ENSP00000320485
Q8NFD5	9606.ENSP00000344546
P58107	9606.ENSP00000484472
Q9BR61	9606.ENSP00000356567
Q96NB2	9606.ENSP00000358909
Q15063	9606.ENSP00000369071
Q8TAE8	9606.ENSP00000323065
Q8IYS1	9606.ENSP00000275072
O15269	9606.ENSP00000262554
Q14008	9606.ENSP00000432768
Q8N0Z6	9606.ENSP00000258821
P31948	9606.ENSP00000351646
Q13423	9606.ENSP00000264663
Q96GI7	9606.ENSP00000355614
P98172	9606.ENSP00000204961
O60716	9606.ENSP00000382004
Q9NV92	9606.ENSP00000480798
Q14498	9606.ENSP00000253363
Q15042	9606.ENSP00000411418
Q9NX63	9606.ENSP00000262570
Q9H477	9606.ENSP00000306817
P26641	9606.ENSP00000331901
P20810	9606.ENSP00000379157
Q96D96	9606.ENSP00000349181
P31350	9606.ENSP00000353770
Q16643	9606.ENSP00000292385
P53618	9606.ENSP00000249923
Q9NVA2	9606.ENSP00000264893
O14981	9606.ENSP00000265990
Q99569	9606.ENSP00000374409
O95801	9606.ENSP00000360329
Q6XQN6	9606.ENSP00000401508
Q01831	9606.ENSP00000285021
Q7Z5L9	9606.ENSP00000355568
Q9P1Y5	9606.ENSP00000416797
Q9UNS1	9606.ENSP00000450607
P08559	9606.ENSP00000369134
Q99733	9606.ENSP00000369915
P14555	9606.ENSP00000383364
Q8N1S5	9606.ENSP00000445829
Q9NVC6	9606.ENSP00000251871
Q03252	9606.ENSP00000327054
P49006	9606.ENSP00000362638
Q7KZF4	9606.ENSP00000346762
P09327	9606.ENSP00000248444
Q12955	9606.ENSP00000280772
Q5SQI0	9606.ENSP00000327832
P18206	9606.ENSP00000211998
P42858	9606.ENSP00000347184
P19404	9606.ENSP00000327268
O43837	9606.ENSP00000370223
O00468	9606.ENSP00000368678
P13995	9606.ENSP00000377617
P17858	9606.ENSP00000269848
Q9H7E9	9606.ENSP00000330361
Q7Z7L1	9606.ENSP00000378067
O95336	9606.ENSP00000252603
P55060	9606.ENSP00000262982
Q9BUH6	9606.ENSP00000360682
Q8TDX7	9606.ENSP00000356355
P13796	9606.ENSP00000381581
Q01813	9606.ENSP00000370517
Q99575	9606.ENSP00000385787
Q53H12	9606.ENSP00000347581
Q8NCN4	9606.ENSP00000299563
